,open,high,low,close,adjclose,volume,ticker
1973-02-21,0.0,2.317073106765747,2.2560980319976807,2.2637200355529785,1.1827402114868164,756040,BDX
1973-02-22,0.0,2.3399391174316406,2.27134108543396,2.2865850925445557,1.194685935974121,180400,BDX
1973-02-23,0.0,2.3323171138763428,2.2942070960998535,2.309451103210449,1.2066333293914795,186960,BDX
1973-02-26,0.0,2.3475608825683594,2.309451103210449,2.3399391174316406,1.2225629091262817,280440,BDX
1973-02-27,0.0,2.3551828861236572,2.248476028442383,2.248476028442383,1.17477548122406,490360,BDX
1973-02-28,0.0,2.309451103210449,2.233232021331787,2.2942070960998535,1.210154414176941,303400,BDX
1973-03-01,0.0,2.309451103210449,2.2637200355529785,2.2637200355529785,1.1940739154815674,164000,BDX
1973-03-02,0.0,2.324695110321045,2.2103660106658936,2.324695110321045,1.2262364625930786,359160,BDX
1973-03-05,0.0,2.3399391174316406,2.317073106765747,2.324695110321045,1.2262364625930786,62320,BDX
1973-03-06,0.0,2.362804889678955,2.3323171138763428,2.3475608825683594,1.2382985353469849,190240,BDX
1973-03-07,0.0,2.378048896789551,2.3399391174316406,2.362804889678955,1.2463393211364746,375560,BDX
1973-03-08,0.0,2.4314019680023193,2.3856709003448486,2.3932929039001465,1.2624212503433228,552680,BDX
1973-03-09,0.0,2.3932929039001465,2.362804889678955,2.378048896789551,1.2543797492980957,98400,BDX
1973-03-12,0.0,2.378048896789551,2.3551828861236572,2.370426893234253,1.2503598928451538,65600,BDX
1973-03-13,0.0,2.378048896789551,2.3551828861236572,2.378048896789551,1.2543797492980957,285360,BDX
1973-03-14,0.0,2.408536911010742,2.378048896789551,2.3856709003448486,1.2584006786346436,126280,BDX
1973-03-15,0.0,2.41615891456604,2.3932929039001465,2.3932929039001465,1.2624212503433228,103320,BDX
1973-03-16,0.0,2.3856709003448486,2.309451103210449,2.317073106765747,1.2222157716751099,352600,BDX
1973-03-19,0.0,2.3399391174316406,2.27134108543396,2.278963088989258,1.2021143436431885,106600,BDX
1973-03-20,0.0,2.3018290996551514,2.278963088989258,2.278963088989258,1.2021143436431885,91840,BDX
1973-03-21,0.0,2.324695110321045,2.2560980319976807,2.2560980319976807,1.1900523900985718,147600,BDX
1973-03-22,0.0,2.2256100177764893,2.195122003555298,2.2027440071105957,1.1619094610214233,226320,BDX
1973-03-23,0.0,2.2256100177764893,2.195122003555298,2.2179880142211914,1.1699506044387817,136120,BDX
1973-03-26,0.0,2.240854024887085,2.195122003555298,2.2256100177764893,1.1739710569381714,195160,BDX
1973-03-27,0.0,2.278963088989258,2.248476028442383,2.2637200355529785,1.1940739154815674,85280,BDX
1973-03-28,0.0,2.2942070960998535,2.2560980319976807,2.27134108543396,1.1980931758880615,93480,BDX
1973-03-29,0.0,2.278963088989258,2.240854024887085,2.27134108543396,1.1980931758880615,159080,BDX
1973-03-30,0.0,2.2865850925445557,2.2637200355529785,2.2637200355529785,1.1940739154815674,59040,BDX
1973-04-02,0.0,2.27134108543396,2.233232021331787,2.233232021331787,1.1779913902282715,114800,BDX
1973-04-03,0.0,2.2637200355529785,2.2179880142211914,2.2256100177764893,1.1739710569381714,164000,BDX
1973-04-04,0.0,2.2637200355529785,2.233232021331787,2.233232021331787,1.1779913902282715,83640,BDX
1973-04-05,0.0,2.248476028442383,2.2103660106658936,2.2103660106658936,1.1659306287765503,136120,BDX
1973-04-06,0.0,2.2560980319976807,2.2027440071105957,2.2256100177764893,1.1739710569381714,275520,BDX
1973-04-09,0.0,2.2560980319976807,2.1875,2.2560980319976807,1.1900523900985718,147600,BDX
1973-04-10,0.0,2.2942070960998535,2.2560980319976807,2.2942070960998535,1.210154414176941,451000,BDX
1973-04-11,0.0,2.3323171138763428,2.278963088989258,2.3018290996551514,1.2141749858856201,252560,BDX
1973-04-12,0.0,2.362804889678955,2.324695110321045,2.3399391174316406,1.2342778444290161,237800,BDX
1973-04-13,0.0,2.370426893234253,2.3323171138763428,2.3475608825683594,1.2382985353469849,241080,BDX
1973-04-16,0.0,2.3399391174316406,2.324695110321045,2.324695110321045,1.2262364625930786,47560,BDX
1973-04-17,0.0,2.3475608825683594,2.317073106765747,2.3475608825683594,1.2382985353469849,124640,BDX
1973-04-18,0.0,2.3475608825683594,2.324695110321045,2.3399391174316406,1.2342778444290161,78720,BDX
1973-04-19,0.0,2.370426893234253,2.3323171138763428,2.370426893234253,1.2503598928451538,282080,BDX
1973-04-23,0.0,2.3856709003448486,2.3551828861236572,2.378048896789551,1.2543797492980957,109880,BDX
1973-04-24,0.0,2.3856709003448486,2.2256100177764893,2.248476028442383,1.1860320568084717,378840,BDX
1973-04-25,0.0,2.248476028442383,2.1646339893341064,2.1646339893341064,1.1418074369430542,213200,BDX
1973-04-26,0.0,2.248476028442383,2.1722559928894043,2.248476028442383,1.1860320568084717,264040,BDX
1973-04-27,0.0,2.2560980319976807,2.1875,2.2027440071105957,1.1619094610214233,168920,BDX
1973-04-30,0.0,2.2256100177764893,2.1570119857788086,2.2256100177764893,1.1739710569381714,160720,BDX
1973-05-01,0.0,2.240854024887085,2.179877996444702,2.2256100177764893,1.1739710569381714,142680,BDX
