,open,high,low,close,adjclose,volume,ticker
2001-06-20,24.0,24.5,23.899999618530273,23.899999618530273,9.605647087097168,11000,FIS
2001-06-21,24.5,25.5,24.5,25.5,10.248703956604004,39300,FIS
2001-06-22,25.5,25.649999618530273,25.5,25.600000381469727,10.288888931274414,33800,FIS
2001-06-25,25.899999618530273,26.5,25.899999618530273,26.5,10.650615692138672,9100,FIS
2001-06-26,26.5,26.5,26.149999618530273,26.450000762939453,10.630516052246094,109800,FIS
2001-06-27,26.450000762939453,26.600000381469727,26.440000534057617,26.600000381469727,10.690799713134766,185300,FIS
2001-06-28,26.799999237060547,27.5,26.799999237060547,27.5,11.052518844604492,66000,FIS
2001-06-29,27.549999237060547,28.100000381469727,27.549999237060547,28.0,11.2534761428833,71300,FIS
2001-07-02,28.0,28.399999618530273,28.0,28.0,11.2534761428833,69700,FIS
2001-07-03,28.010000228881836,28.15999984741211,28.010000228881836,28.049999237060547,11.273568153381348,56200,FIS
2001-07-05,28.049999237060547,28.049999237060547,27.940000534057617,27.950000762939453,11.233380317687988,61900,FIS
2001-07-06,27.950000762939453,30.0,26.899999618530273,30.0,12.057293891906738,3337400,FIS
2001-07-09,30.0,31.299999237060547,29.799999237060547,29.90999984741211,12.021120071411133,1674700,FIS
2001-07-10,29.90999984741211,30.010000228881836,28.549999237060547,28.549999237060547,11.474528312683105,1210400,FIS
2001-07-11,28.450000762939453,29.010000228881836,28.3799991607666,28.5,11.454432487487793,2426400,FIS
2001-07-12,28.510000228881836,30.200000762939453,28.510000228881836,29.450000762939453,11.836247444152832,1294600,FIS
2001-07-13,29.350000381469727,30.020000457763672,28.989999771118164,29.0,11.65538501739502,709500,FIS
2001-07-16,29.0,29.610000610351562,28.520000457763672,28.75,11.55490779876709,593900,FIS
2001-07-17,28.75,29.75,28.709999084472656,29.59000015258789,11.892507553100586,837100,FIS
2001-07-18,29.520000457763672,30.0,29.43000030517578,29.489999771118164,11.852323532104492,396600,FIS
2001-07-19,29.440000534057617,29.5,28.809999465942383,28.899999618530273,11.615196228027344,303600,FIS
2001-07-20,28.799999237060547,29.149999618530273,28.799999237060547,28.959999084472656,11.639309883117676,519000,FIS
2001-07-23,28.959999084472656,29.010000228881836,28.600000381469727,29.010000228881836,11.659401893615723,206100,FIS
2001-07-24,28.950000762939453,29.299999237060547,28.739999771118164,28.979999542236328,11.647347450256348,268600,FIS
2001-07-25,28.969999313354492,29.790000915527344,28.75,29.549999237060547,11.876432418823242,385200,FIS
2001-07-26,29.399999618530273,29.950000762939453,29.18000030517578,29.93000030517578,12.029162406921387,208500,FIS
2001-07-27,29.920000076293945,30.549999237060547,29.899999618530273,30.530000686645508,12.270303726196289,274600,FIS
2001-07-30,30.540000915527344,32.150001525878906,30.540000915527344,31.6200008392334,12.708386421203613,289200,FIS
2001-07-31,31.600000381469727,33.5,31.600000381469727,33.02000045776367,13.271066665649414,357300,FIS
2001-08-01,33.099998474121094,34.279998779296875,33.099998474121094,34.0,13.664932250976562,759800,FIS
2001-08-02,33.95000076293945,34.20000076293945,33.65999984741211,33.709999084472656,13.548378944396973,365500,FIS
2001-08-03,33.5,33.54999923706055,32.599998474121094,32.650001525878906,13.122357368469238,139800,FIS
2001-08-06,32.79999923706055,32.900001525878906,32.08000183105469,32.13999938964844,12.917383193969727,161700,FIS
2001-08-07,32.13999938964844,32.70000076293945,32.099998474121094,32.45000076293945,13.041975975036621,186400,FIS
2001-08-08,32.5,32.599998474121094,32.0,32.4900016784668,13.058050155639648,322400,FIS
2001-08-09,32.5,32.599998474121094,32.349998474121094,32.5099983215332,13.066092491149902,169400,FIS
2001-08-10,32.5099983215332,32.75,32.099998474121094,32.150001525878906,12.921401977539062,328500,FIS
2001-08-13,32.13999938964844,32.13999938964844,31.989999771118164,32.0,12.86111831665039,396200,FIS
2001-08-14,33.0,33.0,32.47999954223633,32.790000915527344,13.178624153137207,269000,FIS
2001-08-15,32.79999923706055,33.099998474121094,32.0,32.0,12.86111831665039,307000,FIS
2001-08-16,32.0,32.150001525878906,31.799999237060547,32.0,12.86111831665039,280600,FIS
2001-08-17,31.950000762939453,32.25,31.790000915527344,32.2400016784668,12.957575798034668,211200,FIS
2001-08-20,32.290000915527344,32.290000915527344,32.0,32.02000045776367,12.869154930114746,150900,FIS
2001-08-21,32.0,32.45000076293945,32.0,32.29999923706055,12.981685638427734,321800,FIS
2001-08-22,32.20000076293945,32.630001068115234,32.150001525878906,32.5,13.062068939208984,234300,FIS
2001-08-23,32.25,32.5,32.20000076293945,32.400001525878906,13.021882057189941,72300,FIS
2001-08-24,32.349998474121094,32.400001525878906,32.20000076293945,32.349998474121094,13.00178337097168,69600,FIS
2001-08-27,32.349998474121094,32.72999954223633,32.349998474121094,32.650001525878906,13.122357368469238,80900,FIS
2001-08-28,32.720001220703125,32.720001220703125,32.310001373291016,32.380001068115234,13.013842582702637,241000,FIS
2001-08-29,32.380001068115234,32.7400016784668,32.29999923706055,32.72999954223633,13.154507637023926,261600,FIS
2001-08-30,32.68000030517578,33.119998931884766,32.68000030517578,33.0099983215332,13.26704216003418,182300,FIS
2001-08-31,33.25,34.36000061035156,33.25,34.36000061035156,13.809626579284668,277600,FIS
2001-09-04,34.349998474121094,35.099998474121094,34.33000183105469,34.900001525878906,14.026653289794922,760800,FIS
2001-09-05,34.900001525878906,34.900001525878906,33.709999084472656,33.720001220703125,13.552401542663574,296900,FIS
2001-09-06,33.70000076293945,33.70000076293945,32.83000183105469,33.0,13.263025283813477,333900,FIS
2001-09-07,33.0,33.04999923706055,32.5,32.63999938964844,13.118339538574219,186200,FIS
2001-09-10,32.5,32.86000061035156,32.5,32.75,13.16254997253418,179400,FIS
2001-09-17,32.0,32.04999923706055,29.989999771118164,30.09000015258789,12.093465805053711,279800,FIS
