,open,high,low,close,adjclose,volume,ticker
1998-06-29,28.25,28.875,27.9375,28.5625,11.674369812011719,6307500,SRE
1998-06-30,28.4375,28.4375,27.75,27.8125,11.367817878723145,1537600,SRE
1998-07-01,27.75,28.0,27.125,27.875,11.393365859985352,593100,SRE
1998-07-02,27.75,27.75,27.25,27.6875,11.316732406616211,563600,SRE
1998-07-06,27.6875,27.6875,27.125,27.1875,11.112369537353516,616800,SRE
1998-07-07,27.1875,27.25,26.9375,27.0625,11.061271667480469,623500,SRE
1998-07-08,27.0625,27.25,27.0,27.25,11.13790225982666,392300,SRE
1998-07-09,27.125,27.1875,26.75,27.0,11.035723686218262,293100,SRE
1998-07-10,27.0,27.0,26.3125,27.0,11.035723686218262,384300,SRE
1998-07-13,26.75,26.9375,26.3125,26.875,10.984636306762695,385500,SRE
1998-07-14,26.8125,27.125,26.5,27.0,11.035723686218262,668400,SRE
1998-07-15,26.875,26.9375,26.5625,26.9375,11.010181427001953,232800,SRE
1998-07-16,26.8125,26.875,26.5,26.625,10.882452964782715,403600,SRE
1998-07-17,26.625,26.625,26.3125,26.5,10.831360816955566,543500,SRE
1998-07-20,26.3125,26.375,26.0,26.3125,10.754720687866211,542000,SRE
1998-07-21,26.1875,26.3125,25.875,26.0,10.626999855041504,218800,SRE
1998-07-22,26.0625,26.0625,25.75,26.0625,10.652542114257812,506500,SRE
1998-07-23,26.0625,26.375,26.0625,26.3125,10.754720687866211,446200,SRE
1998-07-24,26.125,26.1875,26.0,26.125,10.678085327148438,515800,SRE
1998-07-27,26.0,26.25,25.8125,26.1875,10.703629493713379,384800,SRE
1998-07-28,26.0625,26.1875,25.375,25.75,10.52481746673584,816900,SRE
1998-07-29,25.5625,25.75,25.0625,25.5,10.422630310058594,522200,SRE
1998-07-30,25.375,25.9375,25.3125,25.75,10.52481746673584,467900,SRE
1998-07-31,25.75,25.75,25.0,25.1875,10.294904708862305,386800,SRE
1998-08-03,25.0,25.125,24.5625,24.875,10.1671724319458,649200,SRE
1998-08-04,24.6875,24.6875,23.75,24.0625,9.835079193115234,617600,SRE
1998-08-05,24.25,25.125,24.125,25.125,10.269353866577148,501300,SRE
1998-08-06,25.125,25.125,24.5,24.75,10.116079330444336,568500,SRE
1998-08-07,24.625,24.8125,24.25,24.4375,9.988351821899414,351500,SRE
1998-08-10,24.5,25.0,24.5,24.75,10.116079330444336,749400,SRE
1998-08-11,24.5,24.5625,24.0,24.1875,9.886170387268066,358400,SRE
1998-08-12,24.1875,25.125,24.125,25.125,10.269353866577148,399000,SRE
1998-08-13,24.875,25.0625,24.6875,24.9375,10.192720413208008,206500,SRE
1998-08-14,24.6875,24.875,24.5,24.75,10.116079330444336,195700,SRE
1998-08-17,25.0,25.3125,24.8125,25.25,10.320443153381348,520500,SRE
1998-08-18,25.1875,25.25,24.75,25.0,10.218260765075684,450900,SRE
1998-08-19,24.9375,24.9375,24.625,24.875,10.1671724319458,302700,SRE
1998-08-20,25.0,25.125,24.875,25.0625,10.24381160736084,631900,SRE
1998-08-21,24.875,25.25,24.8125,25.25,10.320443153381348,459000,SRE
1998-08-24,25.375,25.625,25.3125,25.375,10.371538162231445,377900,SRE
1998-08-25,25.4375,25.75,25.375,25.75,10.52481746673584,585800,SRE
1998-08-26,25.625,25.6875,25.5,25.625,10.473723411560059,346000,SRE
1998-08-27,25.625,25.875,25.5625,25.5625,10.448174476623535,723600,SRE
1998-08-28,25.625,25.625,25.4375,25.625,10.473723411560059,346100,SRE
1998-08-31,25.5625,25.5625,24.875,25.4375,10.397079467773438,1312100,SRE
1998-09-01,25.1875,25.3125,24.5625,25.3125,10.345992088317871,446000,SRE
1998-09-02,25.0625,25.125,24.625,25.0625,10.24381160736084,1301000,SRE
1998-09-03,24.8125,25.0625,24.5625,25.0,10.218260765075684,267200,SRE
1998-09-04,25.125,25.25,24.8125,25.125,10.269353866577148,359300,SRE
1998-09-08,25.0625,25.3125,24.75,25.3125,10.345992088317871,198700,SRE
1998-09-09,25.3125,25.3125,25.0,25.25,10.320443153381348,216700,SRE
