,open,high,low,close,adjclose,volume,ticker
1985-01-01,0.0,17.8125,16.625,17.625,2.4946775436401367,1011400,EVRG
1985-02-01,0.0,17.625,16.625,16.6875,2.361983060836792,1624600,EVRG
1985-03-01,0.0,17.75,16.1875,17.625,2.4946775436401367,1226600,EVRG
1985-04-01,0.0,18.625,17.1875,18.3125,2.591989040374756,1101000,EVRG
1985-05-01,0.0,19.875,18.1875,19.375,2.7423782348632812,1209400,EVRG
1985-06-01,0.0,19.6875,19.25,19.625,2.777763605117798,1115200,EVRG
1985-07-01,0.0,20.6875,17.25,17.625,2.4946775436401367,1190600,EVRG
1985-08-01,0.0,19.0625,17.625,18.125,2.565450429916382,1350200,EVRG
1985-09-01,0.0,18.5,16.9375,17.5,2.4769864082336426,814600,EVRG
1985-10-01,0.0,19.0625,17.5,19.0,2.689300060272217,614600,EVRG
1985-11-01,0.0,19.625,18.5625,19.625,2.777763605117798,1121000,EVRG
1985-12-01,0.0,20.6875,19.0,19.875,2.8131470680236816,1221000,EVRG
1986-01-01,0.0,20.8125,19.8125,20.75,2.936998128890991,1382400,EVRG
1986-02-01,0.0,22.8125,20.5625,22.25,3.1493115425109863,1153600,EVRG
1986-03-01,0.0,23.75,22.3125,23.6875,3.352778911590576,1582600,EVRG
1986-04-01,0.0,25.0625,23.25,24.25,3.4323930740356445,1666200,EVRG
1986-05-01,0.0,25.0625,24.0625,24.875,3.520857334136963,1898000,EVRG
1986-06-01,0.0,26.25,24.625,26.125,3.697784900665283,1184800,EVRG
1986-07-01,0.0,30.5625,26.25,30.0625,4.255107879638672,1860600,EVRG
1986-08-01,0.0,32.5,30.0,30.3125,4.290493965148926,1936600,EVRG
1986-09-01,0.0,30.875,25.0,26.5625,3.7597105503082275,2037200,EVRG
1986-10-01,0.0,28.9375,26.6875,28.875,4.0870232582092285,1254000,EVRG
1986-11-01,0.0,30.0,28.5,28.8125,4.078178882598877,1101400,EVRG
1986-12-01,0.0,28.9375,26.875,27.1875,3.848174571990967,2557000,EVRG
1987-01-01,0.0,30.75,27.1875,29.375,4.215590953826904,1074800,EVRG
1987-02-01,0.0,30.25,27.5,27.875,4.000327110290527,3812600,EVRG
1987-03-01,0.0,27.875,26.25,26.5625,3.868969202041626,1455400,EVRG
1987-04-01,0.0,26.9375,23.375,25.875,3.7688300609588623,1649200,EVRG
1987-05-01,0.0,26.625,24.0,26.0,3.787036418914795,957200,EVRG
1987-06-01,0.0,26.5,24.25,25.625,3.7324166297912598,1259500,EVRG
1987-07-01,0.0,26.125,24.125,24.75,3.6631577014923096,1379700,EVRG
1987-08-01,0.0,27.375,24.125,26.0,3.848163604736328,3360200,EVRG
1987-09-01,26.0,27.75,23.75,24.75,3.7215678691864014,655500,EVRG
1987-10-01,24.875,25.875,20.0,23.875,3.5899953842163086,1410900,EVRG
1987-11-01,23.875,25.125,22.625,23.0,3.4584271907806396,1148500,EVRG
1987-12-01,22.75,23.875,22.25,22.625,3.4020373821258545,1218200,EVRG
1988-01-01,22.5,27.0,22.5,26.25,4.019111156463623,594600,EVRG
1988-02-01,26.375,26.5,25.0,25.125,3.846863031387329,505000,EVRG
1988-03-01,25.0,25.125,23.5,23.625,3.678029775619507,722500,EVRG
1988-04-01,23.5,25.125,23.125,24.125,3.755870819091797,462900,EVRG
1988-05-01,24.0,24.625,23.625,24.375,3.794792890548706,5346500,EVRG
1988-06-01,24.375,25.125,24.0,24.375,3.8640220165252686,677700,EVRG
1988-07-01,25.0,25.125,23.75,23.875,3.784757614135742,510500,EVRG
1988-08-01,24.0,24.625,23.25,23.5,3.725314140319824,804400,EVRG
1988-09-01,23.25,23.875,22.75,23.875,3.8545451164245605,451800,EVRG
1988-10-01,23.625,24.375,23.375,23.875,3.8545451164245605,822600,EVRG
1988-11-01,23.875,24.125,22.75,22.875,3.6930992603302,746900,EVRG
1988-12-01,23.0,23.5,22.25,22.875,3.7623116970062256,1284900,EVRG
1989-01-01,22.75,23.875,22.5,22.625,3.7211904525756836,810500,EVRG
1989-02-01,22.5,23.375,22.0,22.0,3.618396520614624,2034100,EVRG
1989-03-01,22.125,22.75,21.625,22.0,3.6905677318573,837000,EVRG
1989-04-01,22.0,22.75,21.75,22.5,3.7744455337524414,975100,EVRG
1989-05-01,22.5,24.125,22.25,23.5,3.9421987533569336,1746400,EVRG
1989-06-01,23.25,23.875,23.125,23.375,3.9944612979888916,762100,EVRG
1989-07-01,23.375,24.75,23.25,24.5,4.186706066131592,820500,EVRG
1989-08-01,24.625,25.375,23.75,24.0,4.101263523101807,2140900,EVRG
1989-09-01,24.0,24.5,23.5,23.75,4.13276481628418,928800,EVRG
1989-10-01,24.0,24.5,23.25,24.0,4.176266670227051,620500,EVRG
1989-11-01,23.75,24.75,23.625,24.0,4.176266670227051,1881600,EVRG
1989-12-01,24.0,24.875,24.0,24.75,4.38553524017334,705800,EVRG
1990-01-01,24.75,25.125,22.5,23.0,4.075447082519531,1248900,EVRG
1990-02-01,22.875,23.875,22.125,22.375,3.9647023677825928,1935600,EVRG
1990-03-01,22.25,23.0,22.25,23.0,4.157228946685791,605100,EVRG
1990-04-01,23.0,23.25,21.25,21.5,3.8861045837402344,697500,EVRG
1990-05-01,21.625,23.25,21.375,21.875,3.953885555267334,970800,EVRG
1990-06-01,22.125,23.125,21.75,22.25,4.102819919586182,909500,EVRG
1990-07-01,22.25,23.25,21.75,23.25,4.2872185707092285,788800,EVRG
1990-08-01,23.125,23.375,20.5,21.125,3.8953778743743896,1096000,EVRG
1990-09-01,21.125,21.875,20.375,20.875,3.9301257133483887,400700,EVRG
1990-10-01,20.875,22.625,19.75,20.375,3.8359885215759277,1094500,EVRG
1990-11-01,20.25,21.75,20.25,20.75,3.906590223312378,1103400,EVRG
1990-12-01,20.75,21.25,20.25,21.125,4.063237190246582,993300,EVRG
1991-01-01,21.25,22.0,20.75,21.75,4.183453559875488,1149200,EVRG
1991-02-01,21.75,23.75,21.5,23.375,4.533096790313721,2232400,EVRG
1991-03-01,23.375,24.0,22.5,23.875,4.723527431488037,1302200,EVRG
1991-04-01,23.875,25.25,23.5,24.125,4.772988796234131,1264700,EVRG
1991-05-01,24.125,24.75,23.75,23.875,4.723527431488037,1736800,EVRG
1991-06-01,23.875,24.0,23.375,23.875,4.81443977355957,1201500,EVRG
1991-07-01,23.875,24.625,23.25,24.625,4.9656782150268555,1861300,EVRG
1991-08-01,24.625,26.375,23.875,25.625,5.167329788208008,1881200,EVRG
