,open,high,low,close,adjclose,volume,ticker
1985-01-01,0.0,2.71875,2.25,2.59375,1.8927375078201294,21936000,PHM
1985-02-01,0.0,2.609375,2.15625,2.203125,1.6076862812042236,12264000,PHM
1985-03-01,0.0,2.234375,1.90625,2.0625,1.5050674676895142,8782400,PHM
1985-04-01,0.0,2.125,1.9375,1.96875,1.4366567134857178,5036800,PHM
1985-05-01,0.0,2.296875,1.875,2.1875,1.596285343170166,14164800,PHM
1985-06-01,0.0,2.234375,1.984375,2.09375,1.5278723239898682,6433600,PHM
1985-07-01,2.046875,2.28125,1.96875,2.0,1.4594606161117554,13553600,PHM
1985-08-01,2.0,2.03125,1.703125,1.796875,1.3112338781356812,7707200,PHM
1985-09-01,1.796875,1.828125,1.375,1.546875,1.1288012266159058,3650400,PHM
1985-10-01,1.515625,1.609375,1.296875,1.375,1.0055532455444336,12958400,PHM
1985-11-01,1.375,1.75,1.34375,1.671875,1.2226613759994507,12876800,PHM
1985-12-01,1.671875,1.859375,1.46875,1.71875,1.256941556930542,9635200,PHM
1986-01-01,1.71875,2.0,1.671875,1.8125,1.3287570476531982,12144000,PHM
1986-02-01,1.828125,2.4375,1.828125,2.28125,1.6724001169204712,21579200,PHM
1986-03-01,2.28125,3.0,2.265625,2.84375,2.0847721099853516,37369600,PHM
1986-04-01,2.828125,2.828125,2.375,2.4375,1.789415955543518,15896000,PHM
1986-05-01,2.4375,2.4375,2.109375,2.25,1.6517693996429443,12168000,PHM
1986-06-01,2.25,2.640625,2.15625,2.484375,1.8238277435302734,11278400,PHM
1986-07-01,2.53125,2.53125,1.625,1.65625,1.217901349067688,15236800,PHM
1986-08-01,1.640625,1.734375,1.375,1.625,1.1949211359024048,8396800,PHM
1986-09-01,1.640625,1.734375,1.3125,1.53125,1.1259833574295044,8888000,PHM
1986-10-01,1.5625,1.875,1.53125,1.84375,1.3590384721755981,6850400,PHM
1986-11-01,1.859375,1.859375,1.671875,1.8125,1.3360037803649902,6363200,PHM
1986-12-01,1.796875,1.8125,1.4375,1.515625,1.117175817489624,9896000,PHM
1987-01-01,1.515625,2.0625,1.515625,1.953125,1.4429574012756348,11446400,PHM
1987-02-01,1.9375,2.109375,1.90625,2.0,1.477588176727295,8627200,PHM
1987-03-01,2.0,2.171875,1.75,1.75,1.2928897142410278,10294400,PHM
1987-04-01,1.75,1.953125,1.625,1.6875,1.2490038871765137,7450400,PHM
1987-05-01,1.671875,1.734375,1.421875,1.46875,1.0870954990386963,7519200,PHM
1987-06-01,1.484375,1.609375,1.40625,1.453125,1.0755305290222168,6601600,PHM
1987-07-01,1.453125,1.6875,1.296875,1.546875,1.147850513458252,16022400,PHM
1987-08-01,1.515625,1.75,1.5,1.578125,1.171039342880249,11499200,PHM
1987-09-01,1.5625,1.59375,1.421875,1.484375,1.1014724969863892,7983200,PHM
1987-10-01,1.5,1.515625,0.890625,0.96875,0.720657467842102,16622400,PHM
1987-11-01,0.9375,1.0625,0.859375,0.890625,0.6625400185585022,9800800,PHM
1987-12-01,0.84375,1.15625,0.84375,1.046875,0.7787750363349915,7908000,PHM
1988-01-01,1.0625,1.25,0.9375,1.0625,0.7936826348304749,3452000,PHM
1988-02-01,1.078125,1.25,0.96875,1.03125,0.7703385353088379,4541600,PHM
1988-03-01,1.03125,1.078125,0.84375,0.953125,0.7119801640510559,7823200,PHM
