,open,high,low,close,adjclose,volume,ticker
1985-01-01,0.0,5.8125,5.125,5.625,2.3578414916992188,19478400,SPGI
1985-02-01,0.0,5.9375,5.453125,5.609375,2.351292848587036,14748800,SPGI
1985-03-01,0.0,5.6875,5.03125,5.484375,2.298896551132202,20432800,SPGI
1985-04-01,0.0,5.9375,5.453125,5.640625,2.3643910884857178,16044800,SPGI
1985-05-01,0.0,6.453125,5.625,6.28125,2.632922410964966,17572000,SPGI
1985-06-01,0.0,6.5,6.03125,6.15625,2.580528736114502,13260800,SPGI
1985-07-01,6.140625,6.3125,5.625,5.890625,2.4691851139068604,21092000,SPGI
1985-08-01,5.953125,6.078125,5.375,5.515625,2.311995029449463,14613600,SPGI
1985-09-01,5.515625,5.65625,5.203125,5.34375,2.2572169303894043,18108800,SPGI
1985-10-01,5.34375,5.828125,4.96875,5.40625,2.2836194038391113,19959200,SPGI
1985-11-01,5.40625,5.890625,5.25,5.78125,2.442021369934082,24218400,SPGI
1985-12-01,5.78125,6.171875,5.625,6.0,2.5541765689849854,15917600,SPGI
1986-01-01,6.0,6.203125,5.8125,6.109375,2.600735902786255,17002400,SPGI
1986-02-01,6.109375,7.0625,6.0,6.90625,2.93996524810791,18284800,SPGI
1986-03-01,6.90625,7.75,6.671875,7.46875,3.2016899585723877,20830400,SPGI
1986-04-01,7.484375,7.484375,6.5625,6.703125,2.873483419418335,30630400,SPGI
1986-05-01,6.703125,7.875,6.5625,7.71875,3.3088595867156982,22735200,SPGI
1986-06-01,7.71875,7.78125,7.21875,7.46875,3.2234179973602295,17200000,SPGI
1986-07-01,7.46875,7.578125,6.78125,7.109375,3.068317174911499,23013600,SPGI
1986-08-01,7.109375,7.65625,6.90625,7.421875,3.2031867504119873,15656000,SPGI
1986-09-01,7.421875,7.59375,6.5625,6.75,2.9315149784088135,15100800,SPGI
1986-10-01,6.734375,7.1875,6.703125,7.03125,3.0536580085754395,14966400,SPGI
1986-11-01,7.03125,7.96875,6.84375,7.46875,3.2436654567718506,26522400,SPGI
1986-12-01,7.46875,7.734375,6.78125,6.828125,2.9841485023498535,17312800,SPGI
1987-01-01,6.875,8.21875,6.84375,8.03125,3.5099592208862305,23388000,SPGI
1987-02-01,8.0,9.34375,7.90625,8.71875,3.8104209899902344,25018400,SPGI
1987-03-01,8.734375,8.984375,7.953125,8.0625,3.5443649291992188,21746400,SPGI
1987-04-01,7.96875,8.8125,7.3125,7.65625,3.3657708168029785,26339200,SPGI
1987-05-01,7.65625,8.234375,7.390625,8.0625,3.5443649291992188,28764800,SPGI
1987-06-01,8.125,8.96875,7.84375,8.578125,3.7971291542053223,28476800,SPGI
1987-07-01,8.515625,9.765625,8.34375,9.546875,4.225948810577393,32917600,SPGI
1987-08-01,9.3125,10.0625,9.03125,9.890625,4.378111362457275,48684000,SPGI
1987-09-01,9.875,10.5625,9.453125,9.8125,4.368448734283447,35540800,SPGI
1987-10-01,9.78125,9.96875,5.375,6.828125,3.0398287773132324,39721600,SPGI
1987-11-01,6.625,7.203125,6.0,6.078125,2.7059340476989746,36269600,SPGI
1987-12-01,6.125,6.546875,5.84375,6.03125,2.7055399417877197,30624800,SPGI
1988-01-01,6.109375,6.875,5.84375,6.4375,2.8877787590026855,22977600,SPGI
1988-02-01,6.5625,7.46875,5.890625,7.21875,3.2382357120513916,47301600,SPGI
1988-03-01,7.21875,7.75,6.59375,6.734375,3.0462570190429688,22294400,SPGI
1988-04-01,6.703125,7.21875,6.4375,6.53125,2.954375743865967,17581600,SPGI
1988-05-01,6.515625,6.75,5.953125,6.75,3.0533249378204346,27352800,SPGI
1988-06-01,6.875,7.765625,6.71875,7.21875,3.295529842376709,34336000,SPGI
1988-07-01,7.125,8.328125,6.84375,8.15625,3.723520517349243,78608800,SPGI
1988-08-01,8.234375,8.9375,7.890625,8.25,3.7663216590881348,88890400,SPGI
1988-09-01,8.234375,8.90625,8.078125,8.6875,3.9932119846343994,49610400,SPGI
1988-10-01,8.625,9.5,8.3125,8.3125,3.8208444118499756,67847200,SPGI
1988-11-01,8.34375,8.625,7.15625,7.65625,3.519197940826416,37068000,SPGI
1988-12-01,7.609375,8.171875,7.4375,7.78125,3.6047582626342773,27606400,SPGI
1989-01-01,7.78125,8.84375,7.765625,8.703125,4.0318284034729,48637600,SPGI
1989-02-01,8.671875,8.84375,8.03125,8.046875,3.727813482284546,29854400,SPGI
1989-03-01,8.078125,8.609375,7.9375,8.4375,3.937997579574585,25556800,SPGI
1989-04-01,8.46875,10.28125,8.453125,9.34375,4.360969543457031,68271200,SPGI
1989-05-01,9.296875,9.53125,8.453125,8.5625,3.996340274810791,68204000,SPGI
1989-06-01,8.5625,9.4375,8.546875,8.703125,4.091949462890625,36244800,SPGI
1989-07-01,8.71875,9.625,8.578125,9.59375,4.510697364807129,24422400,SPGI
1989-08-01,9.625,10.765625,9.328125,10.015625,4.709050178527832,58823200,SPGI
1989-09-01,10.015625,10.078125,8.953125,9.234375,4.3688645362854,26012000,SPGI
1989-10-01,9.234375,9.5625,7.8125,8.0,3.7848715782165527,40312800,SPGI
1989-11-01,7.984375,8.234375,7.609375,7.78125,3.684295654296875,28091200,SPGI
1989-12-01,7.78125,8.078125,6.6875,7.09375,3.386026620864868,43475200,SPGI
1990-01-01,7.125,7.640625,6.75,7.078125,3.378570079803467,50193600,SPGI
1990-02-01,7.109375,7.15625,6.078125,6.625,3.1622800827026367,31212800,SPGI
1990-03-01,6.625,6.84375,6.46875,6.609375,3.188171863555908,29798400,SPGI
1990-04-01,6.5625,7.03125,6.484375,6.53125,3.150486707687378,24858400,SPGI
1990-05-01,6.53125,7.0625,6.53125,6.84375,3.3012280464172363,27196000,SPGI
1990-06-01,6.890625,7.171875,6.796875,7.03125,3.4253015518188477,32199200,SPGI
1990-07-01,7.03125,7.1875,6.734375,6.90625,3.3644073009490967,25720800,SPGI
1990-08-01,6.921875,6.96875,5.5,6.125,2.983818531036377,35964000,SPGI
1990-09-01,6.078125,6.21875,5.171875,5.5,2.710158109664917,24976800,SPGI
1990-10-01,5.5,5.984375,4.984375,5.875,2.894941568374634,26624000,SPGI
1990-11-01,5.84375,6.15625,5.75,6.09375,3.0027318000793457,20289600,SPGI
1990-12-01,6.140625,6.6875,6.09375,6.578125,3.2781941890716553,18138400,SPGI
1991-01-01,6.5625,7.078125,6.21875,7.078125,3.527367353439331,15896800,SPGI
1991-02-01,7.09375,7.375,6.953125,7.09375,3.5351555347442627,19488000,SPGI
1991-03-01,7.0625,7.46875,6.96875,7.3125,3.6790554523468018,14068000,SPGI
1991-04-01,7.34375,7.84375,7.296875,7.453125,3.7498087882995605,19993600,SPGI
1991-05-01,7.46875,8.03125,7.453125,7.875,3.9620590209960938,15235200,SPGI
1991-06-01,7.890625,8.09375,7.25,7.421875,3.768200635910034,10048000,SPGI
1991-07-01,7.46875,7.71875,6.921875,7.0,3.554006576538086,17772000,SPGI
1991-08-01,6.96875,7.046875,6.71875,6.78125,3.442943811416626,17538400,SPGI
1991-09-01,6.78125,6.84375,6.34375,6.421875,3.293647289276123,11357600,SPGI
1991-10-01,6.4375,6.8125,6.265625,6.75,3.4619362354278564,19774400,SPGI
1991-11-01,6.75,7.0625,6.453125,6.453125,3.3096730709075928,13420000,SPGI
1991-12-01,6.4375,7.28125,6.34375,7.171875,3.716876745223999,16645600,SPGI
1992-01-01,7.15625,7.75,7.0625,7.34375,3.8059515953063965,18246400,SPGI
1992-02-01,7.328125,7.5,7.0625,7.359375,3.814054012298584,14309600,SPGI
1992-03-01,7.328125,7.921875,7.125,7.75,4.055148601531982,24107200,SPGI
1992-04-01,7.71875,8.3125,7.421875,8.140625,4.259540557861328,17224800,SPGI
1992-05-01,8.109375,8.1875,7.515625,7.65625,4.006096839904785,22100800,SPGI
1992-06-01,7.6875,7.703125,7.1875,7.234375,3.8184378147125244,8764800,SPGI
1992-07-01,7.234375,7.375,6.625,7.078125,3.735968828201294,20435200,SPGI
1992-08-01,7.046875,7.421875,6.96875,7.234375,3.8184378147125244,10036000,SPGI
1992-09-01,7.234375,7.390625,7.109375,7.328125,3.905632257461548,10828000,SPGI
1992-10-01,7.359375,7.546875,7.1875,7.46875,3.9805796146392822,9460000,SPGI
1992-11-01,7.4375,7.78125,7.4375,7.578125,4.038873672485352,8354400,SPGI
1992-12-01,7.546875,7.90625,7.421875,7.671875,4.127118110656738,11708800,SPGI
1993-01-01,7.640625,7.890625,7.46875,7.6875,4.135525226593018,10258400,SPGI
1993-02-01,7.6875,7.984375,7.0625,7.359375,3.9590063095092773,13387200,SPGI
1993-03-01,7.375,7.9375,7.3125,7.9375,4.311404228210449,13500000,SPGI
1993-04-01,7.9375,8.046875,7.59375,7.609375,4.133173942565918,10292000,SPGI
1993-05-01,7.609375,7.671875,7.0625,7.25,3.9379749298095703,12020800,SPGI
1993-06-01,7.25,7.390625,6.90625,7.375,4.045284271240234,13196000,SPGI
1993-07-01,7.375,8.375,7.296875,8.171875,4.482382297515869,23571200,SPGI
