,open,high,low,close,adjclose,volume,ticker
1984-06-20,0.0,1.875,1.84375,1.84375,0.6459243297576904,2004000,AJG
1984-06-21,0.0,1.84375,1.78125,1.78125,0.6240286231040955,626400,AJG
1984-06-22,0.0,1.8125,1.78125,1.78125,0.6240286231040955,229600,AJG
1984-06-25,0.0,1.8125,1.75,1.75,0.6130807399749756,102400,AJG
1984-06-26,0.0,1.75,1.71875,1.71875,0.6021332144737244,129600,AJG
1984-06-27,0.0,1.78125,1.75,1.75,0.6130807399749756,213600,AJG
1984-06-28,0.0,1.78125,1.75,1.75,0.6130807399749756,212000,AJG
1984-06-29,0.0,1.875,1.8125,1.8125,0.6349763870239258,208000,AJG
1984-07-02,0.0,1.875,1.8125,1.8125,0.6349763870239258,144800,AJG
1984-07-03,0.0,1.875,1.8125,1.8125,0.6349763870239258,48000,AJG
1984-07-05,0.0,1.90625,1.84375,1.84375,0.6459243297576904,108000,AJG
1984-07-06,0.0,1.90625,1.84375,1.84375,0.6459243297576904,2400,AJG
1984-07-09,0.0,1.875,1.84375,1.84375,0.6459243297576904,76800,AJG
1984-07-10,0.0,1.90625,1.84375,1.84375,0.6459243297576904,89600,AJG
1984-07-11,0.0,1.90625,1.84375,1.84375,0.6459243297576904,82400,AJG
1984-07-12,0.0,1.875,1.8125,1.8125,0.6349763870239258,58400,AJG
1984-07-13,0.0,1.875,1.8125,1.8125,0.6349763870239258,323200,AJG
1984-07-16,0.0,1.875,1.8125,1.8125,0.6349763870239258,32000,AJG
1984-07-17,0.0,1.875,1.8125,1.8125,0.6349763870239258,334400,AJG
1984-07-18,0.0,1.875,1.8125,1.8125,0.6349763870239258,420800,AJG
1984-07-19,0.0,1.875,1.8125,1.8125,0.6349763870239258,404000,AJG
1984-07-20,0.0,1.875,1.8125,1.8125,0.6349763870239258,53600,AJG
1984-07-23,0.0,1.90625,1.84375,1.84375,0.6459243297576904,153600,AJG
1984-07-24,0.0,1.96875,1.875,1.875,0.656872034072876,82400,AJG
1984-07-25,0.0,1.96875,1.875,1.875,0.656872034072876,2400,AJG
1984-07-26,0.0,2.03125,1.96875,1.96875,0.6897156238555908,147200,AJG
1984-07-27,0.0,2.125,2.03125,2.03125,0.7116114497184753,128000,AJG
1984-07-30,0.0,2.125,2.03125,2.03125,0.7116114497184753,153600,AJG
1984-07-31,0.0,2.125,2.03125,2.03125,0.7116114497184753,131200,AJG
1984-08-01,0.0,2.125,2.03125,2.03125,0.7116114497184753,124000,AJG
