,open,high,low,close,adjclose,volume,ticker
1994-03-11,20.625,20.875,20.625,20.875,7.459535121917725,2359000,AVB
1994-03-14,20.75,20.75,20.625,20.625,7.370204448699951,536500,AVB
1994-03-15,20.625,20.75,20.625,20.625,7.370204448699951,215700,AVB
1994-03-16,20.625,21.375,20.625,21.375,7.638206481933594,338600,AVB
1994-03-17,21.375,21.375,20.875,21.125,7.54887056350708,195900,AVB
1994-03-18,21.125,21.125,20.75,21.0,7.504204750061035,285700,AVB
1994-03-21,21.0,21.0,20.875,20.875,7.459535121917725,38900,AVB
1994-03-22,20.875,20.875,20.75,20.75,7.41486930847168,78400,AVB
1994-03-23,20.75,21.5,20.75,21.25,7.593539714813232,209200,AVB
1994-03-24,21.125,21.125,21.0,21.0,7.504204750061035,155000,AVB
1994-03-25,21.0,21.125,21.0,21.0,7.504204750061035,91500,AVB
1994-03-28,21.0,21.125,20.875,21.125,7.54887056350708,111200,AVB
1994-03-29,21.125,21.125,20.625,20.625,7.370204448699951,101200,AVB
1994-03-30,20.625,20.75,20.375,20.5,7.325531959533691,105000,AVB
1994-03-31,20.5,20.625,20.5,20.625,7.370204448699951,108300,AVB
1994-04-04,20.375,20.375,20.0,20.125,7.191526889801025,42300,AVB
1994-04-05,20.25,20.875,20.25,20.75,7.41486930847168,55600,AVB
1994-04-06,20.75,20.875,20.75,20.875,7.459535121917725,31800,AVB
1994-04-07,20.875,21.0,20.75,20.75,7.41486930847168,52000,AVB
1994-04-08,20.75,20.75,20.5,20.5,7.325531959533691,24000,AVB
1994-04-11,20.5,20.625,20.375,20.375,7.280866622924805,44400,AVB
1994-04-12,20.375,20.5,20.25,20.5,7.325531959533691,15100,AVB
1994-04-13,20.5,20.5,20.375,20.375,7.280866622924805,30500,AVB
1994-04-14,20.375,20.5,20.375,20.375,7.280866622924805,38800,AVB
1994-04-15,20.375,20.5,20.125,20.125,7.191526889801025,12200,AVB
1994-04-18,20.125,20.375,20.125,20.125,7.191526889801025,39800,AVB
1994-04-19,20.25,20.375,20.25,20.25,7.236197471618652,24500,AVB
1994-04-20,20.25,20.25,20.125,20.25,7.236197471618652,72000,AVB
1994-04-21,20.25,20.375,20.25,20.25,7.236197471618652,15000,AVB
1994-04-22,20.25,20.5,20.125,20.5,7.325531959533691,20700,AVB
1994-04-25,20.5,20.5,20.25,20.25,7.236197471618652,27300,AVB
1994-04-26,20.375,20.5,20.375,20.5,7.325531959533691,64000,AVB
1994-04-28,20.5,20.75,20.5,20.625,7.370204448699951,27100,AVB
1994-04-29,20.625,20.625,20.5,20.5,7.325531959533691,5500,AVB
1994-05-02,20.5,20.625,20.5,20.625,7.370204448699951,11700,AVB
1994-05-03,20.625,20.625,20.375,20.5,7.325531959533691,29000,AVB
1994-05-04,20.5,20.5,20.25,20.25,7.236197471618652,39600,AVB
1994-05-05,20.25,20.375,20.125,20.375,7.280866622924805,7600,AVB
1994-05-06,20.375,20.375,20.0,20.125,7.191526889801025,13600,AVB
1994-05-09,20.125,20.25,20.125,20.25,7.236197471618652,3700,AVB
1994-05-10,20.25,20.25,20.125,20.25,7.236197471618652,75100,AVB
1994-05-11,20.25,20.375,20.125,20.25,7.236197471618652,81400,AVB
1994-05-12,20.25,20.375,20.25,20.25,7.236197471618652,7100,AVB
1994-05-13,20.25,20.375,20.25,20.25,7.236197471618652,14500,AVB
1994-05-16,20.25,20.375,20.125,20.25,7.236197471618652,12600,AVB
1994-05-17,20.25,20.375,20.125,20.125,7.191526889801025,13400,AVB
1994-05-18,20.125,20.375,20.125,20.375,7.280866622924805,6700,AVB
1994-05-19,20.375,20.5,20.375,20.5,7.325531959533691,36500,AVB
1994-05-20,20.5,20.75,20.5,20.5,7.325531959533691,26800,AVB
1994-05-23,20.625,21.0,20.625,21.0,7.504204750061035,36200,AVB
1994-05-24,21.0,21.375,20.875,21.375,7.638206481933594,116200,AVB
1994-05-25,21.625,21.875,21.625,21.75,7.772209167480469,283300,AVB
1994-05-26,21.625,21.625,21.5,21.5,7.682873249053955,50200,AVB
1994-05-27,21.5,21.625,21.375,21.375,7.638206481933594,10000,AVB
1994-05-31,21.375,21.5,21.375,21.5,7.682873249053955,41400,AVB
1994-06-01,21.5,21.875,21.5,21.75,7.772209167480469,166300,AVB
1994-06-02,21.75,21.875,21.75,21.75,7.772209167480469,243600,AVB
1994-06-03,21.75,21.875,21.75,21.75,7.772209167480469,42400,AVB
1994-06-06,21.875,22.75,21.875,22.625,8.08488941192627,87200,AVB
1994-06-07,22.625,22.625,21.875,21.875,7.816879749298096,19700,AVB
1994-06-08,21.875,22.125,21.75,21.875,7.816879749298096,16100,AVB
1994-06-09,21.875,22.0,21.875,22.0,7.861546516418457,25000,AVB
1994-06-10,22.0,22.125,22.0,22.0,7.861546516418457,23900,AVB
1994-06-13,22.0,22.0,21.875,22.0,7.861546516418457,72800,AVB
1994-06-14,22.0,22.25,22.0,22.125,7.906218528747559,38700,AVB
1994-06-15,22.125,22.25,21.75,22.0,7.861546516418457,74700,AVB
1994-06-16,22.0,22.0,21.75,21.875,7.816879749298096,15200,AVB
1994-06-17,21.875,21.875,21.375,21.375,7.638206481933594,12700,AVB
1994-06-20,21.375,21.375,20.75,21.0,7.504204750061035,31300,AVB
1994-06-21,21.0,21.0,20.75,21.0,7.504204750061035,9800,AVB
1994-06-22,21.0,21.25,21.0,21.25,7.593539714813232,13200,AVB
1994-06-23,21.25,21.25,20.75,20.75,7.41486930847168,35400,AVB
1994-06-24,20.75,21.375,20.75,21.375,7.638206481933594,19400,AVB
1994-06-27,21.25,21.25,20.75,20.75,7.41486930847168,58300,AVB
1994-06-28,20.75,21.0,20.5,20.625,7.370204448699951,14500,AVB
1994-06-29,20.625,20.75,20.375,20.5,7.325531959533691,37700,AVB
1994-06-30,20.5,20.5,20.25,20.5,7.325531959533691,103200,AVB
1994-07-01,20.5,21.5,20.5,21.25,7.593539714813232,36800,AVB
1994-07-05,21.375,22.0,21.375,21.625,7.727542877197266,66800,AVB
1994-07-06,21.625,21.875,21.5,21.75,7.772209167480469,26500,AVB
1994-07-07,21.625,21.625,21.375,21.5,7.682873249053955,53900,AVB
1994-07-08,21.5,21.625,21.5,21.625,7.727542877197266,13200,AVB
1994-07-11,21.625,22.125,21.625,21.75,7.772209167480469,84800,AVB
1994-07-12,21.75,22.0,21.125,21.25,7.593539714813232,22700,AVB
1994-07-13,21.25,21.5,21.25,21.375,7.638206481933594,32700,AVB
1994-07-14,21.375,21.75,21.25,21.625,7.727542877197266,32400,AVB
1994-07-15,21.625,21.625,21.5,21.625,7.727542877197266,27200,AVB
1994-07-18,21.625,21.625,21.5,21.5,7.682873249053955,3200,AVB
