,open,high,low,close,adjclose,volume,ticker
1987-04-06,0.0,19.0,18.375,18.625,6.714798927307129,157000,BKR
1987-04-07,18.625,18.625,18.0,18.0,6.489468097686768,295600,BKR
1987-04-08,18.25,18.875,18.25,18.75,6.759866237640381,479700,BKR
1987-04-09,18.75,18.75,17.875,17.875,6.444405555725098,850800,BKR
1987-04-10,17.875,18.25,17.875,18.125,6.534534454345703,224000,BKR
1987-04-13,18.125,18.125,17.5,17.625,6.354272365570068,304700,BKR
1987-04-14,17.5,17.5,15.875,16.125,5.81348180770874,168300,BKR
1987-04-15,16.375,17.5,16.375,17.5,6.309206962585449,414500,BKR
1987-04-16,17.75,18.125,17.75,18.0,6.489468097686768,229400,BKR
1987-04-20,18.0,18.0,17.75,17.75,6.3993330001831055,135800,BKR
1987-04-21,17.75,17.875,17.5,17.625,6.354272365570068,282200,BKR
1987-04-22,17.625,17.75,17.0,17.25,6.2190752029418945,284900,BKR
1987-04-23,17.375,17.625,17.25,17.375,6.264134883880615,219200,BKR
1987-04-24,17.25,17.5,16.875,16.875,6.083878993988037,139700,BKR
1987-04-27,16.625,16.75,16.0,16.5,5.948678970336914,466500,BKR
1987-04-28,17.125,17.5,16.5,17.125,6.217341423034668,272200,BKR
1987-04-29,17.375,17.5,17.25,17.25,6.262722969055176,374500,BKR
1987-04-30,17.25,18.0,17.25,18.0,6.535013198852539,845800,BKR
1987-05-01,18.125,18.375,17.875,18.0,6.535013198852539,713800,BKR
1987-05-04,18.0,18.625,18.0,18.5,6.7165398597717285,212200,BKR
1987-05-05,18.5,19.375,18.0,19.375,7.034218788146973,1040000,BKR
1987-05-06,19.375,20.75,19.25,20.75,7.533421516418457,1030000,BKR
1987-05-07,22.0,22.375,21.875,22.25,8.078007698059082,1470000,BKR
1987-05-08,22.0,22.125,21.625,21.875,7.941861152648926,365400,BKR
1987-05-11,22.0,23.375,21.875,22.5,8.168766021728516,815000,BKR
1987-05-12,22.625,22.625,22.25,22.5,8.168766021728516,422900,BKR
1987-05-13,22.5,22.625,21.625,21.875,7.941861152648926,231300,BKR
1987-05-14,21.75,22.0,21.5,21.75,7.896477699279785,341500,BKR
1987-05-15,21.5,22.0,21.125,21.375,7.760327339172363,408700,BKR
1987-05-18,21.0,21.125,20.5,21.0,7.624184608459473,386200,BKR
1987-05-19,21.0,21.0,20.625,20.75,7.533421516418457,270200,BKR
1987-05-20,20.375,20.625,20.125,20.125,7.3065056800842285,308100,BKR
1987-05-21,20.25,20.5,19.75,20.375,7.397272109985352,258900,BKR
1987-05-22,20.375,20.75,20.25,20.75,7.533421516418457,255700,BKR
1987-05-26,21.0,22.0,20.625,21.75,7.896477699279785,400600,BKR
1987-05-27,21.75,21.875,21.5,21.625,7.851097106933594,211500,BKR
1987-05-28,21.5,21.625,20.5,21.5,7.805715084075928,165000,BKR
