,open,high,low,close,adjclose,volume,ticker
1993-08-13,3.171875,3.1875,3.125,3.125,2.2288806438446045,14796800,BWA
1993-08-16,3.140625,3.140625,3.03125,3.09375,2.2065906524658203,3422400,BWA
1993-08-17,3.0625,3.09375,3.046875,3.046875,2.1731584072113037,732800,BWA
1993-08-18,3.046875,3.125,3.046875,3.09375,2.2065906524658203,1084800,BWA
1993-08-19,3.078125,3.15625,3.0625,3.15625,2.2511701583862305,832800,BWA
1993-08-20,3.15625,3.203125,3.140625,3.1875,2.273458242416382,464000,BWA
1993-08-23,3.171875,3.171875,3.140625,3.140625,2.2400259971618652,146400,BWA
1993-08-24,3.15625,3.15625,3.125,3.125,2.2288806438446045,354400,BWA
1993-08-25,3.125,3.15625,3.125,3.15625,2.2511701583862305,214400,BWA
1993-08-26,3.15625,3.1875,3.15625,3.15625,2.2511701583862305,287200,BWA
1993-08-27,3.15625,3.21875,3.15625,3.1875,2.273458242416382,330400,BWA
1993-08-30,3.203125,3.21875,3.171875,3.1875,2.273458242416382,120800,BWA
1993-08-31,3.203125,3.203125,3.171875,3.203125,2.2846028804779053,233600,BWA
1993-09-01,3.171875,3.1875,3.171875,3.1875,2.273458242416382,196800,BWA
1993-09-02,3.1875,3.1875,3.125,3.125,2.2288806438446045,132000,BWA
1993-09-03,3.125,3.15625,3.0625,3.0625,2.1843032836914062,51200,BWA
1993-09-07,3.09375,3.15625,3.09375,3.09375,2.2065906524658203,984800,BWA
1993-09-08,3.125,3.125,2.953125,3.0,2.13972544670105,208800,BWA
1993-09-09,2.96875,3.0,2.96875,2.984375,2.128580331802368,277600,BWA
1993-09-10,3.0,3.0,2.859375,2.875,2.050570487976074,152000,BWA
1993-09-13,2.875,2.9375,2.875,2.875,2.050570487976074,320800,BWA
1993-09-14,2.90625,2.90625,2.71875,2.71875,1.9391261339187622,1212000,BWA
1993-09-15,2.65625,2.875,2.5625,2.875,2.050570487976074,1803200,BWA
1993-09-16,2.875,2.875,2.78125,2.859375,2.0394256114959717,248000,BWA
1993-09-17,2.828125,2.96875,2.828125,2.953125,2.1062917709350586,784800,BWA
1993-09-20,3.0,3.03125,2.90625,2.90625,2.072859048843384,484800,BWA
1993-09-21,2.875,2.875,2.78125,2.828125,2.0171377658843994,240000,BWA
1993-09-22,2.828125,2.828125,2.765625,2.796875,1.9948492050170898,152000,BWA
1993-09-23,2.78125,2.78125,2.71875,2.734375,1.9502696990966797,946400,BWA
