,open,high,low,close,adjclose,volume,ticker
1970-03-25,6.78125,6.9375,6.78125,6.875,0.2662235200405121,68400,ED
1970-03-26,6.875,6.9375,6.78125,6.8125,0.2638033330440521,48000,ED
1970-03-30,6.8125,6.90625,6.78125,6.84375,0.26501351594924927,51200,ED
1970-03-31,6.84375,6.96875,6.8125,6.9375,0.26864367723464966,42800,ED
1970-04-01,6.9375,6.96875,6.875,6.9375,0.26864367723464966,40400,ED
1970-04-02,6.9375,6.96875,6.84375,6.90625,0.26743364334106445,40800,ED
1970-04-03,6.9375,7.03125,6.9375,7.03125,0.27227404713630676,68400,ED
1970-04-06,7.03125,7.0625,6.96875,7.0,0.27106407284736633,40400,ED
1970-04-07,7.0,7.03125,6.96875,7.0,0.27106407284736633,46400,ED
1970-04-08,7.0,7.03125,6.96875,7.03125,0.27227404713630676,53600,ED
1970-04-09,7.03125,7.0625,7.0,7.0625,0.27348414063453674,40000,ED
1970-04-10,7.0625,7.09375,7.0,7.0625,0.27348414063453674,47600,ED
1970-04-13,7.0625,7.0625,7.0,7.0625,0.27348414063453674,43200,ED
1970-04-14,7.0625,7.0625,6.90625,6.90625,0.26743364334106445,70800,ED
1970-04-15,6.9375,7.0,6.9375,6.96875,0.2698538601398468,40000,ED
1970-04-16,6.96875,6.96875,6.875,6.875,0.2662235200405121,49600,ED
1970-04-17,6.875,6.9375,6.84375,6.9375,0.26864367723464966,58400,ED
1970-04-20,6.9375,6.9375,6.8125,6.84375,0.26501351594924927,36000,ED
1970-04-21,6.84375,6.90625,6.8125,6.84375,0.26501351594924927,31200,ED
1970-04-22,6.84375,6.875,6.8125,6.8125,0.2638033330440521,34000,ED
1970-04-23,6.8125,6.84375,6.75,6.78125,0.26259326934814453,57200,ED
1970-04-24,6.78125,6.84375,6.75,6.84375,0.26501351594924927,45200,ED
1970-04-27,6.84375,6.875,6.75,6.8125,0.2638033330440521,71200,ED
