,open,high,low,close,adjclose,volume,ticker
2000-08-11,408.0,448.0,384.0,420.0,333.8743896484375,792528,EQIX
2000-08-14,419.0,420.0,384.0,384.0,305.2565612792969,80228,EQIX
2000-08-15,389.0,396.0,384.0,388.0,308.4363098144531,48422,EQIX
2000-08-16,386.0,418.0,386.0,396.0,314.7958679199219,42166,EQIX
2000-08-17,392.0,400.0,382.0,384.0,305.2565612792969,47247,EQIX
2000-08-18,401.0,460.0,396.0,458.0,364.0821228027344,60400,EQIX
2000-08-21,482.0,520.0,446.0,486.0,386.3403625488281,66547,EQIX
2000-08-22,492.0,502.0,432.0,432.0,343.41363525390625,33878,EQIX
2000-08-23,434.0,440.0,408.0,416.0,330.6947021484375,17925,EQIX
2000-08-24,414.0,418.0,386.0,386.0,306.8464660644531,18441,EQIX
2000-08-25,402.0,414.0,388.0,412.0,327.5148620605469,20113,EQIX
2000-08-28,429.0,433.5,400.0,420.0,333.8743896484375,19491,EQIX
2000-08-29,430.0,432.0,404.0,428.0,340.23388671875,22728,EQIX
2000-08-30,427.0,470.0,424.0,454.0,360.90228271484375,19891,EQIX
2000-08-31,482.0,528.0,476.0,518.0,411.7784118652344,87397,EQIX
2000-09-01,516.0,520.0,480.0,504.0,400.6492919921875,27738,EQIX
2000-09-05,506.0,520.0,496.0,498.0,395.8796691894531,23025,EQIX
2000-09-06,516.0,520.0,488.0,496.0,394.28973388671875,20559,EQIX
2000-09-07,512.0,512.0,428.0,460.0,365.67193603515625,23959,EQIX
2000-09-08,456.5,464.0,440.0,448.0,356.1327209472656,15956,EQIX
2000-09-11,442.0,448.0,432.0,444.0,352.9530029296875,34547,EQIX
2000-09-12,435.0,442.0,412.0,416.0,330.6947021484375,33853,EQIX
2000-09-13,408.0,420.0,396.0,400.0,317.9755554199219,10363,EQIX
2000-09-14,444.0,444.0,400.0,406.0,322.74517822265625,8109,EQIX
2000-09-15,402.0,416.0,400.0,402.0,319.56536865234375,3600,EQIX
