,open,high,low,close,adjclose,volume,ticker
1973-02-21,0.0,13.1875,13.0,13.0625,1.8411810398101807,3000,EVRG
1973-02-22,0.0,13.0,12.875,12.9375,1.8235629796981812,1200,EVRG
1973-02-23,0.0,12.875,12.625,12.625,1.7795155048370361,5000,EVRG
1973-02-26,0.0,12.875,12.75,12.8125,1.8059439659118652,3000,EVRG
1973-02-27,0.0,12.8125,12.6875,12.8125,1.8059439659118652,2800,EVRG
1973-02-28,0.0,12.625,12.5,12.625,1.8055864572525024,2400,EVRG
1973-03-01,0.0,12.625,12.5625,12.5625,1.7966477870941162,1200,EVRG
1973-03-02,0.0,12.5,12.3125,12.3125,1.760892629623413,3200,EVRG
1973-03-05,0.0,12.4375,12.25,12.375,1.7698323726654053,8600,EVRG
1973-03-06,0.0,12.375,12.25,12.375,1.7698323726654053,1800,EVRG
1973-03-07,0.0,12.5,12.375,12.5,1.787709355354309,9800,EVRG
1973-03-08,0.0,12.5625,12.5,12.5625,1.7966477870941162,1400,EVRG
1973-03-09,0.0,12.5625,12.375,12.375,1.7698323726654053,2200,EVRG
1973-03-12,0.0,12.5625,12.375,12.5,1.787709355354309,4200,EVRG
1973-03-13,0.0,12.5,12.375,12.375,1.7698323726654053,5800,EVRG
1973-03-14,0.0,12.5,12.3125,12.3125,1.760892629623413,1400,EVRG
1973-03-15,0.0,12.3125,12.3125,12.3125,1.760892629623413,600,EVRG
1973-03-16,0.0,12.3125,12.1875,12.1875,1.743017315864563,2800,EVRG
1973-03-19,0.0,12.5625,12.3125,12.5,1.787709355354309,15200,EVRG
1973-03-20,0.0,12.625,12.4375,12.5,1.787709355354309,8000,EVRG
1973-03-21,0.0,12.625,12.4375,12.4375,1.7787699699401855,14000,EVRG
1973-03-22,0.0,12.5,12.375,12.375,1.7698323726654053,5200,EVRG
1973-03-23,0.0,12.375,12.375,12.375,1.7698323726654053,1200,EVRG
1973-03-26,0.0,12.375,12.375,12.375,1.7698323726654053,1800,EVRG
1973-03-27,0.0,12.4375,12.3125,12.4375,1.7787699699401855,4800,EVRG
1973-03-28,0.0,12.375,12.25,12.375,1.7698323726654053,12000,EVRG
1973-03-29,0.0,12.5,12.25,12.3125,1.760892629623413,4200,EVRG
1973-03-30,12.3125,12.3125,12.3125,12.3125,1.760892629623413,0,EVRG
1973-04-02,0.0,12.375,12.0,12.0625,1.7251392602920532,4400,EVRG
1973-04-03,0.0,12.3125,12.1875,12.3125,1.760892629623413,1400,EVRG
1973-04-04,0.0,12.5,12.375,12.375,1.7698323726654053,5000,EVRG
1973-04-05,0.0,12.375,12.3125,12.375,1.7698323726654053,1400,EVRG
1973-04-06,0.0,12.375,12.3125,12.3125,1.760892629623413,4800,EVRG
1973-04-09,0.0,12.25,12.125,12.125,1.7340774536132812,3800,EVRG
1973-04-10,0.0,12.375,12.25,12.3125,1.760892629623413,2400,EVRG
1973-04-11,0.0,12.4375,12.25,12.4375,1.7787699699401855,7200,EVRG
1973-04-12,0.0,12.5,12.3125,12.3125,1.760892629623413,1800,EVRG
1973-04-13,0.0,12.5,12.3125,12.3125,1.760892629623413,4200,EVRG
1973-04-16,0.0,12.5625,12.4375,12.5625,1.7966477870941162,1600,EVRG
1973-04-17,0.0,12.5625,12.375,12.5,1.787709355354309,2800,EVRG
1973-04-18,0.0,12.4375,12.375,12.4375,1.7787699699401855,2400,EVRG
1973-04-19,0.0,12.5625,12.5,12.5625,1.7966477870941162,1600,EVRG
1973-04-23,0.0,12.5625,12.0,12.5,1.787709355354309,4600,EVRG
1973-04-24,0.0,12.5625,12.375,12.375,1.7698323726654053,1200,EVRG
1973-04-25,0.0,12.375,12.1875,12.1875,1.743017315864563,30600,EVRG
1973-04-26,0.0,12.3125,12.25,12.3125,1.760892629623413,3000,EVRG
1973-04-27,0.0,12.375,12.1875,12.375,1.7698323726654053,4200,EVRG
1973-04-30,0.0,12.4375,12.375,12.375,1.7698323726654053,4600,EVRG
1973-05-01,0.0,12.375,12.25,12.375,1.7698323726654053,600,EVRG
1973-05-02,0.0,12.3125,12.25,12.25,1.751954436302185,11600,EVRG
1973-05-03,0.0,12.4375,12.3125,12.4375,1.7787699699401855,2400,EVRG
1973-05-04,0.0,12.4375,12.3125,12.3125,1.760892629623413,2800,EVRG
1973-05-07,0.0,12.375,12.125,12.375,1.7698323726654053,3600,EVRG
1973-05-08,0.0,12.4375,12.3125,12.4375,1.7787699699401855,2200,EVRG
1973-05-09,0.0,12.5,12.1875,12.375,1.7698323726654053,16600,EVRG
1973-05-10,0.0,12.4375,12.25,12.25,1.751954436302185,5800,EVRG
1973-05-11,0.0,12.25,12.125,12.25,1.751954436302185,6400,EVRG
1973-05-14,0.0,12.375,12.25,12.375,1.7698323726654053,600,EVRG
1973-05-15,0.0,12.4375,12.25,12.4375,1.7787699699401855,3000,EVRG
1973-05-16,0.0,12.375,12.1875,12.375,1.7698323726654053,4200,EVRG
1973-05-17,0.0,12.375,12.375,12.375,1.7698323726654053,200,EVRG
1973-05-18,0.0,12.375,12.125,12.375,1.7698323726654053,6400,EVRG
1973-05-21,0.0,12.25,12.0,12.125,1.7340774536132812,7400,EVRG
1973-05-22,0.0,12.25,12.0625,12.0625,1.7251392602920532,600,EVRG
1973-05-23,0.0,12.3125,11.9375,11.9375,1.7072622776031494,8400,EVRG
1973-05-24,0.0,12.0625,11.9375,12.0,1.7162002325057983,2400,EVRG
1973-05-25,0.0,12.25,12.0625,12.0625,1.7251392602920532,6600,EVRG
1973-05-29,12.0625,12.0625,12.0625,12.0625,1.7251392602920532,0,EVRG
1973-05-30,0.0,12.125,12.0,12.0,1.7162002325057983,5400,EVRG
1973-05-31,0.0,12.125,12.0,12.125,1.7340774536132812,1800,EVRG
1973-06-01,0.0,12.0625,12.0625,12.0625,1.7251392602920532,200,EVRG
1973-06-04,0.0,12.0,11.875,12.0,1.7162002325057983,1200,EVRG
1973-06-05,0.0,12.1875,12.0,12.1875,1.743017315864563,2000,EVRG
1973-06-06,0.0,12.375,12.125,12.3125,1.760892629623413,4000,EVRG
1973-06-07,0.0,12.4375,12.125,12.4375,1.7787699699401855,5400,EVRG
1973-06-08,0.0,12.4375,12.3125,12.375,1.7698323726654053,8200,EVRG
1973-06-11,0.0,12.375,12.1875,12.1875,1.743017315864563,3400,EVRG
1973-06-12,0.0,12.375,12.25,12.375,1.7698323726654053,8800,EVRG
1973-06-13,0.0,12.4375,12.25,12.4375,1.7787699699401855,2400,EVRG
1973-06-14,0.0,12.4375,12.3125,12.4375,1.7787699699401855,1000,EVRG
1973-06-15,0.0,12.3125,12.1875,12.1875,1.743017315864563,2000,EVRG
1973-06-18,0.0,12.4375,12.1875,12.1875,1.743017315864563,3000,EVRG
1973-06-19,0.0,12.3125,12.1875,12.3125,1.760892629623413,1800,EVRG
