,open,high,low,close,adjclose,volume,ticker
1995-12-15,24.0,24.875,24.0,24.875,13.979449272155762,1283000,HIG
1995-12-18,24.875,25.0625,24.25,24.4375,13.73358154296875,2710200,HIG
1995-12-19,24.4375,24.4375,23.75,23.9375,13.452581405639648,1096600,HIG
1995-12-20,23.9375,24.6875,23.9375,24.5625,13.80383014678955,3904000,HIG
1995-12-21,24.5,24.6875,24.0625,24.25,13.628213882446289,3891400,HIG
1995-12-22,24.375,24.5625,24.25,24.375,13.698460578918457,2170200,HIG
1995-12-26,24.375,24.375,24.1875,24.3125,13.663330078125,935600,HIG
1995-12-27,24.25,24.3125,24.0625,24.0625,13.522834777832031,1391400,HIG
1995-12-28,23.9375,24.25,23.875,24.0625,13.522834777832031,1983000,HIG
1995-12-29,23.9375,24.1875,23.6875,24.1875,13.593087196350098,1028000,HIG
1996-01-02,24.0625,24.375,23.875,24.25,13.628213882446289,1641200,HIG
1996-01-03,24.1875,24.375,24.125,24.1875,13.593087196350098,2544000,HIG
1996-01-04,24.0,24.5,24.0,24.4375,13.73358154296875,2348200,HIG
1996-01-05,24.4375,24.5,24.1875,24.375,13.698460578918457,3229000,HIG
1996-01-08,24.625,24.9375,24.5,24.9375,14.014577865600586,1086400,HIG
1996-01-09,24.9375,24.9375,24.625,24.8203125,13.948711395263672,4461400,HIG
1996-01-10,24.5625,24.6875,23.9375,24.125,13.557958602905273,1805000,HIG
1996-01-11,24.375,24.4375,24.125,24.375,13.698460578918457,2521600,HIG
1996-01-12,24.875,24.875,24.3125,24.8125,13.944319725036621,1359200,HIG
1996-01-15,24.9375,25.25,24.875,25.25,14.190199851989746,945600,HIG
1996-01-16,25.6875,25.6875,25.3125,25.375,14.260451316833496,1892000,HIG
1996-01-17,25.125,25.3125,25.0625,25.0625,14.084826469421387,1104800,HIG
1996-01-18,24.9375,25.25,24.6875,25.125,14.119954109191895,1987200,HIG
1996-01-19,24.9375,25.125,24.875,25.0,14.049703598022461,1019200,HIG
1996-01-22,24.875,25.0,24.75,25.0,14.049703598022461,1224000,HIG
1996-01-23,25.25,25.5,25.1875,25.4375,14.29556941986084,2034400,HIG
1996-01-24,25.375,25.4375,25.1875,25.25,14.190199851989746,2159600,HIG
1996-01-25,25.125,25.4375,24.75,24.875,13.979449272155762,2170000,HIG
1996-01-26,24.75,25.1875,24.5625,25.1875,14.155069351196289,1425600,HIG
1996-01-29,25.0,25.125,24.8125,25.0,14.049703598022461,412800,HIG
1996-01-30,24.875,25.0,24.6875,24.8125,13.944319725036621,635200,HIG
1996-01-31,24.75,25.0625,24.625,25.0625,14.084826469421387,1502800,HIG
1996-02-01,25.3125,25.3125,25.125,25.1875,14.155069351196289,1231400,HIG
1996-02-02,25.0625,25.0625,24.6875,25.0,14.049703598022461,917200,HIG
1996-02-05,24.75,25.0625,24.75,25.0,14.049703598022461,702000,HIG
1996-02-06,25.0,25.1875,24.9375,25.125,14.119954109191895,726800,HIG
1996-02-07,25.125,25.25,24.9375,25.1875,14.155069351196289,1627800,HIG
1996-02-08,25.1875,25.625,25.125,25.625,14.400940895080566,1513200,HIG
1996-02-09,25.625,25.8125,25.3125,25.375,14.260451316833496,1344800,HIG
1996-02-12,25.375,25.8125,25.375,25.75,14.471195220947266,904400,HIG
1996-02-13,25.4375,26.125,25.4375,25.9375,14.576557159423828,1055600,HIG
1996-02-14,25.8125,26.1875,25.8125,26.0,14.611688613891602,717000,HIG
1996-02-15,25.8125,26.125,25.8125,25.875,14.541438102722168,691800,HIG
1996-02-16,25.75,25.8125,25.3125,25.4375,14.29556941986084,1504200,HIG
1996-02-20,25.0,25.625,24.9375,25.4375,14.29556941986084,1628200,HIG
1996-02-21,25.25,26.0625,25.25,25.6875,14.43606185913086,997800,HIG
1996-02-22,25.5,26.25,25.5,26.1875,14.717060089111328,1141000,HIG
1996-02-23,26.25,26.5625,26.1875,26.375,14.82243537902832,1193800,HIG
1996-02-26,26.375,26.5,26.125,26.5,14.892678260803223,748200,HIG
1996-02-27,26.4375,26.4375,26.1875,26.3125,14.78730297088623,782200,HIG
1996-02-28,26.125,26.4375,25.875,25.875,14.652813911437988,732000,HIG
1996-02-29,25.75,26.25,25.6875,25.75,14.582030296325684,1416000,HIG
1996-03-01,25.75,26.375,25.625,26.1875,14.829781532287598,714600,HIG
1996-03-04,26.5625,26.875,26.25,26.375,14.935964584350586,1050600,HIG
1996-03-05,26.375,26.4375,26.0,26.25,14.865171432495117,1455600,HIG
1996-03-06,26.25,26.3125,26.0,26.25,14.865171432495117,613400,HIG
1996-03-07,26.1875,26.25,26.0,26.0625,14.758991241455078,1108000,HIG
1996-03-08,25.125,25.5,24.5,25.125,14.228099822998047,1946400,HIG
1996-03-11,24.9375,25.1875,24.4375,24.75,14.01573657989502,850600,HIG
1996-03-12,24.375,24.5,23.9375,24.25,13.732593536376953,1167800,HIG
1996-03-13,24.1875,24.4375,24.1875,24.25,13.732593536376953,925400,HIG
1996-03-14,24.1875,24.5,24.1875,24.25,13.732593536376953,1018600,HIG
1996-03-15,24.25,24.3125,23.4375,23.5625,13.34326171875,1836000,HIG
1996-03-18,23.8125,24.375,23.8125,24.3125,13.76798152923584,1970200,HIG
1996-03-19,24.4375,25.125,24.4375,25.0,14.15731430053711,1821600,HIG
1996-03-20,25.0,25.25,24.875,25.125,14.228099822998047,976800,HIG
1996-03-21,25.125,25.25,24.9375,25.1875,14.263486862182617,842000,HIG
1996-03-22,25.3125,25.375,25.0,25.0,14.15731430053711,622800,HIG
1996-03-25,25.0625,25.5,24.9375,25.0625,14.192704200744629,839400,HIG
1996-03-26,24.875,25.125,24.875,25.0,14.15731430053711,997600,HIG
1996-03-27,24.8125,25.0625,24.8125,24.9375,14.121918678283691,788600,HIG
