,open,high,low,close,adjclose,volume,ticker
1980-10-15,10.9375,11.1875,10.9375,11.1875,3.996506690979004,77600,HP
1980-10-16,11.1875,11.78125,10.96875,11.0625,3.951855182647705,158400,HP
1980-10-17,10.96875,10.96875,10.75,10.78125,3.8513872623443604,33600,HP
1980-10-20,10.78125,10.78125,10.65625,10.78125,3.8513872623443604,30400,HP
1980-10-21,10.78125,10.96875,10.78125,10.875,3.8848726749420166,36000,HP
1980-10-22,10.875,10.9375,10.75,10.75,3.8402199745178223,28000,HP
1980-10-23,10.65625,10.65625,10.46875,10.5625,3.7732396125793457,63600,HP
1980-10-24,10.5625,10.78125,10.25,10.78125,3.8513872623443604,124800,HP
1980-10-27,10.625,10.625,10.21875,10.34375,3.6950929164886475,63600,HP
1980-10-28,10.34375,10.46875,10.34375,10.46875,3.7397491931915283,14800,HP
1980-10-29,10.46875,10.625,10.4375,10.46875,3.7397491931915283,38800,HP
1980-10-30,10.46875,10.5625,10.21875,10.25,3.6616036891937256,11600,HP
1980-10-31,10.25,10.25,10.125,10.25,3.6616036891937256,50000,HP
1980-11-03,10.25,10.875,10.25,10.875,3.8848726749420166,20000,HP
1980-11-05,11.25,11.75,11.25,11.25,4.018835544586182,183200,HP
1980-11-06,11.25,11.25,11.15625,11.1875,3.996506690979004,18800,HP
1980-11-07,11.0625,11.0625,10.875,10.96875,3.918362617492676,35600,HP
1980-11-10,11.03125,11.09375,11.03125,11.03125,3.940690040588379,26400,HP
1980-11-11,11.03125,11.03125,10.875,11.03125,3.940690040588379,41600,HP
1980-11-12,11.15625,11.28125,11.15625,11.25,4.018835544586182,173600,HP
1980-11-13,11.375,11.40625,11.375,11.40625,4.074653625488281,230800,HP
1980-11-14,11.40625,11.5,11.25,11.5,4.108141899108887,96400,HP
1980-11-17,11.46875,11.46875,11.1875,11.46875,4.096978664398193,72400,HP
1980-11-18,11.46875,11.6875,11.40625,11.5625,4.130467891693115,49200,HP
1980-11-19,11.65625,11.875,11.65625,11.75,4.197446346282959,119600,HP
1980-11-20,11.75,12.40625,11.75,12.21875,4.364902019500732,114000,HP
1980-11-21,12.53125,12.84375,12.53125,12.8125,4.577005386352539,89200,HP
1980-11-24,12.59375,12.59375,12.1875,12.5,4.4653730392456055,66800,HP
1980-11-25,12.6875,13.125,12.6875,13.09375,4.677476406097412,191600,HP
1980-11-26,13.09375,13.125,12.8125,12.9375,4.621659278869629,78000,HP
1980-11-28,12.9375,13.0,12.84375,13.0,4.643987655639648,58800,HP
1980-12-01,13.0,13.03125,12.71875,12.71875,4.543517112731934,54400,HP
1980-12-02,12.5,12.5,11.375,11.6875,4.175122261047363,103200,HP
1980-12-03,12.0,12.375,12.0,12.375,4.420717716217041,253600,HP
1980-12-04,12.375,12.40625,12.1875,12.21875,4.364902019500732,52000,HP
1980-12-05,12.0,12.0,11.59375,11.96875,4.275589466094971,70800,HP
1980-12-08,11.90625,11.90625,11.0625,11.09375,3.96301531791687,112400,HP
1980-12-09,11.09375,11.28125,11.0625,11.28125,4.029998302459717,130000,HP
1980-12-10,11.25,11.25,10.78125,11.0625,3.951855182647705,43600,HP
1980-12-11,11.0625,11.40625,10.84375,11.40625,4.074653625488281,302400,HP
1980-12-12,11.40625,11.78125,11.375,11.78125,4.208613395690918,84000,HP
1980-12-15,11.875,12.0,11.875,12.0,4.286757469177246,135600,HP
1980-12-16,12.0,12.0,11.875,11.90625,4.253267765045166,36800,HP
1980-12-17,12.0,12.6875,12.0,12.5,4.4653730392456055,98000,HP
1980-12-18,12.625,13.21875,12.625,12.71875,4.543517112731934,82800,HP
