,open,high,low,close,adjclose,volume,ticker
1999-06-25,17.5,17.666667938232422,15.666666984558105,16.479167938232422,13.470294952392578,44833800,JNPR
1999-06-28,16.3125,16.583332061767578,15.020833015441895,16.520832061767578,13.504353523254395,9166200,JNPR
1999-06-29,16.3125,22.458332061767578,15.96875,19.25,15.735212326049805,14730000,JNPR
1999-06-30,20.291667938232422,26.520832061767578,19.833332061767578,24.833332061767578,20.299104690551758,16852800,JNPR
1999-07-01,26.3125,27.0,23.666667938232422,24.333332061767578,19.890403747558594,9501000,JNPR
1999-07-02,24.5625,25.15625,22.5,23.791667938232422,19.447635650634766,3912600,JNPR
1999-07-06,24.0,25.708332061767578,22.833332061767578,23.25,19.004871368408203,3632400,JNPR
1999-07-07,23.104167938232422,23.833332061767578,21.333332061767578,22.510417938232422,18.400320053100586,4234800,JNPR
1999-07-08,22.916667938232422,23.0,21.333332061767578,21.333332061767578,17.43815803527832,2370000,JNPR
1999-07-09,22.0,22.166667938232422,20.333332061767578,22.125,18.085281372070312,2935200,JNPR
1999-07-12,22.333332061767578,22.5,21.270832061767578,21.333332061767578,17.43815803527832,1416000,JNPR
1999-07-13,20.958332061767578,22.15625,20.333332061767578,20.833332061767578,17.029449462890625,1843800,JNPR
1999-07-14,21.239582061767578,22.833332061767578,20.916667938232422,22.010417938232422,17.99161720275879,3486000,JNPR
1999-07-15,22.125,25.0,22.0,24.916667938232422,20.367229461669922,5128200,JNPR
1999-07-16,25.770832061767578,26.333332061767578,23.520832061767578,23.8125,19.464664459228516,5008800,JNPR
1999-07-19,24.708332061767578,24.833332061767578,22.458332061767578,22.5,18.391809463500977,2044800,JNPR
1999-07-20,22.104167938232422,23.958332061767578,21.229167938232422,23.0,18.80051612854004,3841800,JNPR
1999-07-21,24.083332061767578,26.229167938232422,23.666667938232422,23.958332061767578,19.5838680267334,12091200,JNPR
1999-07-22,24.802082061767578,25.604167938232422,22.625,24.75,20.230989456176758,7816800,JNPR
1999-07-23,25.333332061767578,25.5,23.833332061767578,24.3125,19.873371124267578,3629400,JNPR
1999-07-26,24.15625,24.666667938232422,23.166667938232422,24.041667938232422,19.651988983154297,4404000,JNPR
1999-07-27,24.75,24.958332061767578,24.166667938232422,24.354167938232422,19.907432556152344,2255400,JNPR
1999-07-28,24.1875,24.208332061767578,23.583332061767578,23.958332061767578,19.5838680267334,2297400,JNPR
1999-07-29,23.0,24.583332061767578,22.833332061767578,24.166667938232422,19.754161834716797,1638000,JNPR
1999-07-30,24.479167938232422,27.5,24.333332061767578,27.072917938232422,22.12976837158203,9073800,JNPR
1999-08-02,26.666667938232422,28.75,26.0,26.875,21.967992782592773,6874200,JNPR
1999-08-03,27.395832061767578,28.083332061767578,25.520832061767578,25.895832061767578,21.16761016845703,6499800,JNPR
1999-08-04,25.625,26.0,24.666667938232422,25.979167938232422,21.235729217529297,4508400,JNPR
1999-08-05,25.614582061767578,26.833332061767578,24.333332061767578,26.276042938232422,21.478397369384766,5100000,JNPR
1999-08-06,26.083332061767578,27.291667938232422,25.5625,26.666667938232422,21.797697067260742,3399000,JNPR
1999-08-09,27.0,28.28125,26.8125,27.072917938232422,22.12976837158203,2832600,JNPR
1999-08-10,27.125,28.520832061767578,26.833332061767578,28.489582061767578,23.287776947021484,3091800,JNPR
1999-08-11,28.833332061767578,30.895832061767578,28.791667938232422,30.895832061767578,25.25467872619629,4552200,JNPR
1999-08-12,30.875,33.16666793823242,30.833332061767578,32.83333206176758,26.838415145874023,4590600,JNPR
1999-08-13,34.16666793823242,35.82291793823242,33.16666793823242,35.625,29.120361328125,6362400,JNPR
1999-08-16,35.39583206176758,35.5,33.33333206176758,34.0,27.792068481445312,4176000,JNPR
1999-08-17,34.64583206176758,36.58333206176758,33.67708206176758,36.43229293823242,29.780258178710938,4975800,JNPR
1999-08-18,36.0,37.3125,34.46875,34.46875,28.17522621154785,3699600,JNPR
1999-08-19,33.83333206176758,35.0,33.5,34.5,28.200773239135742,2773800,JNPR
1999-08-20,34.90625,34.91666793823242,33.5,34.10416793823242,27.877216339111328,1428000,JNPR
1999-08-23,34.0,37.98958206176758,33.91666793823242,37.83333206176758,30.925493240356445,4897800,JNPR
1999-08-24,37.17708206176758,39.0625,36.14583206176758,36.88541793823242,30.150651931762695,7678800,JNPR
