,open,high,low,close,adjclose,volume,ticker
1973-02-21,0.0,1.828125,1.8125,1.8125,0.6141249537467957,140800,K
1973-02-22,0.0,1.828125,1.8125,1.828125,0.6194189786911011,128000,K
1973-02-23,0.0,1.828125,1.765625,1.765625,0.5982422232627869,104000,K
1973-02-26,0.0,1.765625,1.734375,1.734375,0.5933244228363037,108800,K
1973-02-27,0.0,1.7890629768371582,1.734375,1.7578129768371582,0.601343035697937,94400,K
1973-02-28,0.0,1.796875,1.7734379768371582,1.78125,0.60936039686203,43200,K
1973-03-01,0.0,1.828125,1.78125,1.828125,0.6253962516784668,147200,K
1973-03-02,0.0,1.828125,1.796875,1.8203129768371582,0.6227232217788696,142400,K
1973-03-05,0.0,1.828125,1.8046879768371582,1.8125,0.6200509071350098,27200,K
1973-03-06,0.0,1.8203129768371582,1.8046879768371582,1.8125,0.6200509071350098,116800,K
1973-03-07,0.0,1.828125,1.796875,1.8125,0.6200509071350098,49600,K
1973-03-08,0.0,1.8203129768371582,1.796875,1.8125,0.6200509071350098,110400,K
1973-03-09,0.0,1.8125,1.796875,1.796875,0.6147057414054871,129600,K
1973-03-12,0.0,1.828125,1.796875,1.796875,0.6147057414054871,68800,K
1973-03-13,0.0,1.8359379768371582,1.796875,1.8046879768371582,0.6173787117004395,65600,K
1973-03-14,0.0,1.8046879768371582,1.75,1.7734379768371582,0.6066881418228149,385600,K
1973-03-15,0.0,1.78125,1.75,1.765625,0.6040152907371521,60800,K
1973-03-16,0.0,1.8046879768371582,1.78125,1.8046879768371582,0.6173787117004395,134400,K
1973-03-19,0.0,1.828125,1.796875,1.828125,0.6253962516784668,51200,K
1973-03-20,0.0,1.859375,1.828125,1.8515629768371582,0.6334143877029419,57600,K
1973-03-21,0.0,1.859375,1.8203129768371582,1.8203129768371582,0.6227232217788696,33600,K
1973-03-22,0.0,1.8125,1.78125,1.78125,0.60936039686203,142400,K
1973-03-23,0.0,1.84375,1.796875,1.84375,0.6307417154312134,24000,K
1973-03-26,0.0,1.8515629768371582,1.828125,1.84375,0.6307417154312134,163200,K
1973-03-27,0.0,1.890625,1.859375,1.890625,0.6467772722244263,51200,K
1973-03-28,0.0,1.90625,1.859375,1.890625,0.6467772722244263,59200,K
1973-03-29,0.0,1.90625,1.875,1.90625,0.6521224975585938,123200,K
1973-03-30,0.0,1.9609379768371582,1.9140629768371582,1.9609379768371582,0.6708314418792725,155200,K
1973-04-02,0.0,1.984375,1.9453129768371582,1.96875,0.6735034584999084,62400,K
1973-04-03,0.0,1.9921879768371582,1.9375,1.9921879768371582,0.6815219521522522,57600,K
1973-04-04,0.0,1.9921879768371582,1.9453129768371582,1.953125,0.6681584715843201,49600,K
1973-04-05,0.0,2.023437976837158,1.9453129768371582,2.015625,0.6895396113395691,121600,K
1973-04-06,0.0,2.015625,1.96875,1.96875,0.6735034584999084,182400,K
1973-04-09,0.0,1.9921879768371582,1.9453129768371582,1.9921879768371582,0.6815219521522522,339200,K
1973-04-10,0.0,1.9921879768371582,1.96875,1.984375,0.6788488626480103,84800,K
1973-04-11,0.0,1.9921879768371582,1.96875,1.9765629768371582,0.6761760711669922,19200,K
1973-04-12,0.0,1.984375,1.953125,1.953125,0.6681584715843201,27200,K
1973-04-13,0.0,1.96875,1.9375,1.96875,0.6735034584999084,27200,K
1973-04-16,0.0,1.9921879768371582,1.984375,1.9921879768371582,0.6815219521522522,32000,K
1973-04-17,0.0,2.054687976837158,1.9921879768371582,2.015625,0.6895396113395691,107200,K
1973-04-18,0.0,2.03125,1.984375,2.0,0.6841939687728882,67200,K
1973-04-19,0.0,2.03125,2.0,2.0,0.6841939687728882,54400,K
1973-04-23,0.0,2.015625,1.984375,1.9921879768371582,0.6815219521522522,40000,K
1973-04-24,0.0,1.9921879768371582,1.9609379768371582,1.9921879768371582,0.6815219521522522,64000,K
1973-04-25,0.0,1.984375,1.96875,1.9765629768371582,0.6761760711669922,68800,K
1973-04-26,0.0,1.984375,1.8828129768371582,1.953125,0.6681584715843201,96000,K
1973-04-27,0.0,1.9453129768371582,1.9140629768371582,1.921875,0.6574676632881165,27200,K
1973-04-30,0.0,1.96875,1.90625,1.953125,0.6681584715843201,92000,K
1973-05-01,0.0,2.0,1.921875,1.921875,0.6574676632881165,51200,K
1973-05-02,0.0,1.984375,1.921875,1.984375,0.6788488626480103,10400,K
1973-05-03,0.0,2.09375,2.0,2.0625,0.7055755257606506,106400,K
1973-05-04,0.0,2.203125,2.046875,2.171875,0.7429922819137573,194400,K
1973-05-07,0.0,2.171875,2.078125,2.078125,0.7109203934669495,59200,K
1973-05-08,0.0,2.125,2.078125,2.125,0.7269561886787415,62400,K
1973-05-09,0.0,2.1875,2.09375,2.09375,0.7162656784057617,128800,K
1973-05-10,0.0,2.140625,2.03125,2.078125,0.7109203934669495,92000,K
1973-05-11,0.0,2.125,2.0625,2.125,0.7269561886787415,20800,K
1973-05-14,0.0,2.125,2.046875,2.09375,0.7162656784057617,48800,K
1973-05-15,0.0,2.109375,2.015625,2.046875,0.700230062007904,50400,K
1973-05-16,0.0,2.046875,2.0,2.015625,0.6895396113395691,66400,K
1973-05-17,0.0,2.046875,1.96875,2.0,0.6841939687728882,31200,K
1973-05-18,0.0,2.03125,1.9375,1.96875,0.6735034584999084,64800,K
1973-05-21,0.0,2.046875,1.921875,2.015625,0.6895396113395691,80000,K
1973-05-22,0.0,2.046875,1.96875,2.046875,0.700230062007904,75200,K
1973-05-23,0.0,2.046875,2.0,2.03125,0.6948851346969604,48000,K
1973-05-24,0.0,2.046875,1.984375,2.046875,0.700230062007904,53600,K
1973-05-25,0.0,2.046875,2.0,2.03125,0.6948851346969604,39200,K
1973-05-29,0.0,2.046875,2.015625,2.046875,0.700230062007904,48000,K
1973-05-30,0.0,2.03125,1.953125,1.96875,0.6735034584999084,149600,K
1973-05-31,0.0,1.953125,1.875,1.875,0.6414316892623901,69600,K
1973-06-01,0.0,1.953125,1.859375,1.9375,0.6628127098083496,61600,K
1973-06-04,0.0,1.953125,1.90625,1.90625,0.6521224975585938,41600,K
1973-06-05,0.0,1.9375,1.90625,1.90625,0.6521224975585938,113600,K
1973-06-06,0.0,2.015625,1.921875,1.984375,0.6788488626480103,78400,K
1973-06-07,0.0,2.015625,1.96875,2.0,0.6841939687728882,43200,K
1973-06-08,0.0,2.09375,2.03125,2.078125,0.7109203934669495,107200,K
1973-06-11,0.0,2.109375,2.0625,2.0625,0.7055755257606506,116800,K
1973-06-12,0.0,2.09375,2.046875,2.0625,0.7055755257606506,63200,K
1973-06-13,0.0,2.078125,2.046875,2.0625,0.7055755257606506,287200,K
1973-06-14,0.0,2.046875,1.90625,1.96875,0.6735034584999084,86400,K
1973-06-15,0.0,1.984375,1.921875,1.921875,0.6574676632881165,47200,K
1973-06-18,0.0,1.953125,1.90625,1.953125,0.6681584715843201,50400,K
1973-06-19,0.0,1.984375,1.9375,1.953125,0.6681584715843201,54400,K
1973-06-20,0.0,2.0,1.953125,1.96875,0.6735034584999084,35200,K
1973-06-21,0.0,1.96875,1.96875,1.96875,0.6735034584999084,71200,K
1973-06-22,0.0,2.0,1.96875,2.0,0.6841939687728882,32000,K
1973-06-25,0.0,2.0,1.96875,1.96875,0.6735034584999084,48800,K
1973-06-26,0.0,1.96875,1.84375,1.84375,0.6307417154312134,118400,K
1973-06-27,0.0,1.84375,1.625,1.703125,0.5826340913772583,494400,K
1973-06-28,0.0,1.765625,1.71875,1.765625,0.6040152907371521,332800,K
1973-06-29,0.0,1.765625,1.71875,1.765625,0.6040152907371521,92800,K
1973-07-02,0.0,1.796875,1.734375,1.734375,0.5933244228363037,29600,K
1973-07-03,0.0,1.8125,1.734375,1.8125,0.6200509071350098,46400,K
1973-07-05,0.0,1.8125,1.75,1.75,0.5986697673797607,10400,K
1973-07-06,0.0,1.765625,1.734375,1.734375,0.5933244228363037,15200,K
1973-07-09,0.0,1.796875,1.734375,1.734375,0.5933244228363037,60800,K
1973-07-10,0.0,1.765625,1.734375,1.765625,0.6040152907371521,47200,K
1973-07-11,0.0,1.796875,1.75,1.796875,0.6147057414054871,46400,K
1973-07-12,0.0,1.796875,1.734375,1.734375,0.5933244228363037,56800,K
1973-07-13,0.0,1.78125,1.734375,1.734375,0.5933244228363037,79200,K
1973-07-16,0.0,1.8125,1.75,1.8125,0.6200509071350098,44800,K
1973-07-17,0.0,1.8125,1.75,1.75,0.5986697673797607,40000,K
1973-07-18,0.0,1.734375,1.6875,1.703125,0.5826340913772583,128000,K
1973-07-19,0.0,1.765625,1.734375,1.75,0.5986697673797607,48800,K
1973-07-20,0.0,1.859375,1.75,1.859375,0.6360868215560913,87200,K
1973-07-23,0.0,1.859375,1.796875,1.8125,0.6200509071350098,73600,K
1973-07-24,0.0,1.8125,1.78125,1.8125,0.6200509071350098,60800,K
1973-07-25,0.0,1.828125,1.78125,1.78125,0.60936039686203,29600,K
1973-07-26,0.0,1.859375,1.765625,1.84375,0.6307417154312134,307200,K
1973-07-27,0.0,1.84375,1.78125,1.8125,0.6200509071350098,197600,K
1973-07-30,0.0,1.8125,1.796875,1.796875,0.6147057414054871,37600,K
1973-07-31,0.0,1.828125,1.78125,1.78125,0.60936039686203,39200,K
1973-08-01,0.0,1.796875,1.734375,1.78125,0.60936039686203,117600,K
1973-08-02,0.0,1.796875,1.75,1.796875,0.6147057414054871,43200,K
1973-08-03,0.0,1.8125,1.8125,1.8125,0.6200509071350098,57600,K
1973-08-06,0.0,1.84375,1.75,1.84375,0.6307417154312134,80000,K
1973-08-07,0.0,1.859375,1.734375,1.75,0.5986697673797607,144800,K
1973-08-08,0.0,1.75,1.734375,1.734375,0.5933244228363037,21600,K
1973-08-09,0.0,1.75,1.734375,1.734375,0.5933244228363037,106400,K
1973-08-10,0.0,1.75,1.71875,1.734375,0.5933244228363037,182400,K
1973-08-13,0.0,1.71875,1.703125,1.703125,0.5826340913772583,16800,K
1973-08-14,0.0,1.765625,1.703125,1.734375,0.5933244228363037,238400,K
1973-08-15,0.0,1.78125,1.765625,1.765625,0.6040152907371521,314400,K
1973-08-16,0.0,1.765625,1.75,1.75,0.5986697673797607,55200,K
1973-08-17,0.0,1.75,1.71875,1.75,0.5986697673797607,60800,K
1973-08-20,0.0,1.765625,1.75,1.75,0.5986697673797607,26400,K
1973-08-21,0.0,1.78125,1.734375,1.734375,0.5933244228363037,47200,K
1973-08-22,0.0,1.75,1.734375,1.734375,0.5933244228363037,24800,K
1973-08-23,0.0,1.75,1.734375,1.734375,0.5933244228363037,21600,K
1973-08-24,0.0,1.765625,1.75,1.75,0.5986697673797607,14400,K
1973-08-27,0.0,1.765625,1.734375,1.734375,0.5933244228363037,40800,K
1973-08-28,0.0,1.796875,1.734375,1.796875,0.6147057414054871,19200,K
1973-08-29,0.0,1.796875,1.75,1.765625,0.6040152907371521,65600,K
1973-08-30,0.0,1.765625,1.765625,1.765625,0.6040152907371521,20000,K
