,open,high,low,close,adjclose,volume,ticker
1987-11-05,6.154910087585449,6.189487934112549,6.085753917694092,6.120331764221191,1.7669477462768555,55310,KEY
1987-11-06,6.154910087585449,6.224065780639648,6.120331764221191,6.120331764221191,1.7669477462768555,212201,KEY
1987-11-09,6.085753917694092,6.154910087585449,5.947441101074219,5.947441101074219,1.7170332670211792,107727,KEY
1987-11-10,6.016598224639893,6.154910087585449,5.947441101074219,6.120331764221191,1.7669477462768555,61816,KEY
1987-11-11,6.016598224639893,6.189487934112549,6.016598224639893,6.120331764221191,1.7669477462768555,65793,KEY
1987-11-12,6.224065780639648,6.500691890716553,6.154910087585449,6.466113090515137,1.8667746782302856,102305,KEY
1987-11-13,6.396956920623779,6.56984806060791,6.36237907409668,6.466113090515137,1.8667746782302856,30366,KEY
1987-11-16,6.396956920623779,6.500691890716553,6.36237907409668,6.431534767150879,1.8567904233932495,53502,KEY
1987-11-17,6.466113090515137,6.500691890716553,6.293222904205322,6.32780122756958,1.8268438577651978,30004,KEY
1987-11-18,6.293222904205322,6.293222904205322,6.085753917694092,6.154910087585449,1.7769293785095215,38681,KEY
1987-11-19,6.016598224639893,6.085753917694092,5.809129238128662,5.809129238128662,1.677101731300354,422955,KEY
1987-11-20,5.878284931182861,5.912862777709961,5.670815944671631,5.809129238128662,1.677101731300354,111342,KEY
1987-11-23,5.878284931182861,5.912862777709961,5.809129238128662,5.843707084655762,1.6870851516723633,31812,KEY
1987-11-24,5.809129238128662,6.051176071166992,5.7053937911987305,5.982018947601318,1.7270160913467407,198464,KEY
1987-11-25,5.982018947601318,5.982018947601318,5.843707084655762,5.843707084655762,1.6870851516723633,96159,KEY
1987-11-27,5.809129238128662,5.912862777709961,5.809129238128662,5.912862777709961,1.7070503234863281,31089,KEY
1987-11-30,5.843707084655762,5.843707084655762,5.7053937911987305,5.774549961090088,1.6671189069747925,74831,KEY
1987-12-01,5.739972114562988,5.912862777709961,5.739972114562988,5.878284931182861,1.6970680952072144,96882,KEY
1987-12-02,5.843707084655762,5.912862777709961,5.809129238128662,5.843707084655762,1.6870851516723633,78446,KEY
1987-12-03,5.809129238128662,5.878284931182861,5.739972114562988,5.739972114562988,1.6571367979049683,29281,KEY
1987-12-04,5.670815944671631,5.7053937911987305,5.636238098144531,5.636238098144531,1.627189040184021,73385,KEY
1987-12-07,5.601659774780273,5.670815944671631,5.567081928253174,5.567081928253174,1.6072235107421875,46272,KEY
1987-12-08,5.567081928253174,5.809129238128662,5.567081928253174,5.809129238128662,1.677101731300354,84230,KEY
1987-12-09,5.739972114562988,5.774549961090088,5.4633469581604,5.601659774780273,1.617206335067749,111342,KEY
1987-12-10,5.532503128051758,5.567081928253174,5.4633469581604,5.567081928253174,1.6072235107421875,63985,KEY
1987-12-11,5.4979248046875,5.601659774780273,5.428769111633301,5.4979248046875,1.5872571468353271,48441,KEY
1987-12-14,5.532503128051758,5.636238098144531,5.4633469581604,5.601659774780273,1.617206335067749,92906,KEY
1987-12-15,5.532503128051758,5.7053937911987305,5.532503128051758,5.670815944671631,1.6371710300445557,67962,KEY
1987-12-16,5.7053937911987305,5.774549961090088,5.601659774780273,5.601659774780273,1.617206335067749,131948,KEY
1987-12-17,5.601659774780273,5.947441101074219,5.601659774780273,5.774549961090088,1.6671189069747925,295707,KEY
1987-12-18,5.843707084655762,6.016598224639893,5.774549961090088,6.016598224639893,1.7369990348815918,198825,KEY
1987-12-21,6.016598224639893,6.154910087585449,5.774549961090088,5.912862777709961,1.7070503234863281,109535,KEY
1987-12-22,5.982018947601318,5.982018947601318,5.843707084655762,5.982018947601318,1.7270160913467407,114234,KEY
1987-12-23,5.878284931182861,6.293222904205322,5.739972114562988,6.154910087585449,1.8002384901046753,135201,KEY
1987-12-24,6.224065780639648,6.224065780639648,6.016598224639893,6.085753917694092,1.7800123691558838,135924,KEY
1987-12-28,6.016598224639893,6.32780122756958,5.878284931182861,6.258645057678223,1.8305814266204834,77000,KEY
1987-12-29,6.189487934112549,6.224065780639648,6.016598224639893,6.016598224639893,1.7597845792770386,46995,KEY
1987-12-30,5.947441101074219,6.189487934112549,5.878284931182861,6.085753917694092,1.7800123691558838,74108,KEY
1987-12-31,6.085753917694092,6.085753917694092,5.809129238128662,5.878284931182861,1.7193301916122437,53864,KEY
1988-01-04,5.809129238128662,6.154910087585449,5.809129238128662,6.051176071166992,1.7698974609375,67962,KEY
1988-01-05,6.120331764221191,6.258645057678223,6.120331764221191,6.258645057678223,1.8305814266204834,158699,KEY
1988-01-06,6.36237907409668,6.36237907409668,6.154910087585449,6.224065780639648,1.8204654455184937,215093,KEY
1988-01-07,6.154910087585449,6.32780122756958,6.154910087585449,6.32780122756958,1.8508079051971436,86037,KEY
1988-01-08,6.293222904205322,6.293222904205322,6.016598224639893,6.016598224639893,1.7597845792770386,30727,KEY
1988-01-11,6.016598224639893,6.085753917694092,5.947441101074219,6.016598224639893,1.7597845792770386,28920,KEY
1988-01-12,5.947441101074219,6.016598224639893,5.774549961090088,5.912862777709961,1.729442834854126,98690,KEY
