,open,high,low,close,adjclose,volume,ticker
1980-03-17,0.0,2.4439809322357178,2.402790069580078,2.402790069580078,1.038932204246521,181170,MAS
1980-03-18,0.0,2.4714410305023193,2.402790069580078,2.4714410305023193,1.068615198135376,42789,MAS
1980-03-19,0.0,2.4989020824432373,2.4577109813690186,2.4577109813690186,1.0626789331436157,40968,MAS
1980-03-20,0.0,2.4989020824432373,2.4577109813690186,2.4577109813690186,1.0626789331436157,545330,MAS
1980-03-21,0.0,2.4302499294281006,2.3890600204467773,2.402790069580078,1.038932204246521,29133,MAS
1980-03-24,0.0,2.3890600204467773,2.306678056716919,2.306678056716919,0.9973744750022888,247629,MAS
1980-03-25,0.0,2.3753299713134766,2.320409059524536,2.3753299713134766,1.027058482170105,78294,MAS
1980-03-26,0.0,2.3615989685058594,2.306678056716919,2.306678056716919,0.9973744750022888,217586,MAS
1980-03-27,0.0,2.2792179584503174,2.1693758964538574,2.1693758964538574,0.9380074143409729,201198,MAS
1980-03-28,0.0,2.2517569065093994,2.1968369483947754,2.224297046661377,0.9617538452148438,120173,MAS
1980-03-31,0.0,2.306678056716919,2.2380270957946777,2.2380270957946777,0.9676904678344727,91950,MAS
1980-04-01,0.0,2.292948007583618,2.2380270957946777,2.2792179584503174,0.9855009913444519,159320,MAS
1980-04-02,0.0,2.320409059524536,2.2517569065093994,2.306678056716919,0.9973744750022888,203930,MAS
1980-04-03,0.0,2.306678056716919,2.292948007583618,2.306678056716919,0.9973744750022888,38237,MAS
1980-04-07,0.0,2.320409059524536,2.292948007583618,2.306678056716919,0.9973744750022888,82846,MAS
1980-04-08,0.0,2.3478689193725586,2.292948007583618,2.3478689193725586,1.0151846408843994,50072,MAS
1980-04-09,0.0,2.3753299713134766,2.320409059524536,2.3478689193725586,1.0151846408843994,55534,MAS
1980-04-10,0.0,2.402790069580078,2.3478689193725586,2.402790069580078,1.038932204246521,17298,MAS
1980-04-11,0.0,2.5263619422912598,2.4439809322357178,2.4714410305023193,1.068615198135376,39147,MAS
1980-04-14,0.0,2.512631893157959,2.4439809322357178,2.4577109813690186,1.0626789331436157,756542,MAS
1980-04-15,0.0,2.4439809322357178,2.416520118713379,2.4439809322357178,1.0567423105239868,303163,MAS
1980-04-16,0.0,2.48517107963562,2.4302499294281006,2.4439809322357178,1.0567423105239868,390562,MAS
1980-04-17,0.0,2.4714410305023193,2.3753299713134766,2.3753299713134766,1.027058482170105,446096,MAS
1980-04-18,0.0,2.3753299713134766,2.3615989685058594,2.3753299713134766,1.027058482170105,200288,MAS
1980-04-21,0.0,2.3753299713134766,2.334139108657837,2.3753299713134766,1.027058482170105,69190,MAS
1980-04-22,0.0,2.3753299713134766,2.3478689193725586,2.3478689193725586,1.0151846408843994,358698,MAS
1980-04-23,0.0,2.3753299713134766,2.334139108657837,2.3478689193725586,1.0151846408843994,69190,MAS
