,open,high,low,close,adjclose,volume,ticker
1994-10-31,8.1875,8.3125,8.1875,8.3125,6.694354057312012,1984200,MCO
1994-11-01,8.3125,8.3125,8.1875,8.25,6.644023895263672,2176400,MCO
1994-11-02,8.25,8.25,8.1875,8.1875,6.593690872192383,2348200,MCO
1994-11-03,8.1875,8.25,8.125,8.1875,6.593690872192383,2060800,MCO
1994-11-04,8.1875,8.25,8.125,8.125,6.543359279632568,2663800,MCO
1994-11-07,8.0625,8.0625,8.0,8.0625,6.493025779724121,1049400,MCO
1994-11-08,8.0625,8.0625,7.875,7.875,6.342025279998779,5761000,MCO
1994-11-09,7.9375,8.0625,7.9375,8.0,6.442691326141357,2480000,MCO
1994-11-10,8.0,8.0625,8.0,8.0625,6.493025779724121,1956000,MCO
1994-11-11,8.0625,8.0625,8.0,8.0,6.442691326141357,1300200,MCO
1994-11-14,7.9375,7.9375,7.875,7.9375,6.392357349395752,1419200,MCO
1994-11-15,7.9375,7.9375,7.875,7.875,6.342025279998779,3118800,MCO
1994-11-16,7.875,7.9375,7.875,7.875,6.342025279998779,813400,MCO
1994-11-17,7.875,7.875,7.75,7.8125,6.291688919067383,1477600,MCO
1994-11-18,7.8125,7.8125,7.6875,7.75,6.241355895996094,2452600,MCO
1994-11-21,7.75,7.75,7.5625,7.5625,6.090355396270752,3276000,MCO
1994-11-22,7.5625,7.625,7.4375,7.4375,5.989688873291016,2725000,MCO
1994-11-23,7.4375,7.5,7.3125,7.5,6.0400214195251465,2634200,MCO
1994-11-25,7.5,7.5,7.5,7.5,6.0400214195251465,640800,MCO
1994-11-28,7.5,7.5625,7.4375,7.5625,6.090355396270752,1583400,MCO
1994-11-29,7.5625,7.5625,7.4375,7.5,6.0400214195251465,1056400,MCO
1994-11-30,7.5,7.5,7.4375,7.5,6.0400214195251465,1086800,MCO
1994-12-01,7.5,7.5,7.4375,7.4375,5.989688873291016,979000,MCO
1994-12-02,7.4375,7.5,7.375,7.5,6.0400214195251465,1257200,MCO
1994-12-05,7.5,7.5625,7.4375,7.4375,5.989688873291016,1071200,MCO
1994-12-06,7.4375,7.4375,7.375,7.4375,5.989688873291016,1819200,MCO
1994-12-07,7.4375,7.4375,7.3125,7.375,5.93935489654541,1223400,MCO
1994-12-08,7.375,7.4375,7.375,7.375,5.93935489654541,1178400,MCO
1994-12-09,7.375,7.375,7.3125,7.375,5.93935489654541,1682000,MCO
1994-12-12,7.375,7.4375,7.3125,7.375,5.93935489654541,1011400,MCO
1994-12-13,7.375,7.5,7.375,7.4375,5.989688873291016,1555200,MCO
1994-12-14,7.4375,7.5,7.4375,7.5,6.0400214195251465,1351600,MCO
1994-12-15,7.5,7.5625,7.375,7.5,6.0400214195251465,2600400,MCO
1994-12-16,7.5,7.5625,7.4375,7.5,6.0400214195251465,3428800,MCO
1994-12-19,7.5,7.625,7.375,7.5625,6.090355396270752,3590000,MCO
1994-12-20,7.5625,7.625,7.5625,7.625,6.140690326690674,1464200,MCO
1994-12-21,7.625,7.6875,7.625,7.625,6.140690326690674,3717600,MCO
1994-12-22,7.625,7.75,7.625,7.75,6.241355895996094,1467200,MCO
1994-12-23,7.75,7.75,7.625,7.625,6.140690326690674,1012000,MCO
1994-12-27,7.625,7.75,7.625,7.75,6.241355895996094,3242800,MCO
1994-12-28,7.75,7.75,7.625,7.75,6.241355895996094,1814400,MCO
1994-12-29,7.75,7.8125,7.75,7.8125,6.291688919067383,1436200,MCO
1994-12-30,7.8125,7.8125,7.6875,7.8125,6.291688919067383,1365600,MCO
1995-01-03,7.8125,7.8125,7.6875,7.75,6.241355895996094,1064200,MCO
1995-01-04,7.75,7.8125,7.625,7.6875,6.191020488739014,1751600,MCO
1995-01-05,7.6875,7.75,7.625,7.75,6.241355895996094,1600200,MCO
1995-01-06,7.75,7.8125,7.6875,7.6875,6.191020488739014,2230600,MCO
1995-01-09,7.6875,7.75,7.625,7.6875,6.191020488739014,2108800,MCO
1995-01-10,7.6875,7.75,7.6875,7.6875,6.191020488739014,1580600,MCO
1995-01-11,7.6875,7.6875,7.5625,7.625,6.140690326690674,3488600,MCO
1995-01-12,7.5625,7.5625,7.5,7.5,6.0400214195251465,1875600,MCO
1995-01-13,7.5625,7.5625,7.5625,7.5625,6.090355396270752,2206600,MCO
1995-01-16,7.5625,7.625,7.5625,7.625,6.140690326690674,3502000,MCO
