,open,high,low,close,adjclose,volume,ticker
1988-05-02,0.0,3.0,2.75,2.75,2.5836403369903564,800,MGM
1988-05-03,0.0,3.125,2.75,2.75,2.5836403369903564,400,MGM
1988-05-04,0.0,3.125,2.75,2.75,2.5836403369903564,2800,MGM
1988-05-05,2.75,2.75,2.75,2.75,2.5836403369903564,0,MGM
1988-05-06,0.0,3.125,2.75,2.75,2.5836403369903564,800,MGM
1988-05-09,0.0,3.125,2.75,2.75,2.5836403369903564,400,MGM
1988-05-10,0.0,3.125,2.75,2.75,2.5836403369903564,0,MGM
1988-05-11,0.0,3.125,2.75,2.75,2.5836403369903564,2000,MGM
1988-05-12,0.0,3.0,2.75,2.75,2.5836403369903564,0,MGM
1988-05-13,2.75,2.75,2.75,2.75,2.5836403369903564,0,MGM
1988-05-16,0.0,3.0,2.75,2.75,2.5836403369903564,0,MGM
1988-05-17,2.75,2.75,2.75,2.75,2.5836403369903564,0,MGM
1988-05-18,0.0,3.0,2.75,2.75,2.5836403369903564,7200,MGM
1988-05-19,0.0,2.875,2.625,2.625,2.4662015438079834,2400,MGM
1988-05-20,0.0,2.875,2.625,2.625,2.4662015438079834,1600,MGM
1988-05-23,2.625,2.625,2.625,2.625,2.4662015438079834,0,MGM
1988-05-24,2.625,2.625,2.625,2.625,2.4662015438079834,0,MGM
1988-05-25,0.0,2.875,2.6875,2.6875,2.52492094039917,800,MGM
1988-05-26,2.6875,2.6875,2.6875,2.6875,2.52492094039917,0,MGM
1988-05-27,0.0,2.9375,2.75,2.75,2.5836403369903564,8000,MGM
1988-05-31,2.75,2.75,2.75,2.75,2.5836403369903564,0,MGM
1988-06-01,0.0,2.9375,2.75,2.75,2.5836403369903564,400,MGM
1988-06-02,0.0,2.9375,2.75,2.75,2.5836403369903564,400,MGM
1988-06-03,0.0,3.25,2.875,2.875,2.701078176498413,1600,MGM
1988-06-06,0.0,3.25,2.875,2.875,2.701078176498413,4400,MGM
1988-06-07,2.875,2.875,2.875,2.875,2.701078176498413,0,MGM
1988-06-08,0.0,3.25,2.9375,2.9375,2.7597970962524414,2800,MGM
1988-06-09,0.0,3.25,2.9375,2.9375,2.7597970962524414,0,MGM
1988-06-10,0.0,3.25,2.9375,2.9375,2.7597970962524414,2000,MGM
1988-06-13,2.9375,2.9375,2.9375,2.9375,2.7597970962524414,0,MGM
1988-06-14,0.0,3.25,2.9375,2.9375,2.7597970962524414,400,MGM
1988-06-15,2.9375,2.9375,2.9375,2.9375,2.7597970962524414,0,MGM
1988-06-16,2.9375,2.9375,2.9375,2.9375,2.7597970962524414,0,MGM
1988-06-17,0.0,3.25,2.9375,2.9375,2.7597970962524414,400,MGM
1988-06-20,2.9375,2.9375,2.9375,2.9375,2.7597970962524414,0,MGM
1988-06-21,2.9375,2.9375,2.9375,2.9375,2.7597970962524414,0,MGM
1988-06-22,0.0,3.25,3.0,3.0,2.8185172080993652,2000,MGM
1988-06-23,0.0,3.375,3.0,3.0,2.8185172080993652,0,MGM
1988-06-24,0.0,3.375,3.0,3.0,2.8185172080993652,0,MGM
1988-06-27,0.0,3.375,3.0625,3.0625,2.8772363662719727,1600,MGM
1988-06-28,3.0625,3.0625,3.0625,3.0625,2.8772363662719727,0,MGM
1988-06-29,3.0625,3.0625,3.0625,3.0625,2.8772363662719727,0,MGM
1988-06-30,3.0625,3.0625,3.0625,3.0625,2.8772363662719727,0,MGM
1988-07-01,0.0,3.4375,3.125,3.125,2.9359548091888428,400,MGM
1988-07-05,3.125,3.125,3.125,3.125,2.9359548091888428,0,MGM
1988-07-06,0.0,3.4375,3.125,3.125,2.9359548091888428,400,MGM
1988-07-07,0.0,3.5,3.125,3.125,2.9359548091888428,2000,MGM
1988-07-08,3.125,3.125,3.125,3.125,2.9359548091888428,0,MGM
1988-07-11,3.125,3.125,3.125,3.125,2.9359548091888428,0,MGM
1988-07-12,0.0,3.5,3.125,3.125,2.9359548091888428,800,MGM
1988-07-13,0.0,3.5,3.25,3.25,3.0533928871154785,3200,MGM
1988-07-14,3.25,3.25,3.25,3.25,3.0533928871154785,0,MGM
1988-07-15,0.0,3.5,3.25,3.25,3.0533928871154785,1600,MGM
1988-07-18,0.0,3.625,3.25,3.25,3.0533928871154785,400,MGM
1988-07-19,3.25,3.25,3.25,3.25,3.0533928871154785,0,MGM
1988-07-20,0.0,3.625,3.25,3.25,3.0533928871154785,400,MGM
1988-07-21,3.25,3.25,3.25,3.25,3.0533928871154785,0,MGM
1988-07-22,3.25,3.25,3.25,3.25,3.0533928871154785,0,MGM
1988-07-25,3.25,3.25,3.25,3.25,3.0533928871154785,0,MGM
1988-07-26,0.0,3.5,3.25,3.25,3.0533928871154785,3200,MGM
1988-07-27,0.0,3.5,3.1875,3.1875,2.99467396736145,2000,MGM
