,open,high,low,close,adjclose,volume,ticker
1973-02-21,0.0,22.625,22.125,22.375,4.933436870574951,4300,PNW
1973-02-22,0.0,22.5,22.125,22.5,4.960996627807617,4000,PNW
1973-02-23,0.0,22.5,22.0,22.0,4.8507561683654785,3500,PNW
1973-02-26,0.0,22.125,21.75,21.875,4.8231940269470215,2200,PNW
1973-02-27,0.0,21.875,21.5,21.5,4.740509510040283,6400,PNW
1973-02-28,0.0,21.75,21.5,21.625,4.76807165145874,2200,PNW
1973-03-01,0.0,21.875,21.5,21.625,4.76807165145874,6200,PNW
1973-03-02,0.0,21.875,21.625,21.75,4.795630931854248,3100,PNW
1973-03-05,0.0,22.0,20.5,20.75,4.575143337249756,27800,PNW
1973-03-06,0.0,21.125,20.875,20.875,4.60270357131958,7900,PNW
1973-03-07,0.0,21.375,21.0,21.25,4.685385227203369,4400,PNW
1973-03-08,0.0,21.625,21.0,21.25,4.685385227203369,14200,PNW
1973-03-09,0.0,21.375,20.875,20.875,4.60270357131958,3600,PNW
1973-03-12,0.0,20.875,20.5,20.5,4.520018100738525,4800,PNW
1973-03-13,0.0,21.375,20.5,21.125,4.657824516296387,8400,PNW
1973-03-14,0.0,21.25,20.75,21.0,4.630263328552246,9500,PNW
1973-03-15,0.0,21.375,21.0,21.0,4.630263328552246,6600,PNW
1973-03-16,0.0,21.375,20.75,20.75,4.575143337249756,5900,PNW
1973-03-19,0.0,21.0,20.625,20.625,4.547580242156982,5900,PNW
1973-03-20,0.0,20.5,20.25,20.375,4.492455005645752,6300,PNW
1973-03-21,0.0,20.375,20.25,20.375,4.492455005645752,5700,PNW
1973-03-22,0.0,20.375,19.875,19.875,4.382213115692139,7000,PNW
1973-03-23,0.0,20.0,19.625,20.0,4.409775733947754,10400,PNW
1973-03-26,0.0,20.25,20.0,20.25,4.464896202087402,5700,PNW
1973-03-27,0.0,20.375,20.0,20.25,4.464896202087402,8300,PNW
1973-03-28,0.0,20.5,20.125,20.25,4.464896202087402,3500,PNW
1973-03-29,0.0,20.625,20.0,20.5,4.520018100738525,34400,PNW
1973-03-30,0.0,20.75,20.5,20.625,4.547580242156982,3400,PNW
1973-04-02,0.0,20.75,19.875,19.875,4.382213115692139,19000,PNW
1973-04-03,0.0,19.875,19.75,19.875,4.382213115692139,7700,PNW
1973-04-04,0.0,19.875,19.5,19.5,4.299531936645508,17200,PNW
1973-04-05,0.0,19.625,19.25,19.625,4.327092170715332,7400,PNW
1973-04-06,0.0,19.625,19.25,19.375,4.271970272064209,9300,PNW
1973-04-09,0.0,20.125,19.5,20.0,4.409775733947754,5500,PNW
1973-04-10,0.0,20.125,19.625,19.875,4.382213115692139,22500,PNW
1973-04-11,0.0,20.0,19.875,19.875,4.382213115692139,10800,PNW
1973-04-12,0.0,20.125,19.75,20.0,4.409775733947754,22900,PNW
1973-04-13,0.0,20.625,20.25,20.5,4.520018100738525,7600,PNW
1973-04-16,0.0,20.75,20.375,20.625,4.547580242156982,3000,PNW
1973-04-17,0.0,21.0,20.75,20.75,4.575143337249756,1900,PNW
1973-04-18,0.0,21.125,20.875,21.125,4.657824516296387,1800,PNW
1973-04-19,0.0,22.25,21.125,21.875,4.8231940269470215,7000,PNW
1973-04-23,0.0,22.5,22.0,22.125,4.878312110900879,18900,PNW
1973-04-24,0.0,22.25,21.875,21.875,4.8231940269470215,5400,PNW
1973-04-25,0.0,21.375,20.875,21.25,4.748335838317871,3800,PNW
1973-04-26,0.0,21.375,21.125,21.25,4.748335838317871,3100,PNW
1973-04-27,0.0,21.5,21.125,21.25,4.748335838317871,3800,PNW
1973-04-30,0.0,21.5,21.0,21.0,4.692472457885742,5700,PNW
1973-05-01,0.0,21.5,21.125,21.125,4.720405101776123,6900,PNW
1973-05-02,0.0,21.5,21.0,21.5,4.80419921875,5000,PNW
1973-05-03,0.0,21.75,21.25,21.75,4.86005973815918,3800,PNW
1973-05-04,0.0,22.625,22.0,22.375,4.999717712402344,6800,PNW
1973-05-07,0.0,22.5,21.75,21.75,4.86005973815918,5100,PNW
1973-05-08,0.0,21.75,21.5,21.75,4.86005973815918,8300,PNW
1973-05-09,0.0,21.875,21.625,21.625,4.8321309089660645,2500,PNW
1973-05-10,0.0,21.875,21.625,21.75,4.86005973815918,13700,PNW
1973-05-11,0.0,21.75,21.625,21.75,4.86005973815918,6700,PNW
1973-05-14,0.0,21.375,20.75,21.125,4.720405101776123,10900,PNW
1973-05-15,0.0,21.25,20.75,21.0,4.692472457885742,9800,PNW
1973-05-16,0.0,21.375,20.75,21.0,4.692472457885742,4400,PNW
1973-05-17,0.0,21.0,20.875,20.875,4.664543151855469,2000,PNW
1973-05-18,0.0,20.75,20.25,20.25,4.524884223937988,8700,PNW
1973-05-21,0.0,20.5,20.125,20.125,4.496951103210449,3900,PNW
1973-05-22,0.0,20.5,20.125,20.25,4.524884223937988,2100,PNW
1973-05-23,0.0,20.75,20.125,20.5,4.580747127532959,6500,PNW
1973-05-24,0.0,21.0,20.75,21.0,4.692472457885742,4600,PNW
1973-05-25,0.0,21.5,21.0,21.25,4.748335838317871,4400,PNW
1973-05-29,0.0,21.375,21.125,21.125,4.720405101776123,2500,PNW
1973-05-30,0.0,21.375,21.125,21.25,4.748335838317871,6800,PNW
1973-05-31,0.0,21.375,21.125,21.125,4.720405101776123,2700,PNW
1973-06-01,0.0,21.375,21.125,21.125,4.720405101776123,4500,PNW
1973-06-04,0.0,21.125,21.125,21.125,4.720405101776123,2600,PNW
1973-06-05,0.0,21.375,21.125,21.375,4.776266098022461,2700,PNW
1973-06-06,0.0,21.625,21.125,21.25,4.748335838317871,3200,PNW
1973-06-07,0.0,21.5,21.125,21.125,4.720405101776123,2700,PNW
1973-06-08,0.0,21.75,21.5,21.625,4.8321309089660645,2900,PNW
1973-06-11,0.0,22.125,21.75,21.75,4.86005973815918,12500,PNW
1973-06-12,0.0,21.875,21.5,21.5,4.80419921875,4000,PNW
1973-06-13,0.0,21.75,21.625,21.75,4.86005973815918,1500,PNW
1973-06-14,0.0,21.625,21.0,21.375,4.776266098022461,9400,PNW
1973-06-15,0.0,21.125,20.75,21.0,4.692472457885742,2000,PNW
1973-06-18,0.0,20.75,20.375,20.375,4.552814960479736,5500,PNW
1973-06-19,0.0,20.625,20.375,20.625,4.608677864074707,1800,PNW
1973-06-20,0.0,20.75,20.375,20.375,4.552814960479736,1500,PNW
1973-06-21,0.0,20.625,20.25,20.375,4.552814960479736,3300,PNW
1973-06-22,0.0,20.875,20.5,20.875,4.664543151855469,3500,PNW
1973-06-25,0.0,21.0,20.5,20.625,4.608677864074707,4900,PNW
1973-06-26,0.0,21.25,20.625,21.25,4.748335838317871,3600,PNW
1973-06-27,0.0,21.25,20.875,21.0,4.692472457885742,4400,PNW
1973-06-28,0.0,20.875,20.75,20.75,4.636610984802246,3000,PNW
1973-06-29,0.0,21.375,20.75,21.25,4.748335838317871,3600,PNW
1973-07-02,0.0,21.5,21.25,21.25,4.748335838317871,1000,PNW
1973-07-03,0.0,21.5,21.125,21.5,4.80419921875,1300,PNW
1973-07-05,0.0,21.0,20.25,20.25,4.524884223937988,12500,PNW
1973-07-06,0.0,20.5,20.0,20.125,4.496951103210449,3200,PNW
1973-07-09,0.0,20.25,19.875,20.25,4.524884223937988,5200,PNW
1973-07-10,0.0,20.75,20.0,20.125,4.496951103210449,6900,PNW
1973-07-11,0.0,20.125,20.0,20.0,4.469022750854492,10400,PNW
1973-07-12,0.0,20.75,20.25,20.75,4.636610984802246,5900,PNW
1973-07-13,0.0,20.625,19.875,20.625,4.608677864074707,14300,PNW
1973-07-16,0.0,20.75,20.0,20.125,4.496951103210449,8200,PNW
1973-07-17,0.0,20.5,20.125,20.125,4.496951103210449,3600,PNW
1973-07-18,0.0,20.5,20.125,20.5,4.580747127532959,3800,PNW
1973-07-19,0.0,20.875,20.375,20.5,4.580747127532959,3300,PNW
1973-07-20,0.0,20.875,20.0,20.25,4.524884223937988,6400,PNW
1973-07-23,0.0,21.25,20.25,21.125,4.720405101776123,8200,PNW
1973-07-24,0.0,20.875,20.375,20.5,4.580747127532959,5600,PNW
1973-07-25,0.0,20.625,20.25,20.5,4.580747127532959,8200,PNW
1973-07-26,0.0,20.5,20.125,20.125,4.496951103210449,5200,PNW
1973-07-27,0.0,20.5,20.125,20.5,4.580747127532959,5200,PNW
1973-07-30,0.0,20.375,20.125,20.375,4.552814960479736,3400,PNW
1973-07-31,0.0,20.5,20.125,20.25,4.524884223937988,4700,PNW
1973-08-01,0.0,20.125,19.75,20.0,4.469022750854492,3200,PNW
1973-08-02,0.0,20.0,19.75,20.0,4.469022750854492,3400,PNW
1973-08-03,0.0,20.0,19.75,20.0,4.469022750854492,3100,PNW
1973-08-06,0.0,20.0,19.5,19.5,4.357297420501709,5500,PNW
1973-08-07,0.0,19.75,19.375,19.375,4.329365253448486,3100,PNW
1973-08-08,0.0,19.5,19.125,19.125,4.273502826690674,5500,PNW
1973-08-09,0.0,19.375,19.125,19.375,4.329365253448486,2500,PNW
1973-08-10,0.0,19.5,19.125,19.25,4.301433563232422,1100,PNW
1973-08-13,0.0,19.625,19.125,19.125,4.273502826690674,2500,PNW
1973-08-14,0.0,19.125,18.875,19.0,4.245570659637451,4100,PNW
1973-08-15,0.0,19.0,18.625,18.75,4.189707279205322,6400,PNW
1973-08-16,0.0,19.0,18.625,18.75,4.189707279205322,3600,PNW
1973-08-17,0.0,19.125,18.625,18.75,4.189707279205322,3900,PNW
1973-08-20,0.0,18.75,18.25,18.75,4.189707279205322,6600,PNW
1973-08-21,0.0,18.875,18.625,18.625,4.161777496337891,1000,PNW
1973-08-22,0.0,18.875,18.5,18.5,4.133846759796143,7400,PNW
1973-08-23,0.0,18.625,18.25,18.25,4.077981948852539,54900,PNW
1973-08-24,0.0,18.5,18.25,18.5,4.133846759796143,3000,PNW
1973-08-27,0.0,18.5,18.25,18.25,4.077981948852539,5700,PNW
