,open,high,low,close,adjclose,volume,ticker
1980-11-18,14.125,14.5,14.125,14.125,2.549757242202759,3200,PSA
1980-11-19,14.25,14.625,14.25,14.25,2.5723211765289307,8000,PSA
1980-11-20,14.25,14.25,14.125,14.125,2.549757242202759,16600,PSA
1980-11-21,14.625,14.875,14.625,14.625,2.6400139331817627,18700,PSA
1980-11-24,14.5,14.5,14.125,14.125,2.549757242202759,40900,PSA
1980-11-25,13.75,13.75,13.5,13.5,2.4369356632232666,25800,PSA
1980-11-26,14.125,14.5,14.125,14.125,2.549757242202759,75000,PSA
1980-11-28,14.375,14.5,14.375,14.375,2.594886064529419,19300,PSA
1980-12-01,14.375,14.375,14.0,14.0,2.527191162109375,26200,PSA
1980-12-02,13.5,13.5,13.0,13.0,2.3466780185699463,20000,PSA
1980-12-03,13.125,13.5,13.125,13.125,2.3692431449890137,10500,PSA
1980-12-04,13.125,13.25,12.75,12.75,2.301551103591919,13700,PSA
1980-12-05,12.75,13.25,12.75,12.75,2.301551103591919,11000,PSA
1980-12-08,12.25,12.25,11.75,11.75,2.121037006378174,8700,PSA
1980-12-09,11.75,12.5,11.75,11.75,2.121037006378174,38700,PSA
1980-12-10,12.75,13.5,12.75,12.75,2.301551103591919,10800,PSA
1980-12-11,12.75,13.25,12.5,12.5,2.2564241886138916,10800,PSA
1980-12-12,12.75,13.25,12.75,12.75,2.301551103591919,4500,PSA
1980-12-15,12.75,12.75,12.0,12.0,2.1661651134490967,8000,PSA
1980-12-16,12.0,12.5,12.0,12.0,2.1661651134490967,7500,PSA
1980-12-17,12.0,12.5,12.0,12.0,2.1661651134490967,7000,PSA
1980-12-18,12.0,12.5,11.75,11.75,2.121037006378174,10600,PSA
1980-12-19,12.0,12.5,12.0,12.0,2.1661651134490967,18700,PSA
1980-12-22,12.25,12.75,12.25,12.25,2.2112932205200195,16800,PSA
1980-12-23,12.25,12.5,12.25,12.25,2.2112932205200195,8600,PSA
1980-12-24,12.25,12.75,12.25,12.25,2.2112932205200195,9200,PSA
1980-12-26,12.5,13.0,12.5,12.5,2.2564241886138916,3900,PSA
1980-12-29,12.5,13.0,12.5,12.5,2.2564241886138916,4400,PSA
1980-12-30,12.5,13.0,12.5,12.5,2.2564241886138916,13400,PSA
1980-12-31,12.5,12.75,12.25,12.25,2.2112932205200195,7800,PSA
1981-01-02,12.75,13.0,12.75,12.75,2.301551103591919,8000,PSA
1981-01-05,13.0,13.5,13.0,13.0,2.3466780185699463,9400,PSA
1981-01-06,13.0,13.5,13.0,13.0,2.3466780185699463,10200,PSA
1981-01-07,13.0,13.0,12.25,12.25,2.2112932205200195,17100,PSA
1981-01-08,12.5,13.0,12.5,12.5,2.2564241886138916,7800,PSA
1981-01-09,13.0,13.5,13.0,13.0,2.3466780185699463,5600,PSA
1981-01-12,13.0,13.5,13.0,13.0,2.3466780185699463,11400,PSA
1981-01-13,13.5,14.0,13.5,13.5,2.4369356632232666,5000,PSA
1981-01-14,13.75,14.25,13.75,13.75,2.4820635318756104,7100,PSA
1981-01-15,13.75,14.25,13.75,13.75,2.4820635318756104,3300,PSA
1981-01-16,13.75,14.25,13.75,13.75,2.4820635318756104,6800,PSA
1981-01-19,13.75,14.25,13.75,13.75,2.4820635318756104,7600,PSA
1981-01-20,13.75,14.25,13.5,13.5,2.4369356632232666,6800,PSA
1981-01-21,13.75,14.25,13.75,13.75,2.4820635318756104,2600,PSA
1981-01-22,13.75,14.0,13.5,13.5,2.4369356632232666,7700,PSA
1981-01-23,13.75,14.25,13.75,13.75,2.4820635318756104,7900,PSA
1981-01-26,13.75,14.0,13.5,13.5,2.4369356632232666,3200,PSA
1981-01-27,13.75,14.25,13.75,13.75,2.4820635318756104,4100,PSA
1981-01-28,13.75,14.25,13.5,13.5,2.4369356632232666,7800,PSA
1981-01-29,13.5,14.0,13.5,13.5,2.4369356632232666,2300,PSA
1981-01-30,13.5,14.0,13.5,13.5,2.4369356632232666,4700,PSA
1981-02-02,13.5,13.75,13.25,13.25,2.3918068408966064,8500,PSA
1981-02-03,13.25,13.75,13.25,13.25,2.3918068408966064,3100,PSA
1981-02-04,13.5,14.0,13.5,13.5,2.4369356632232666,6100,PSA
1981-02-05,13.5,14.0,13.5,13.5,2.4369356632232666,4600,PSA
1981-02-06,13.5,14.0,13.5,13.5,2.4369356632232666,5300,PSA
1981-02-09,13.5,14.0,13.5,13.5,2.4369356632232666,3800,PSA
1981-02-10,13.5,14.0,13.5,13.5,2.4369356632232666,4300,PSA
1981-02-11,13.5,14.0,13.5,13.5,2.4369356632232666,2700,PSA
1981-02-12,13.5,14.0,13.5,13.5,2.4369356632232666,3000,PSA
1981-02-13,13.5,14.0,13.5,13.5,2.4369356632232666,7600,PSA
1981-02-17,13.5,13.75,13.25,13.25,2.3918068408966064,4400,PSA
1981-02-18,13.5,13.75,13.5,13.5,2.4369356632232666,4000,PSA
1981-02-19,13.5,14.0,13.5,13.5,2.4369356632232666,12600,PSA
1981-02-20,13.5,14.0,13.5,13.5,2.4369356632232666,3400,PSA
1981-02-23,13.5,14.0,13.5,13.5,2.4369356632232666,1900,PSA
1981-02-24,13.5,13.75,13.25,13.25,2.3918068408966064,4800,PSA
1981-02-25,13.25,13.5,13.0,13.0,2.3466780185699463,13100,PSA
1981-02-26,13.0,13.5,13.0,13.0,2.3466780185699463,15900,PSA
1981-02-27,13.0,13.5,13.0,13.0,2.3466780185699463,2200,PSA
1981-03-02,13.0,13.5,13.0,13.0,2.3466780185699463,3100,PSA
1981-03-03,13.0,13.5,12.75,12.75,2.301551103591919,5100,PSA
1981-03-04,12.75,13.25,12.75,12.75,2.301551103591919,4400,PSA
1981-03-05,12.75,13.25,12.75,12.75,2.301551103591919,4600,PSA
1981-03-06,12.5,12.5,12.0,12.0,2.1661651134490967,7500,PSA
1981-03-09,12.5,12.75,12.5,12.5,2.2564241886138916,6400,PSA
1981-03-10,12.5,12.75,12.25,12.25,2.2112932205200195,4200,PSA
1981-03-11,12.25,12.75,12.25,12.25,2.2112932205200195,4500,PSA
1981-03-12,12.25,12.75,12.25,12.25,2.2112932205200195,11000,PSA
1981-03-13,12.25,12.75,12.25,12.25,2.2112932205200195,5200,PSA
1981-03-16,12.5,12.75,12.5,12.5,2.2564241886138916,5100,PSA
1981-03-17,12.5,13.0,12.5,12.5,2.2564241886138916,5400,PSA
1981-03-18,12.5,13.0,12.5,12.5,2.2564241886138916,2200,PSA
1981-03-19,12.75,13.25,12.75,12.75,2.301551103591919,8100,PSA
1981-03-20,12.75,13.25,12.5,12.5,2.2564241886138916,3200,PSA
1981-03-23,12.75,13.25,12.75,12.75,2.301551103591919,3500,PSA
1981-03-24,13.0,13.5,13.0,13.0,2.3466780185699463,8600,PSA
1981-03-25,13.0,13.5,13.0,13.0,2.3466780185699463,4000,PSA
1981-03-26,13.25,13.75,13.25,13.25,2.3918068408966064,3100,PSA
1981-03-27,13.75,14.25,13.75,13.75,2.4820635318756104,7300,PSA
1981-03-30,13.75,14.25,13.75,13.75,2.4820635318756104,5800,PSA
1981-03-31,13.75,14.25,13.75,13.75,2.4820635318756104,14100,PSA
1981-04-01,13.75,14.25,13.625,13.625,2.459500551223755,6100,PSA
1981-04-02,13.75,14.25,13.75,13.75,2.4820635318756104,5800,PSA
1981-04-03,13.75,14.25,13.75,13.75,2.4820635318756104,4900,PSA
1981-04-06,13.75,14.25,13.75,13.75,2.4820635318756104,4700,PSA
1981-04-07,13.75,14.25,13.625,13.625,2.459500551223755,10000,PSA
1981-04-08,13.625,14.25,13.625,13.625,2.459500551223755,4500,PSA
1981-04-09,13.625,14.25,13.625,13.625,2.459500551223755,5900,PSA
1981-04-10,14.0,14.75,14.0,14.0,2.527191162109375,3500,PSA
1981-04-13,14.0,14.75,14.0,14.0,2.527191162109375,3200,PSA
1981-04-14,14.0,14.25,13.75,13.75,2.4820635318756104,4300,PSA
1981-04-15,14.0,14.5,14.0,14.0,2.527191162109375,3900,PSA
1981-04-16,14.0,14.5,13.75,13.75,2.4820635318756104,4100,PSA
1981-04-20,13.25,13.25,12.75,12.75,2.301551103591919,7100,PSA
1981-04-21,13.0,13.25,13.0,13.0,2.3466780185699463,2500,PSA
1981-04-22,13.25,13.75,13.25,13.25,2.3918068408966064,4500,PSA
1981-04-23,13.25,13.75,13.25,13.25,2.3918068408966064,3300,PSA
