,open,high,low,close,adjclose,volume,ticker
1993-10-29,19.25,19.375,19.25,19.25,4.016474723815918,1381000,REG
1993-11-01,19.25,19.375,19.25,19.375,4.0425567626953125,136800,REG
1993-11-02,19.25,19.375,18.625,18.75,3.912151575088501,182600,REG
1993-11-03,18.5,19.0,18.375,18.875,3.938231945037842,146300,REG
1993-11-04,18.75,18.875,18.75,18.75,3.912151575088501,48300,REG
1993-11-05,18.75,18.875,18.75,18.75,3.912151575088501,13900,REG
1993-11-08,18.75,18.875,18.75,18.875,3.938231945037842,22800,REG
1993-11-09,18.875,19.0,18.75,18.75,3.912151575088501,10600,REG
1993-11-10,18.875,19.0,18.875,18.875,3.938231945037842,143900,REG
1993-11-11,18.875,18.875,18.875,18.875,3.938231945037842,29800,REG
1993-11-12,18.875,19.0,18.875,19.0,3.9643142223358154,10500,REG
1993-11-15,18.75,18.75,18.375,18.5,3.8599913120269775,181600,REG
1993-11-16,18.375,18.5,18.375,18.375,3.8339107036590576,33400,REG
1993-11-17,18.5,18.5,18.25,18.25,3.8078298568725586,73900,REG
1993-11-18,18.25,18.25,17.625,17.625,3.677424669265747,75900,REG
1993-11-19,17.0,17.125,16.375,16.875,3.520937442779541,126700,REG
1993-11-22,16.625,16.875,16.5,16.875,3.520937442779541,32100,REG
1993-11-23,16.75,17.125,16.75,17.125,3.5730977058410645,20300,REG
1993-11-24,16.875,17.125,16.875,16.875,3.520937442779541,9800,REG
1993-11-26,17.0,17.0,17.0,17.0,3.5470192432403564,2500,REG
1993-11-29,17.125,17.125,16.875,17.125,3.5730977058410645,48100,REG
1993-11-30,17.125,17.25,16.875,17.125,3.5730977058410645,38500,REG
1993-12-01,17.125,17.125,17.0,17.0,3.5470192432403564,12700,REG
1993-12-02,17.0,17.125,16.875,17.125,3.5730977058410645,14800,REG
1993-12-03,17.125,17.625,17.125,17.5,3.651343822479248,19600,REG
1993-12-06,17.5,17.5,17.25,17.5,3.651343822479248,6000,REG
1993-12-07,17.5,17.5,17.0,17.25,3.59917950630188,25100,REG
1993-12-08,17.25,17.25,16.875,17.125,3.5730977058410645,8500,REG
1993-12-09,17.25,17.25,16.625,16.875,3.520937442779541,10600,REG
1993-12-10,16.875,16.875,16.75,16.875,3.520937442779541,9500,REG
1993-12-13,16.625,16.625,16.375,16.5,3.4426934719085693,69000,REG
1993-12-14,16.625,17.0,16.5,16.75,3.4948575496673584,18000,REG
1993-12-15,16.625,16.875,16.5,16.625,3.468775510787964,36100,REG
1993-12-16,16.625,16.625,16.5,16.5,3.4426934719085693,7900,REG
1993-12-17,16.5,16.625,16.375,16.5,3.4426934719085693,9600,REG
1993-12-20,16.5,16.5,15.75,16.0,3.3383703231811523,58500,REG
1993-12-21,15.75,16.25,15.75,16.125,3.364450216293335,54400,REG
1993-12-22,16.25,16.5,16.25,16.5,3.4426934719085693,21800,REG
1993-12-23,16.75,16.75,16.5,16.625,3.468775510787964,12200,REG
1993-12-27,16.75,16.875,16.75,16.75,3.4948575496673584,35500,REG
1993-12-28,16.875,16.875,16.75,16.75,3.4948575496673584,49500,REG
1993-12-29,16.75,16.875,16.625,16.625,3.468775510787964,23600,REG
1993-12-30,16.625,16.875,16.5,16.75,3.4948575496673584,66700,REG
1993-12-31,16.875,16.875,16.5,16.625,3.468775510787964,41100,REG
1994-01-03,16.75,16.875,16.75,16.875,3.520937442779541,1900,REG
1994-01-04,17.0,17.0,16.875,16.875,3.520937442779541,10100,REG
1994-01-05,16.875,17.0,16.75,16.875,3.520937442779541,18500,REG
1994-01-06,16.75,16.75,16.625,16.75,3.4948575496673584,15100,REG
1994-01-07,16.625,17.0,16.625,16.875,3.520937442779541,18000,REG
1994-01-10,17.0,17.625,17.0,17.625,3.677424669265747,18600,REG
1994-01-11,17.625,17.75,17.5,17.75,3.7035059928894043,6300,REG
1994-01-12,17.75,18.0,17.75,17.875,3.729586124420166,17700,REG
1994-01-13,17.875,17.875,17.625,17.75,3.7035059928894043,6000,REG
1994-01-14,17.75,17.75,17.5,17.5,3.651343822479248,5600,REG
1994-01-17,17.375,17.5,17.375,17.5,3.651343822479248,12600,REG
1994-01-18,17.25,17.375,17.25,17.375,3.6252613067626953,6300,REG
1994-01-19,17.5,18.0,17.5,17.875,3.729586124420166,9900,REG
1994-01-20,18.0,18.0,17.5,17.5,3.651343822479248,13000,REG
1994-01-21,17.75,17.875,17.5,17.875,3.729586124420166,7200,REG
1994-01-24,17.875,17.875,17.5,17.625,3.677424669265747,4900,REG
1994-01-25,17.625,17.875,17.625,17.75,3.7035059928894043,18900,REG
1994-01-26,17.75,17.75,17.5,17.625,3.677424669265747,1300,REG
1994-01-27,17.75,17.75,17.625,17.75,3.7035059928894043,2800,REG
1994-01-28,17.625,17.75,17.625,17.75,3.7035059928894043,13000,REG
1994-01-31,17.75,17.875,17.75,17.875,3.729586124420166,26300,REG
