,open,high,low,close,adjclose,volume,ticker
1995-06-02,0.75,0.75,0.65625,0.671875,0.5752930045127869,14915200,RMD
1995-06-05,0.671875,0.6796879768371582,0.6367189884185791,0.640625,0.5485352277755737,4787200,RMD
1995-06-06,0.65625,0.6640629768371582,0.640625,0.640625,0.5485352277755737,4769600,RMD
1995-06-07,0.640625,0.640625,0.609375,0.640625,0.5485352277755737,4793600,RMD
1995-06-08,0.640625,0.703125,0.625,0.703125,0.60205078125,7235200,RMD
1995-06-09,0.703125,0.71875,0.6875,0.703125,0.60205078125,4771200,RMD
1995-06-12,0.71875,0.71875,0.6875,0.71875,0.6154297590255737,4409600,RMD
1995-06-13,0.71875,0.71875,0.6875,0.6875,0.5886719822883606,2212800,RMD
1995-06-14,0.703125,0.703125,0.6875,0.6875,0.5886719822883606,4632000,RMD
1995-06-15,0.703125,0.703125,0.6875,0.6914060115814209,0.5920165777206421,896000,RMD
1995-06-16,0.6875,0.703125,0.6875,0.6875,0.5886719822883606,388800,RMD
1995-06-19,0.703125,0.703125,0.6875,0.6914060115814209,0.5920165777206421,374400,RMD
1995-06-20,0.6875,0.703125,0.6875,0.6875,0.5886719822883606,201600,RMD
1995-06-21,0.6875,0.703125,0.6875,0.703125,0.60205078125,481600,RMD
1995-06-22,0.703125,0.703125,0.6875,0.703125,0.60205078125,5576000,RMD
1995-06-23,0.6923829913139343,0.75,0.6875,0.75,0.6421874761581421,2844800,RMD
1995-06-26,0.703125,0.75,0.703125,0.71875,0.6154297590255737,825600,RMD
1995-06-27,0.75,0.75,0.703125,0.75,0.6421874761581421,1020800,RMD
1995-06-28,0.703125,0.75,0.703125,0.75,0.6421874761581421,193600,RMD
1995-06-29,0.75,0.75,0.703125,0.75,0.6421874761581421,104000,RMD
1995-06-30,0.75,0.75,0.75,0.75,0.6421874761581421,14400,RMD
1995-07-03,0.75,0.75,0.75,0.75,0.6421874761581421,32000,RMD
1995-07-05,0.71875,0.8125,0.71875,0.78125,0.6689452528953552,417600,RMD
1995-07-06,0.78125,0.828125,0.78125,0.828125,0.7090821862220764,691200,RMD
1995-07-07,0.796875,0.890625,0.796875,0.859375,0.7358399033546448,1740800,RMD
1995-07-10,0.875,0.90625,0.859375,0.875,0.7492189407348633,1068800,RMD
1995-07-11,0.90625,0.90625,0.8125,0.8125,0.6957032680511475,432000,RMD
1995-07-12,0.84375,0.875,0.84375,0.875,0.7492189407348633,708800,RMD
1995-07-13,0.875,0.875,0.84375,0.875,0.7492189407348633,337600,RMD
1995-07-14,0.875,0.890625,0.875,0.890625,0.7625977396965027,513600,RMD
1995-07-17,0.859375,0.890625,0.859375,0.890625,0.7625977396965027,60800,RMD
1995-07-18,0.890625,0.890625,0.828125,0.875,0.7492189407348633,192000,RMD
1995-07-19,0.875,0.875,0.796875,0.828125,0.7090821862220764,332800,RMD
1995-07-20,0.828125,0.828125,0.828125,0.828125,0.7090821862220764,0,RMD
1995-07-21,0.828125,0.828125,0.796875,0.8007810115814209,0.6856686472892761,176000,RMD
1995-07-24,0.78125,0.828125,0.78125,0.828125,0.7090821862220764,3200,RMD
1995-07-25,0.828125,0.828125,0.796875,0.796875,0.6823244094848633,46400,RMD
1995-07-26,0.828125,0.84375,0.796875,0.84375,0.7224610447883606,187200,RMD
1995-07-27,0.84375,0.890625,0.828125,0.890625,0.7625977396965027,979200,RMD
1995-07-28,0.890625,0.90625,0.890625,0.90625,0.7759765386581421,9600,RMD
1995-07-31,0.859375,0.90625,0.859375,0.859375,0.7358399033546448,89600,RMD
1995-08-01,0.90625,0.90625,0.90625,0.90625,0.7759765386581421,9600,RMD
1995-08-02,0.90625,0.90625,0.859375,0.859375,0.7358399033546448,38400,RMD
1995-08-03,0.859375,0.90625,0.859375,0.90625,0.7759765386581421,59200,RMD
1995-08-04,0.859375,0.859375,0.859375,0.859375,0.7358399033546448,11200,RMD
1995-08-07,0.890625,0.890625,0.859375,0.859375,0.7358399033546448,14400,RMD
1995-08-08,0.859375,0.890625,0.859375,0.890625,0.7625977396965027,216000,RMD
1995-08-09,0.890625,0.890625,0.859375,0.859375,0.7358399033546448,182400,RMD
1995-08-10,0.890625,0.890625,0.890625,0.890625,0.7625977396965027,9600,RMD
1995-08-11,0.859375,0.890625,0.859375,0.890625,0.7625977396965027,8000,RMD
1995-08-14,0.890625,0.890625,0.859375,0.8789060115814209,0.7525635361671448,107200,RMD
1995-08-15,0.890625,0.890625,0.890625,0.890625,0.7625977396965027,4800,RMD
1995-08-16,0.890625,0.890625,0.890625,0.890625,0.7625977396965027,8000,RMD
1995-08-17,0.890625,0.890625,0.859375,0.890625,0.7625977396965027,99200,RMD
1995-08-18,0.859375,0.890625,0.859375,0.859375,0.7358399033546448,257600,RMD
1995-08-21,0.890625,0.890625,0.875,0.875,0.7492189407348633,401600,RMD
1995-08-22,0.9375,0.9375,0.890625,0.9375,0.8027345538139343,2531200,RMD
1995-08-23,0.9375,0.9375,0.9140629768371582,0.9375,0.8027345538139343,928000,RMD
1995-08-24,0.9375,0.9375,0.890625,0.890625,0.7625977396965027,9324800,RMD
1995-08-25,0.9375,0.9375,0.890625,0.9375,0.8027345538139343,86400,RMD
1995-08-28,0.9375,0.9375,0.890625,0.890625,0.7625977396965027,65600,RMD
1995-08-29,0.9375,0.9375,0.890625,0.9375,0.8027345538139343,784000,RMD
1995-08-30,0.890625,0.9375,0.890625,0.9375,0.8027345538139343,33600,RMD
1995-08-31,0.9375,0.9375,0.9375,0.9375,0.8027345538139343,27200,RMD
1995-09-01,0.9375,0.9375,0.9375,0.9375,0.8027345538139343,75200,RMD
1995-09-05,0.890625,0.9375,0.890625,0.9375,0.8027345538139343,38400,RMD
1995-09-06,0.9375,0.96875,0.890625,0.96875,0.8294923305511475,1896000,RMD
1995-09-07,0.921875,0.984375,0.921875,0.984375,0.8428710699081421,769600,RMD
1995-09-08,0.984375,1.0,0.96875,1.0,0.8562501668930054,2222400,RMD
1995-09-11,1.0,1.015625,0.984375,1.015625,0.86962890625,1158400,RMD
1995-09-12,0.96875,1.03125,0.96875,1.03125,0.8830077052116394,427200,RMD
1995-09-13,1.015625,1.015625,1.015625,1.015625,0.86962890625,6400,RMD
1995-09-14,1.015625,1.046875,0.984375,1.046875,0.8963871002197266,452800,RMD
1995-09-15,1.046875,1.046875,1.0,1.046875,0.8963871002197266,51200,RMD
1995-09-18,1.046875,1.046875,1.0,1.046875,0.8963871002197266,30400,RMD
1995-09-19,1.046875,1.09375,1.0,1.09375,0.9365237355232239,2232000,RMD
1995-09-20,1.0625,1.09375,1.0625,1.09375,0.9365237355232239,4377600,RMD
1995-09-21,1.0625,1.125,1.0625,1.125,0.963281512260437,132800,RMD
1995-09-22,1.0625,1.125,1.0625,1.125,0.963281512260437,24000,RMD
1995-09-25,1.0625,1.125,1.0625,1.109375,0.9499027132987976,80000,RMD
1995-09-26,1.125,1.125,1.0625,1.109375,0.9499027132987976,80000,RMD
1995-09-27,1.0625,1.0625,1.0625,1.0625,0.9097658395767212,152000,RMD
1995-09-28,1.0625,1.109375,1.0625,1.0703129768371582,0.9164558053016663,284800,RMD
1995-09-29,1.078125,1.109375,1.078125,1.109375,0.9499027132987976,209600,RMD
1995-10-02,1.0625,1.109375,1.0625,1.109375,0.9499027132987976,17600,RMD
