,open,high,low,close,adjclose,volume,ticker
1994-10-31,23.375,24.25,23.375,23.75,12.342164993286133,32800,SJM
1994-11-01,23.75,23.75,23.375,23.375,12.147290229797363,13200,SJM
1994-11-02,23.375,23.75,23.25,23.75,12.342164993286133,7000,SJM
1994-11-03,23.75,23.875,23.625,23.625,12.277202606201172,5400,SJM
1994-11-04,23.625,23.75,23.125,23.125,12.017367362976074,9800,SJM
1994-11-07,23.125,23.25,23.0,23.25,12.082327842712402,7200,SJM
1994-11-08,23.25,23.25,23.0,23.0,11.952409744262695,2200,SJM
1994-11-09,23.125,23.25,23.125,23.125,12.017367362976074,5600,SJM
1994-11-10,23.125,23.125,23.0,23.125,12.017367362976074,82800,SJM
1994-11-11,23.125,23.25,23.0,23.125,12.017367362976074,16400,SJM
1994-11-14,23.125,23.25,23.0,23.125,12.017367362976074,54600,SJM
1994-11-15,23.0,23.0,23.0,23.0,11.952409744262695,1800,SJM
1994-11-16,23.0,23.125,23.0,23.125,12.017367362976074,4600,SJM
1994-11-17,23.125,23.875,23.0,23.875,12.407119750976562,10600,SJM
1994-11-18,23.875,23.875,23.5,23.625,12.277202606201172,8400,SJM
1994-11-21,23.625,23.875,23.5,23.75,12.342164993286133,7000,SJM
1994-11-22,23.75,24.0,23.5,23.5,12.212242126464844,14800,SJM
1994-11-23,23.5,23.625,23.5,23.625,12.277202606201172,8000,SJM
1994-11-25,23.5,23.5,23.5,23.5,12.212242126464844,2000,SJM
1994-11-28,23.5,23.75,23.5,23.5,12.212242126464844,1400,SJM
1994-11-29,23.5,23.5,23.375,23.375,12.147290229797363,1800,SJM
1994-11-30,23.375,23.625,23.375,23.375,12.147290229797363,6000,SJM
1994-12-01,23.375,23.5,22.75,22.75,11.822500228881836,35400,SJM
1994-12-02,22.75,22.75,22.625,22.75,11.822500228881836,12600,SJM
1994-12-05,22.75,22.75,22.625,22.625,11.757528305053711,5400,SJM
1994-12-06,22.5,22.5,22.125,22.125,11.497698783874512,16000,SJM
1994-12-07,22.125,22.25,21.875,22.125,11.497698783874512,11600,SJM
1994-12-08,22.125,22.25,22.125,22.25,11.562655448913574,6000,SJM
1994-12-09,22.25,22.5,22.0,22.0,11.432738304138184,9000,SJM
1994-12-12,22.0,22.25,21.75,22.125,11.497698783874512,7600,SJM
1994-12-13,22.125,22.625,22.125,22.625,11.757528305053711,4600,SJM
1994-12-14,22.75,23.875,22.75,23.875,12.407119750976562,10800,SJM
1994-12-15,23.875,24.75,23.875,24.75,12.861836433410645,13400,SJM
1994-12-16,24.75,24.875,24.25,24.375,12.666951179504395,20400,SJM
1994-12-19,24.375,24.625,24.0,24.0,12.47208023071289,10000,SJM
1994-12-20,24.125,24.375,24.125,24.375,12.666951179504395,8000,SJM
1994-12-21,24.375,24.875,24.375,24.875,12.926789283752441,7800,SJM
1994-12-22,24.875,25.0,24.875,24.875,12.926789283752441,9000,SJM
1994-12-23,24.875,25.0,24.875,25.0,12.991747856140137,5400,SJM
1994-12-27,24.875,24.875,24.625,24.75,12.861836433410645,6000,SJM
1994-12-28,24.75,24.875,24.625,24.75,12.861836433410645,3200,SJM
1994-12-29,24.625,24.625,23.5,23.75,12.342164993286133,9600,SJM
1994-12-30,23.75,24.125,23.25,24.0,12.47208023071289,28000,SJM
1995-01-03,24.0,24.5,23.75,23.75,12.342164993286133,4600,SJM
1995-01-04,24.125,24.25,24.125,24.25,12.601998329162598,3000,SJM
1995-01-05,24.125,24.125,24.125,24.125,12.537036895751953,1600,SJM
1995-01-06,24.125,24.25,24.0,24.25,12.601998329162598,3200,SJM
1995-01-09,24.25,24.25,24.0,24.125,12.537036895751953,5600,SJM
1995-01-10,24.0,24.0,23.5,23.5,12.212242126464844,6600,SJM
1995-01-11,23.5,23.75,22.75,23.5,12.212242126464844,25600,SJM
1995-01-12,23.5,23.5,23.25,23.375,12.147290229797363,4400,SJM
1995-01-13,23.375,23.5,23.25,23.5,12.212242126464844,3200,SJM
1995-01-16,23.5,23.875,23.375,23.5,12.212242126464844,6600,SJM
1995-01-17,23.5,23.75,23.5,23.75,12.342164993286133,3200,SJM
1995-01-18,23.75,23.875,23.5,23.75,12.342164993286133,12000,SJM
1995-01-19,23.625,23.625,23.5,23.5,12.212242126464844,3200,SJM
1995-01-20,23.25,23.25,22.375,22.75,11.822500228881836,36000,SJM
1995-01-23,22.75,23.25,22.625,23.25,12.082327842712402,9200,SJM
1995-01-24,23.25,23.25,23.125,23.25,12.082327842712402,3000,SJM
1995-01-25,23.25,23.625,23.125,23.625,12.277202606201172,14200,SJM
1995-01-26,23.625,23.75,23.25,23.375,12.147290229797363,8600,SJM
1995-01-27,23.375,23.375,22.875,22.875,11.887449264526367,11200,SJM
1995-01-30,22.875,23.25,22.875,22.875,11.887449264526367,5800,SJM
1995-01-31,22.875,23.125,22.875,23.125,12.017367362976074,7600,SJM
1995-02-01,23.125,23.125,22.75,22.875,11.887449264526367,10800,SJM
1995-02-02,22.875,23.0,22.625,23.0,11.952409744262695,3800,SJM
1995-02-03,22.875,22.875,22.625,22.875,11.887449264526367,9400,SJM
1995-02-06,22.875,23.25,22.875,23.125,12.017367362976074,8400,SJM
1995-02-07,23.0,23.0,22.75,23.0,11.952409744262695,2600,SJM
1995-02-08,23.0,23.0,22.25,22.25,11.562655448913574,15600,SJM
1995-02-09,22.375,22.75,22.375,22.75,11.822500228881836,2800,SJM
1995-02-10,22.875,23.375,22.875,23.375,12.147290229797363,9400,SJM
1995-02-13,23.375,23.625,23.375,23.5,12.212242126464844,6400,SJM
1995-02-14,23.5,23.75,23.375,23.75,12.342164993286133,10400,SJM
1995-02-15,23.75,23.875,23.0,23.375,12.147290229797363,20000,SJM
1995-02-16,23.375,23.375,23.0,23.0,11.952409744262695,10600,SJM
1995-02-17,23.0,23.25,22.5,23.25,12.082327842712402,16400,SJM
1995-02-21,23.25,23.375,22.625,23.0,11.952409744262695,16800,SJM
1995-02-22,23.0,23.25,22.875,22.875,11.887449264526367,4200,SJM
1995-02-23,22.875,23.0,22.625,22.75,11.822500228881836,4000,SJM
1995-02-24,22.75,23.0,22.75,22.875,11.887449264526367,3600,SJM
1995-02-27,22.875,23.5,22.625,23.25,12.082327842712402,19400,SJM
1995-02-28,23.25,23.5,23.0,23.5,12.212242126464844,20400,SJM
1995-03-01,23.25,23.25,22.75,22.875,11.887449264526367,13400,SJM
1995-03-02,22.875,23.125,22.75,23.125,12.017367362976074,5000,SJM
1995-03-03,23.125,23.5,22.875,23.125,12.017367362976074,11600,SJM
1995-03-06,23.125,23.375,22.75,23.25,12.082327842712402,9000,SJM
1995-03-07,23.25,23.375,22.75,22.75,11.822500228881836,10000,SJM
1995-03-08,22.75,23.0,22.75,22.75,11.822500228881836,3000,SJM
1995-03-09,22.875,23.125,22.875,23.125,12.017367362976074,1400,SJM
1995-03-10,23.125,23.375,23.0,23.125,12.017367362976074,9400,SJM
1995-03-13,23.125,23.5,23.125,23.25,12.082327842712402,15600,SJM
1995-03-14,23.25,23.375,22.875,22.875,11.887449264526367,6600,SJM
1995-03-15,22.875,22.875,22.375,22.75,11.822500228881836,5400,SJM
1995-03-16,22.75,22.75,22.125,22.125,11.497698783874512,18200,SJM
1995-03-17,22.125,22.125,21.75,21.75,11.302820205688477,30800,SJM
1995-03-20,21.75,21.875,21.375,21.375,11.10794448852539,18400,SJM
1995-03-21,21.375,21.375,20.875,21.0,10.913073539733887,25000,SJM
1995-03-22,21.0,21.0,20.75,20.75,10.783150672912598,19400,SJM
1995-03-23,20.75,20.875,20.75,20.75,10.783150672912598,13800,SJM
1995-03-24,20.75,21.125,20.75,21.125,10.97802448272705,26200,SJM
1995-03-27,21.125,21.25,20.875,21.25,11.042987823486328,7200,SJM
1995-03-28,21.25,21.75,21.0,21.0,10.913073539733887,8600,SJM
1995-03-29,21.0,21.75,20.75,21.625,11.237866401672363,12000,SJM
1995-03-30,21.75,22.375,21.75,22.375,11.627614974975586,8200,SJM
1995-03-31,22.375,22.375,22.125,22.125,11.497698783874512,13800,SJM
1995-04-03,22.125,23.0,22.0,23.0,11.952409744262695,18400,SJM
1995-04-04,23.0,23.0,22.125,22.125,11.497698783874512,8800,SJM
1995-04-05,22.125,22.375,22.0,22.0,11.432738304138184,5200,SJM
1995-04-06,22.0,22.0,21.625,21.75,11.302820205688477,23600,SJM
1995-04-07,21.75,22.0,21.5,21.875,11.367777824401855,7200,SJM
1995-04-10,21.875,22.375,21.75,22.25,11.562655448913574,7000,SJM
1995-04-11,22.125,22.125,21.5,21.5,11.172905921936035,14000,SJM
1995-04-12,21.5,21.75,21.25,21.75,11.302820205688477,4600,SJM
1995-04-13,21.75,21.75,21.125,21.5,11.172905921936035,21000,SJM
1995-04-17,21.5,21.875,21.375,21.625,11.237866401672363,16600,SJM
1995-04-18,21.625,21.625,21.5,21.625,11.237866401672363,13600,SJM
1995-04-19,21.625,21.625,21.25,21.25,11.042987823486328,9200,SJM
1995-04-20,21.25,21.375,21.0,21.0,10.913073539733887,13800,SJM
1995-04-21,21.0,21.375,20.875,21.375,11.10794448852539,11000,SJM
1995-04-24,21.375,21.875,21.375,21.75,11.302820205688477,4800,SJM
1995-04-25,21.75,21.875,21.5,21.5,11.172905921936035,3800,SJM
1995-04-26,21.5,21.625,21.375,21.375,11.10794448852539,4600,SJM
1995-04-27,21.375,21.5,21.25,21.5,11.172905921936035,8000,SJM
1995-04-28,21.5,21.5,21.25,21.5,11.172905921936035,7000,SJM
1995-05-01,21.5,21.875,21.375,21.5,11.172905921936035,8800,SJM
1995-05-02,21.5,21.75,21.375,21.5,11.172905921936035,6800,SJM
1995-05-03,21.5,21.5,20.875,21.375,11.10794448852539,10200,SJM
1995-05-04,21.375,21.625,21.25,21.5,11.172905921936035,6800,SJM
1995-05-05,21.5,22.0,21.0,21.875,11.367777824401855,8400,SJM
1995-05-08,21.875,22.0,21.375,21.625,11.237866401672363,10600,SJM
1995-05-09,21.625,22.0,21.5,21.625,11.237866401672363,6000,SJM
1995-05-10,21.625,21.875,21.375,21.375,11.10794448852539,11800,SJM
1995-05-11,21.375,21.5,21.0,21.25,11.042987823486328,16800,SJM
1995-05-12,21.25,21.5,21.0,21.5,11.172905921936035,7600,SJM
1995-05-15,21.5,21.875,21.375,21.5,11.172905921936035,5800,SJM
1995-05-16,21.5,21.625,21.25,21.625,11.237866401672363,9400,SJM
1995-05-17,21.625,21.875,21.5,21.75,11.302820205688477,8200,SJM
1995-05-18,21.875,22.25,21.875,22.25,11.562655448913574,25800,SJM
1995-05-19,22.125,22.125,21.875,22.0,11.432738304138184,5400,SJM
1995-05-22,22.0,22.0,21.625,21.625,11.237866401672363,8400,SJM
1995-05-23,21.625,22.5,21.625,22.375,11.627614974975586,16000,SJM
1995-05-24,22.375,22.375,22.0,22.125,11.497698783874512,9000,SJM
1995-05-25,22.125,22.125,21.75,22.125,11.497698783874512,10600,SJM
1995-05-26,22.125,22.375,22.0,22.0,11.432738304138184,9800,SJM
1995-05-30,22.25,22.5,22.25,22.5,11.692578315734863,14800,SJM
1995-05-31,22.5,22.625,22.25,22.5,11.692578315734863,17200,SJM
1995-06-01,22.5,22.75,22.5,22.625,11.757528305053711,25600,SJM
1995-06-02,22.75,23.625,22.75,23.5,12.212242126464844,12800,SJM
1995-06-05,23.5,23.875,23.25,23.625,12.277202606201172,21800,SJM
1995-06-06,23.625,23.75,23.375,23.625,12.277202606201172,15800,SJM
