,open,high,low,close,adjclose,volume,ticker
1973-05-03,18.833332061767578,19.333332061767578,18.458332061767578,19.083332061767578,1.4440068006515503,116700,WY
1973-05-04,19.583332061767578,19.958332061767578,19.583332061767578,19.666667938232422,1.4881469011306763,256800,WY
1973-05-07,19.666667938232422,19.708332061767578,19.541667938232422,19.583332061767578,1.4818404912948608,55800,WY
1973-05-08,19.583332061767578,19.583332061767578,19.416667938232422,19.583332061767578,1.4818404912948608,80100,WY
1973-05-09,19.583332061767578,19.791667938232422,19.541667938232422,19.666667938232422,1.4881469011306763,66900,WY
1973-05-10,19.666667938232422,19.666667938232422,19.416667938232422,19.416667938232422,1.4692302942276,61800,WY
1973-05-11,19.416667938232422,19.416667938232422,18.916667938232422,19.166667938232422,1.450312852859497,76500,WY
1973-05-14,18.916667938232422,18.916667938232422,18.666667938232422,18.875,1.4282416105270386,46200,WY
1973-05-15,18.875,19.083332061767578,18.666667938232422,19.083332061767578,1.4440068006515503,90300,WY
1973-05-16,19.083332061767578,19.291667938232422,19.083332061767578,19.291667938232422,1.459770679473877,39900,WY
1973-05-17,19.291667938232422,19.333332061767578,19.041667938232422,19.291667938232422,1.459770679473877,56100,WY
1973-05-18,19.25,19.25,18.875,19.166667938232422,1.450312852859497,85200,WY
1973-05-21,19.083332061767578,19.083332061767578,18.791667938232422,18.833332061767578,1.425089955329895,138300,WY
1973-05-22,18.875,19.083332061767578,18.875,18.875,1.4282416105270386,51300,WY
1973-05-23,18.916667938232422,19.208332061767578,18.916667938232422,19.166667938232422,1.450312852859497,91500,WY
1973-05-24,19.166667938232422,19.625,19.166667938232422,19.625,1.4849951267242432,45300,WY
1973-05-25,19.666667938232422,20.083332061767578,19.666667938232422,19.958332061767578,1.5102161169052124,82800,WY
1973-05-29,19.833332061767578,19.833332061767578,19.333332061767578,19.333332061767578,1.4629240036010742,25500,WY
1973-05-30,19.333332061767578,19.333332061767578,19.208332061767578,19.291667938232422,1.459770679473877,16800,WY
1973-05-31,19.166667938232422,19.166667938232422,18.833332061767578,18.833332061767578,1.425089955329895,82800,WY
1973-06-01,18.833332061767578,19.166667938232422,18.708332061767578,18.958332061767578,1.4345479011535645,70800,WY
1973-06-04,18.958332061767578,19.0,18.833332061767578,18.833332061767578,1.425089955329895,31800,WY
1973-06-05,18.833332061767578,19.166667938232422,18.708332061767578,18.916667938232422,1.4313952922821045,85500,WY
1973-06-06,18.916667938232422,19.083332061767578,18.833332061767578,18.833332061767578,1.425089955329895,27000,WY
1973-06-07,18.875,19.166667938232422,18.875,19.0,1.4377025365829468,47100,WY
1973-06-08,19.083332061767578,19.541667938232422,19.083332061767578,19.541667938232422,1.4786889553070068,83400,WY
1973-06-11,19.666667938232422,19.916667938232422,19.666667938232422,19.833332061767578,1.500758171081543,39600,WY
1973-06-12,19.833332061767578,20.083332061767578,19.708332061767578,20.083332061767578,1.5196759700775146,144600,WY
1973-06-13,20.083332061767578,20.291667938232422,19.625,19.833332061767578,1.500758171081543,80400,WY
1973-06-14,19.791667938232422,19.791667938232422,19.666667938232422,19.791667938232422,1.4976061582565308,138900,WY
1973-06-15,19.708332061767578,19.708332061767578,19.583332061767578,19.666667938232422,1.4881469011306763,26400,WY
1973-06-18,19.666667938232422,19.666667938232422,19.166667938232422,19.25,1.4566186666488647,131400,WY
1973-06-19,19.25,19.458332061767578,18.958332061767578,19.291667938232422,1.459770679473877,88800,WY
1973-06-20,19.291667938232422,19.333332061767578,19.083332061767578,19.333332061767578,1.4629240036010742,91200,WY
1973-06-21,19.333332061767578,19.333332061767578,19.166667938232422,19.25,1.4566186666488647,118200,WY
1973-06-22,19.25,19.666667938232422,19.166667938232422,19.166667938232422,1.450312852859497,43500,WY
1973-06-25,19.166667938232422,19.291667938232422,19.083332061767578,19.083332061767578,1.4440068006515503,16800,WY
1973-06-26,19.083332061767578,19.25,19.0,19.25,1.4566186666488647,18900,WY
1973-06-27,19.25,19.291667938232422,19.0,19.25,1.4566186666488647,86400,WY
1973-06-28,19.333332061767578,19.583332061767578,19.333332061767578,19.583332061767578,1.4818404912948608,21900,WY
1973-06-29,19.583332061767578,19.625,19.416667938232422,19.583332061767578,1.4818404912948608,75300,WY
1973-07-02,19.583332061767578,19.666667938232422,19.458332061767578,19.625,1.4849951267242432,39300,WY
1973-07-03,19.625,20.041667938232422,19.625,20.0,1.5133697986602783,63000,WY
1973-07-05,20.0,20.25,19.791667938232422,20.166667938232422,1.5259820222854614,60900,WY
1973-07-06,20.166667938232422,20.291667938232422,20.166667938232422,20.291667938232422,1.5354400873184204,32400,WY
1973-07-09,20.291667938232422,20.666667938232422,20.291667938232422,20.583332061767578,1.5575096607208252,39600,WY
1973-07-10,20.958332061767578,21.458332061767578,20.958332061767578,21.0,1.5890389680862427,81600,WY
1973-07-11,21.333332061767578,21.583332061767578,21.333332061767578,21.458332061767578,1.6237199306488037,169200,WY
1973-07-12,21.458332061767578,21.5,21.166667938232422,21.333332061767578,1.6142616271972656,142800,WY
1973-07-13,21.333332061767578,21.333332061767578,20.833332061767578,20.958332061767578,1.5858855247497559,64500,WY
1973-07-16,20.958332061767578,21.25,20.916667938232422,21.083332061767578,1.595344066619873,46500,WY
1973-07-17,21.166667938232422,21.333332061767578,21.166667938232422,21.166667938232422,1.6016494035720825,144000,WY
1973-07-18,21.166667938232422,21.25,21.041667938232422,21.041667938232422,1.5921911001205444,51000,WY
1973-07-19,21.041667938232422,21.333332061767578,20.875,21.166667938232422,1.6016494035720825,135000,WY
1973-07-20,21.166667938232422,21.458332061767578,21.166667938232422,21.458332061767578,1.6237199306488037,95100,WY
1973-07-23,21.458332061767578,21.666667938232422,21.458332061767578,21.541667938232422,1.6300255060195923,102600,WY
1973-07-24,21.541667938232422,21.708332061767578,21.5,21.625,1.636330246925354,126600,WY
1973-07-25,21.625,22.541667938232422,21.625,22.541667938232422,1.705694317817688,235200,WY
1973-07-26,22.541667938232422,22.833332061767578,22.5,22.5,1.702541708946228,183600,WY
1973-07-27,22.416667938232422,22.416667938232422,21.916667938232422,22.0,1.6647063493728638,70500,WY
1973-07-30,21.916667938232422,21.916667938232422,21.5,21.708332061767578,1.6426379680633545,125700,WY
1973-07-31,21.666667938232422,21.666667938232422,21.416667938232422,21.458332061767578,1.6237199306488037,128400,WY
1973-08-01,21.458332061767578,21.791667938232422,21.416667938232422,21.666667938232422,1.6394844055175781,77400,WY
1973-08-02,21.666667938232422,21.708332061767578,21.583332061767578,21.666667938232422,1.6394844055175781,112500,WY
1973-08-03,21.666667938232422,22.0,21.666667938232422,21.958332061767578,1.6615538597106934,75300,WY
1973-08-06,22.0,22.5,22.0,22.458332061767578,1.6993885040283203,159000,WY
1973-08-07,22.541667938232422,22.833332061767578,22.541667938232422,22.833332061767578,1.727762222290039,71700,WY
1973-08-08,23.0,23.333332061767578,23.0,23.166667938232422,1.7529879808425903,193500,WY
1973-08-09,23.25,23.458332061767578,23.25,23.458332061767578,1.775056004524231,252300,WY
1973-08-10,23.458332061767578,23.666667938232422,23.333332061767578,23.666667938232422,1.7908210754394531,169800,WY
1973-08-13,23.666667938232422,23.666667938232422,23.5,23.5,1.7782094478607178,116100,WY
1973-08-14,23.416667938232422,23.416667938232422,22.666667938232422,22.708332061767578,1.7183046340942383,97500,WY
1973-08-15,22.708332061767578,23.083332061767578,22.666667938232422,23.0,1.7403756380081177,81600,WY
1973-08-16,23.0,23.208332061767578,22.875,22.916667938232422,1.734070062637329,48600,WY
1973-08-17,22.833332061767578,22.833332061767578,22.666667938232422,22.708332061767578,1.7183046340942383,75000,WY
1973-08-20,22.666667938232422,22.666667938232422,22.416667938232422,22.5,1.702541708946228,83700,WY
1973-08-21,22.541667938232422,22.708332061767578,22.541667938232422,22.541667938232422,1.705694317817688,45900,WY
1973-08-22,22.541667938232422,22.625,22.5,22.541667938232422,1.705694317817688,50700,WY
1973-08-23,22.625,23.333332061767578,22.625,23.333332061767578,1.7655975818634033,109200,WY
1973-08-24,23.291667938232422,23.291667938232422,22.875,23.25,1.759292721748352,189000,WY
1973-08-27,23.166667938232422,23.166667938232422,23.041667938232422,23.166667938232422,1.7529879808425903,66000,WY
1973-08-28,23.166667938232422,23.333332061767578,23.041667938232422,23.083332061767578,1.746680498123169,122400,WY
1973-08-29,23.083332061767578,23.291667938232422,23.041667938232422,23.083332061767578,1.746680498123169,73500,WY
1973-08-30,23.083332061767578,23.25,22.708332061767578,23.083332061767578,1.746680498123169,60000,WY
1973-08-31,23.0,23.0,22.708332061767578,22.833332061767578,1.727762222290039,28800,WY
1973-09-04,22.791667938232422,22.791667938232422,22.166667938232422,22.5,1.702541708946228,104100,WY
1973-09-05,22.541667938232422,22.791667938232422,22.541667938232422,22.625,1.7119992971420288,129000,WY
1973-09-06,22.625,22.833332061767578,22.625,22.791667938232422,1.7246110439300537,61200,WY
1973-09-07,22.708332061767578,22.708332061767578,22.625,22.708332061767578,1.7183046340942383,87600,WY
1973-09-10,22.708332061767578,22.708332061767578,22.541667938232422,22.625,1.7119992971420288,120900,WY
1973-09-11,22.541667938232422,22.541667938232422,22.041667938232422,22.333332061767578,1.6899302005767822,135000,WY
1973-09-12,22.291667938232422,22.291667938232422,21.625,21.708332061767578,1.6426379680633545,141600,WY
1973-09-13,21.708332061767578,22.083332061767578,21.708332061767578,21.791667938232422,1.6489429473876953,126900,WY
1973-09-14,21.791667938232422,22.083332061767578,21.708332061767578,22.083332061767578,1.6710127592086792,74400,WY
1973-09-17,22.166667938232422,22.5,22.166667938232422,22.333332061767578,1.6899302005767822,114300,WY
1973-09-18,22.333332061767578,22.333332061767578,22.083332061767578,22.25,1.683624505996704,152700,WY
1973-09-19,22.25,23.166667938232422,22.25,23.166667938232422,1.7529879808425903,66600,WY
1973-09-20,23.208332061767578,23.666667938232422,23.208332061767578,23.541667938232422,1.7813618183135986,159000,WY
1973-09-21,23.458332061767578,23.458332061767578,23.208332061767578,23.333332061767578,1.7655975818634033,58800,WY
1973-09-24,23.291667938232422,23.291667938232422,23.166667938232422,23.166667938232422,1.7529879808425903,143700,WY
1973-09-25,23.041667938232422,23.041667938232422,22.708332061767578,22.708332061767578,1.7183046340942383,64500,WY
1973-09-26,22.708332061767578,23.083332061767578,22.708332061767578,23.0,1.7403756380081177,72000,WY
1973-09-27,23.0,23.708332061767578,23.0,23.541667938232422,1.7813618183135986,132600,WY
1973-09-28,23.5,23.5,23.333332061767578,23.416667938232422,1.7719039916992188,44700,WY
1973-10-01,23.416667938232422,23.458332061767578,23.25,23.416667938232422,1.7719039916992188,42900,WY
1973-10-02,23.666667938232422,23.958332061767578,23.666667938232422,23.958332061767578,1.8128902912139893,75000,WY
1973-10-03,24.541667938232422,24.958332061767578,24.541667938232422,24.708332061767578,1.8696414232254028,129300,WY
1973-10-04,24.708332061767578,25.083332061767578,24.666667938232422,24.708332061767578,1.8696414232254028,204000,WY
1973-10-05,24.708332061767578,24.958332061767578,24.541667938232422,24.916667938232422,1.885407567024231,78000,WY
1973-10-08,24.916667938232422,25.208332061767578,24.666667938232422,25.208332061767578,1.9074770212173462,121200,WY
1973-10-09,25.5,25.666667938232422,25.5,25.583332061767578,1.9358521699905396,99900,WY
1973-10-10,25.583332061767578,25.916667938232422,25.541667938232422,25.916667938232422,1.9610744714736938,95400,WY
1973-10-11,26.333332061767578,26.708332061767578,26.333332061767578,26.708332061767578,2.020979404449463,56100,WY
1973-10-12,26.708332061767578,27.416667938232422,26.5,26.666667938232422,2.0178277492523193,129600,WY
1973-10-15,26.583332061767578,26.583332061767578,26.208332061767578,26.5,2.0052151679992676,62400,WY
1973-10-16,26.5,26.5,25.708332061767578,26.083332061767578,1.973685383796692,96000,WY
1973-10-17,26.083332061767578,26.083332061767578,25.708332061767578,25.708332061767578,1.945311427116394,50400,WY
1973-10-18,25.708332061767578,26.083332061767578,25.666667938232422,25.833332061767578,1.9547698497772217,41400,WY
1973-10-19,25.708332061767578,25.708332061767578,24.916667938232422,24.958332061767578,1.8885599374771118,83100,WY
1973-10-22,24.708332061767578,24.708332061767578,24.5,24.666667938232422,1.866490125656128,26100,WY
1973-10-23,24.666667938232422,24.958332061767578,24.333332061767578,24.916667938232422,1.885407567024231,85500,WY
1973-10-24,24.916667938232422,25.291667938232422,24.875,25.25,1.9106301069259644,56100,WY
1973-10-25,25.25,25.5,25.166667938232422,25.25,1.9106301069259644,66000,WY
1973-10-26,25.25,25.5,25.208332061767578,25.333332061767578,1.9169347286224365,72600,WY
1973-10-29,25.333332061767578,25.916667938232422,25.333332061767578,25.666667938232422,1.9421589374542236,87000,WY
1973-10-30,25.666667938232422,25.666667938232422,25.25,25.291667938232422,1.913782000541687,100500,WY
1973-10-31,25.208332061767578,25.208332061767578,24.958332061767578,24.958332061767578,1.8885599374771118,81900,WY
1973-11-01,24.958332061767578,25.041667938232422,24.666667938232422,24.666667938232422,1.866490125656128,53700,WY
1973-11-02,24.666667938232422,24.666667938232422,23.833332061767578,23.916667938232422,1.8097389936447144,69900,WY
1973-11-05,23.916667938232422,24.208332061767578,23.666667938232422,23.708332061767578,1.793973684310913,82800,WY
1973-11-06,23.708332061767578,24.416667938232422,23.708332061767578,24.166667938232422,1.8286552429199219,120900,WY
1973-11-07,24.291667938232422,24.541667938232422,24.291667938232422,24.541667938232422,1.857031226158142,52800,WY
1973-11-08,24.708332061767578,25.083332061767578,24.708332061767578,25.083332061767578,1.8980172872543335,73500,WY
1973-11-09,25.083332061767578,25.25,24.458332061767578,24.458332061767578,1.8507263660430908,105300,WY
1973-11-12,24.458332061767578,24.875,24.416667938232422,24.833332061767578,1.879101037979126,80100,WY
1973-11-13,24.833332061767578,24.958332061767578,24.541667938232422,24.875,1.8822531700134277,147600,WY
1973-11-14,24.875,24.875,24.25,24.541667938232422,1.857031226158142,73800,WY
1973-11-15,24.541667938232422,24.666667938232422,24.333332061767578,24.541667938232422,1.857031226158142,79500,WY
1973-11-16,24.541667938232422,24.958332061767578,24.5,24.625,1.8633359670639038,109200,WY
1973-11-19,24.5,24.5,23.833332061767578,24.041667938232422,1.819196105003357,33600,WY
1973-11-20,24.041667938232422,24.416667938232422,23.875,24.416667938232422,1.8475717306137085,87600,WY
1973-11-21,24.5,25.25,24.5,24.875,1.8822531700134277,73800,WY
1973-11-23,24.875,24.958332061767578,24.875,24.958332061767578,1.8885599374771118,61200,WY
1973-11-26,24.833332061767578,24.833332061767578,24.208332061767578,24.458332061767578,1.8507263660430908,80400,WY
1973-11-27,24.458332061767578,24.5,24.166667938232422,24.25,1.8349597454071045,68700,WY
1973-11-28,24.25,24.5,24.166667938232422,24.5,1.8538790941238403,66900,WY
1973-11-29,24.5,24.625,24.333332061767578,24.333332061767578,1.841267466545105,78600,WY
1973-11-30,24.333332061767578,24.333332061767578,23.708332061767578,23.708332061767578,1.793973684310913,53400,WY
1973-12-03,23.5,23.5,22.833332061767578,23.083332061767578,1.746680498123169,96300,WY
1973-12-04,23.083332061767578,23.458332061767578,23.041667938232422,23.333332061767578,1.7655975818634033,106800,WY
1973-12-05,23.333332061767578,23.416667938232422,23.083332061767578,23.083332061767578,1.746680498123169,147000,WY
1973-12-06,23.083332061767578,23.791667938232422,23.083332061767578,23.791667938232422,1.8002794981002808,73500,WY
1973-12-07,24.666667938232422,24.833332061767578,24.666667938232422,24.833332061767578,1.879101037979126,75000,WY
