,open,high,low,close,adjclose,volume,ticker
1972-06-05,0.6174460053443909,0.6174460053443909,0.6174460053443909,0.6174460053443909,0.2642761468887329,0.0,BMS
1972-06-06,,,,,,,BMS
1972-06-07,0.6096420288085938,0.6096420288085938,0.6096420288085938,0.6096420288085938,0.26093587279319763,0.0,BMS
1972-06-08,,,,,,,BMS
1972-06-09,,,,,,,BMS
1972-06-12,,,,,,,BMS
1972-06-13,,,,,,,BMS
1972-06-14,0.625249981880188,0.625249981880188,0.625249981880188,0.625249981880188,0.26761651039123535,0.0,BMS
1972-06-15,,,,,,,BMS
1972-06-16,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.27099817991256714,0.0,BMS
1972-06-19,,,,,,,BMS
1972-06-20,,,,,,,BMS
1972-06-21,0.6409549713134766,0.6409549713134766,0.6409549713134766,0.6409549713134766,0.2743384540081024,0.0,BMS
1972-06-22,,,,,,,BMS
1972-06-23,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.27099817991256714,0.0,BMS
1972-06-26,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.27099817991256714,0.0,BMS
1972-06-27,,,,,,,BMS
1972-06-28,0.6487579941749573,0.6487579941749573,0.6487579941749573,0.6487579941749573,0.27767831087112427,0.0,BMS
1972-06-29,,,,,,,BMS
1972-06-30,,,,,,,BMS
1972-07-03,0.625249981880188,0.625249981880188,0.625249981880188,0.625249981880188,0.26761651039123535,0.0,BMS
1972-07-05,,,,,,,BMS
1972-07-06,,,,,,,BMS
1972-07-07,,,,,,,BMS
1972-07-10,,,,,,,BMS
1972-07-11,,,,,,,BMS
1972-07-12,,,,,,,BMS
1972-07-13,,,,,,,BMS
1972-07-14,,,,,,,BMS
1972-07-17,,,,,,,BMS
1972-07-18,,,,,,,BMS
1972-07-19,0.586234986782074,0.586234986782074,0.586234986782074,0.586234986782074,0.2509174346923828,0.0,BMS
1972-07-20,,,,,,,BMS
1972-07-21,0.6096420288085938,0.6096420288085938,0.6096420288085938,0.6096420288085938,0.26093587279319763,0.0,BMS
1972-07-24,,,,,,,BMS
1972-07-25,,,,,,,BMS
1972-07-26,0.6487579941749573,0.6487579941749573,0.6487579941749573,0.6487579941749573,0.27767831087112427,0.0,BMS
1972-07-27,0.6487579941749573,0.6487579941749573,0.6487579941749573,0.6487579941749573,0.27767831087112427,0.0,BMS
1972-07-28,,,,,,,BMS
1972-07-31,,,,,,,BMS
1972-08-01,,,,,,,BMS
1972-08-02,,,,,,,BMS
1972-08-03,0.6643660068511963,0.6643660068511963,0.6643660068511963,0.6643660068511963,0.2843587398529053,0.0,BMS
1972-08-04,,,,,,,BMS
1972-08-07,,,,,,,BMS
1972-08-08,,,,,,,BMS
1972-08-09,,,,,,,BMS
1972-08-10,,,,,,,BMS
1972-08-11,,,,,,,BMS
1972-08-14,,,,,,,BMS
1972-08-15,,,,,,,BMS
1972-08-16,,,,,,,BMS
1972-08-17,0.7660049796104431,0.7660049796104431,0.7660049796104431,0.7660049796104431,0.3278617262840271,0.0,BMS
1972-08-18,,,,,,,BMS
1972-08-21,,,,,,,BMS
1972-08-22,0.7894160151481628,0.7894160151481628,0.7894160151481628,0.7894160151481628,0.33788204193115234,0.0,BMS
1972-08-23,,,,,,,BMS
1972-08-24,,,,,,,BMS
1972-08-25,0.7502999901771545,0.7502999901771545,0.7502999901771545,0.7502999901771545,0.32113954424858093,0.0,BMS
1972-08-28,0.7502999901771545,0.7502999901771545,0.7502999901771545,0.7502999901771545,0.32113954424858093,0.0,BMS
1972-08-29,,,,,,,BMS
1972-08-30,,,,,,,BMS
1972-08-31,0.7816129922866821,0.7816129922866821,0.7816129922866821,0.7816129922866821,0.3345419764518738,0.0,BMS
1972-09-01,,,,,,,BMS
1972-09-05,,,,,,,BMS
1972-09-06,,,,,,,BMS
1972-09-07,,,,,,,BMS
1972-09-08,,,,,,,BMS
1972-09-11,,,,,,,BMS
1972-09-12,,,,,,,BMS
1972-09-13,0.7660049796104431,0.7660049796104431,0.7660049796104431,0.7660049796104431,0.3278617262840271,0.0,BMS
1972-09-14,0.7660049796104431,0.7660049796104431,0.7660049796104431,0.7660049796104431,0.3278617262840271,0.0,BMS
1972-09-15,,,,,,,BMS
1972-09-18,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.3245217502117157,0.0,BMS
1972-09-19,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.3245217502117157,0.0,BMS
1972-09-20,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.3245217502117157,0.0,BMS
1972-09-21,,,,,,,BMS
1972-09-22,0.7424970269203186,0.7424970269203186,0.7424970269203186,0.7424970269203186,0.31779998540878296,0.0,BMS
1972-09-25,,,,,,,BMS
1972-09-26,0.7346929907798767,0.7346929907798767,0.7346929907798767,0.7346929907798767,0.3144596517086029,0.0,BMS
1972-09-27,0.7346929907798767,0.7346929907798767,0.7346929907798767,0.7346929907798767,0.3144596517086029,0.0,BMS
1972-09-28,,,,,,,BMS
1972-09-29,0.7268890142440796,0.7268890142440796,0.7268890142440796,0.7268890142440796,0.31111955642700195,0.0,BMS
1972-10-02,,,,,,,BMS
1972-10-03,0.7346929907798767,0.7346929907798767,0.7346929907798767,0.7346929907798767,0.3144596517086029,0.0,BMS
1972-10-04,,,,,,,BMS
1972-10-05,,,,,,,BMS
1972-10-06,,,,,,,BMS
1972-10-09,,,,,,,BMS
1972-10-10,0.7112849950790405,0.7112849950790405,0.7112849950790405,0.7112849950790405,0.3044406473636627,0.0,BMS
1972-10-11,,,,,,,BMS
1972-10-12,,,,,,,BMS
1972-10-13,,,,,,,BMS
1972-10-16,0.672169029712677,0.672169029712677,0.672169029712677,0.672169029712677,0.287698358297348,0.0,BMS
1972-10-17,0.672169029712677,0.672169029712677,0.672169029712677,0.672169029712677,0.287698358297348,0.0,BMS
1972-10-18,0.672169029712677,0.672169029712677,0.672169029712677,0.672169029712677,0.287698358297348,0.0,BMS
1972-10-19,0.672169029712677,0.672169029712677,0.672169029712677,0.672169029712677,0.287698358297348,0.0,BMS
1972-10-20,0.672169029712677,0.672169029712677,0.672169029712677,0.672169029712677,0.287698358297348,0.0,BMS
1972-10-23,0.672169029712677,0.672169029712677,0.672169029712677,0.672169029712677,0.287698358297348,0.0,BMS
1972-10-24,,,,,,,BMS
1972-10-25,,,,,,,BMS
1972-10-26,,,,,,,BMS
1972-10-27,,,,,,,BMS
1972-10-30,,,,,,,BMS
1972-10-31,,,,,,,BMS
1972-11-01,,,,,,,BMS
1972-11-02,0.6956779956817627,0.6956779956817627,0.6956779956817627,0.6956779956817627,0.2977606952190399,0.0,BMS
1972-11-03,,,,,,,BMS
1972-11-06,,,,,,,BMS
1972-11-08,,,,,,,BMS
1972-11-09,,,,,,,BMS
1972-11-10,0.7190859913825989,0.7190859913825989,0.7190859913825989,0.7190859913825989,0.3077796399593353,0.0,BMS
1972-11-13,,,,,,,BMS
1972-11-14,,,,,,,BMS
1972-11-15,0.7660049796104431,0.7660049796104431,0.7660049796104431,0.7660049796104431,0.3278617262840271,0.0,BMS
1972-11-16,,,,,,,BMS
1972-11-17,,,,,,,BMS
1972-11-20,,,,,,,BMS
1972-11-21,,,,,,,BMS
1972-11-22,0.7424970269203186,0.7424970269203186,0.7424970269203186,0.7424970269203186,0.31779998540878296,0.0,BMS
1972-11-24,,,,,,,BMS
1972-11-27,,,,,,,BMS
1972-11-28,,,,,,,BMS
1972-11-29,,,,,,,BMS
1972-11-30,,,,,,,BMS
1972-12-01,,,,,,,BMS
1972-12-04,,,,,,,BMS
1972-12-05,0.7346929907798767,0.7346929907798767,0.7346929907798767,0.7346929907798767,0.3144596517086029,0.0,BMS
1972-12-06,,,,,,,BMS
1972-12-07,,,,,,,BMS
1972-12-08,,,,,,,BMS
1972-12-11,,,,,,,BMS
1972-12-12,,,,,,,BMS
1972-12-13,0.7502999901771545,0.7502999901771545,0.7502999901771545,0.7502999901771545,0.32113954424858093,0.0,BMS
1972-12-14,,,,,,,BMS
1972-12-15,,,,,,,BMS
1972-12-18,,,,,,,BMS
1972-12-19,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.3245217502117157,0.0,BMS
1972-12-20,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.3245217502117157,0.0,BMS
1972-12-21,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.7582020163536072,0.3245217502117157,0.0,BMS
1972-12-22,,,,,,,BMS
1972-12-26,,,,,,,BMS
1972-12-27,,,,,,,BMS
1972-12-29,,,,,,,BMS
1973-01-02,,,,,,,BMS
1973-01-03,0.812824010848999,0.812824010848999,0.812824010848999,0.812824010848999,0.3479008376598358,0.0,BMS
1973-01-04,,,,,,,BMS
1973-01-05,,,,,,,BMS
1973-01-08,,,,,,,BMS
1973-01-09,,,,,,,BMS
1973-01-10,,,,,,,BMS
1973-01-11,,,,,,,BMS
1973-01-12,,,,,,,BMS
1973-01-15,0.7894160151481628,0.7894160151481628,0.7894160151481628,0.7894160151481628,0.33788204193115234,0.0,BMS
1973-01-16,,,,,,,BMS
1973-01-17,0.7424970269203186,0.7424970269203186,0.7424970269203186,0.7424970269203186,0.31779998540878296,0.0,BMS
1973-01-18,,,,,,,BMS
1973-01-19,,,,,,,BMS
1973-01-22,,,,,,,BMS
1973-01-23,0.7346929907798767,0.7346929907798767,0.7346929907798767,0.7346929907798767,0.3144596517086029,0.0,BMS
1973-01-24,,,,,,,BMS
1973-01-26,,,,,,,BMS
1973-01-29,,,,,,,BMS
1973-01-30,0.7034819722175598,0.7034819722175598,0.7034819722175598,0.7034819722175598,0.30110102891921997,0.0,BMS
1973-01-31,0.7034819722175598,0.7034819722175598,0.7034819722175598,0.7034819722175598,0.30110102891921997,0.0,BMS
1973-02-01,0.7034819722175598,0.7034819722175598,0.7034819722175598,0.7034819722175598,0.30110102891921997,0.0,BMS
1973-02-02,,,,,,,BMS
1973-02-05,,,,,,,BMS
1973-02-06,,,,,,,BMS
1973-02-07,,,,,,,BMS
1973-02-08,,,,,,,BMS
1973-02-09,0.6799730062484741,0.6799730062484741,0.6799730062484741,0.6799730062484741,0.29103872179985046,0.0,BMS
1973-02-12,,,,,,,BMS
1973-02-13,,,,,,,BMS
1973-02-14,,,,,,,BMS
1973-02-15,0.6956779956817627,0.6956779956817627,0.6956779956817627,0.6956779956817627,0.2977606952190399,0.0,BMS
1973-02-16,0.6956779956817627,0.6956779956817627,0.6956779956817627,0.6956779956817627,0.2977606952190399,0.0,BMS
1973-02-20,,,,,,,BMS
1973-02-21,0.7034819722175598,0.7034819722175598,0.7034819722175598,0.7034819722175598,0.30110102891921997,20160.0,BMS
1973-02-22,0.6643660068511963,0.6643660068511963,0.6643660068511963,0.6643660068511963,0.2843587398529053,174720.0,BMS
1973-02-23,0.6565619707107544,0.6565619707107544,0.6565619707107544,0.6565619707107544,0.28101837635040283,60480.0,BMS
1973-02-26,0.6487579941749573,0.6487579941749573,0.6487579941749573,0.6487579941749573,0.27767831087112427,40320.0,BMS
1973-02-27,0.625249981880188,0.625249981880188,0.625249981880188,0.625249981880188,0.26761651039123535,50400.0,BMS
1973-02-28,0.625249981880188,0.625249981880188,0.625249981880188,0.625249981880188,0.26761651039123535,23520.0,BMS
1973-03-01,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.27099817991256714,63840.0,BMS
1973-03-02,0.6174460053443909,0.6174460053443909,0.6174460053443909,0.6174460053443909,0.2642761468887329,114240.0,BMS
1973-03-05,0.625249981880188,0.625249981880188,0.625249981880188,0.625249981880188,0.26761651039123535,110880.0,BMS
1973-03-06,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.27099817991256714,80640.0,BMS
1973-03-07,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.27099817991256714,6720.0,BMS
1973-03-08,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.27099817991256714,20160.0,BMS
1973-03-09,0.625249981880188,0.625249981880188,0.625249981880188,0.625249981880188,0.26761651039123535,36960.0,BMS
1973-03-12,0.625249981880188,0.625249981880188,0.625249981880188,0.625249981880188,0.26761651039123535,20160.0,BMS
1973-03-13,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.27099817991256714,13440.0,BMS
1973-03-14,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.6331509947776794,0.27099817991256714,6720.0,BMS
1973-03-15,0.6174460053443909,0.6174460053443909,0.6174460053443909,0.6174460053443909,0.2642761468887329,47040.0,BMS
1973-03-16,0.6174460053443909,0.6174460053443909,0.6174460053443909,0.6174460053443909,0.2642761468887329,23520.0,BMS
1973-03-19,0.6096420288085938,0.6096420288085938,0.6096420288085938,0.6096420288085938,0.26093587279319763,13440.0,BMS
1973-03-20,0.6096420288085938,0.6096420288085938,0.6096420288085938,0.6096420288085938,0.26093587279319763,16800.0,BMS
1973-03-21,0.5940380096435547,0.5940380096435547,0.5940380096435547,0.5940380096435547,0.2542572319507599,94080.0,BMS
1973-03-22,0.5784310102462769,0.5784310102462769,0.5784310102462769,0.5784310102462769,0.2475770115852356,100800.0,BMS
1973-03-23,0.5784310102462769,0.5784310102462769,0.5784310102462769,0.5784310102462769,0.2475770115852356,33600.0,BMS
