,open,high,low,close,adjclose,volume,ticker
1980-10-15,10.9375,11.1875,10.9375,11.1875,3.9173879623413086,77600,HP
1980-10-16,11.1875,11.78125,10.96875,11.0625,3.8736207485198975,158400,HP
1980-10-17,10.96875,10.96875,10.75,10.78125,3.775136947631836,33600,HP
1980-10-20,10.78125,10.78125,10.65625,10.78125,3.775136947631836,30400,HP
1980-10-21,10.78125,10.96875,10.78125,10.875,3.807966947555542,36000,HP
1980-10-22,10.875,10.9375,10.75,10.75,3.7641985416412354,28000,HP
1980-10-23,10.65625,10.65625,10.46875,10.5625,3.698539972305298,63600,HP
1980-10-24,10.5625,10.78125,10.25,10.78125,3.775136947631836,124800,HP
1980-10-27,10.625,10.625,10.21875,10.34375,3.6219446659088135,63600,HP
1980-10-28,10.34375,10.46875,10.34375,10.46875,3.6657142639160156,14800,HP
1980-10-29,10.46875,10.625,10.4375,10.46875,3.6657142639160156,38800,HP
1980-10-30,10.46875,10.5625,10.21875,10.25,3.5891170501708984,11600,HP
1980-10-31,10.25,10.25,10.125,10.25,3.5891170501708984,50000,HP
1980-11-03,10.25,10.875,10.25,10.875,3.807966947555542,20000,HP
1980-11-05,11.25,11.75,11.25,11.25,3.939277172088623,183200,HP
1980-11-06,11.25,11.25,11.15625,11.1875,3.9173879623413086,18800,HP
1980-11-07,11.0625,11.0625,10.875,10.96875,3.8407957553863525,35600,HP
1980-11-10,11.03125,11.09375,11.03125,11.03125,3.8626766204833984,26400,HP
1980-11-11,11.03125,11.03125,10.875,11.03125,3.8626766204833984,41600,HP
1980-11-12,11.15625,11.28125,11.15625,11.25,3.939277172088623,173600,HP
1980-11-13,11.375,11.40625,11.375,11.40625,3.9939863681793213,230800,HP
1980-11-14,11.40625,11.5,11.25,11.5,4.0268144607543945,96400,HP
1980-11-17,11.46875,11.46875,11.1875,11.46875,4.015873908996582,72400,HP
1980-11-18,11.46875,11.6875,11.40625,11.5625,4.048700332641602,49200,HP
1980-11-19,11.65625,11.875,11.65625,11.75,4.114354133605957,119600,HP
1980-11-20,11.75,12.40625,11.75,12.21875,4.278491020202637,114000,HP
1980-11-21,12.53125,12.84375,12.53125,12.8125,4.486398696899414,89200,HP
