,open,high,low,close,adjclose,volume,ticker
1982-06-02,4.805555820465088,4.875,4.736111164093018,4.763888835906982,1.5022728443145752,1081800,NSC
1982-06-03,4.736111164093018,4.763888835906982,4.694444179534912,4.694444179534912,1.4803743362426758,672300,NSC
1982-06-04,4.638888835906982,4.680555820465088,4.5833330154418945,4.597221851348877,1.449715256690979,828900,NSC
1982-06-07,4.638888835906982,4.694444179534912,4.5833330154418945,4.6666669845581055,1.4716136455535889,287100,NSC
1982-06-08,4.638888835906982,4.680555820465088,4.597221851348877,4.597221851348877,1.449715256690979,330300,NSC
1982-06-09,4.611111164093018,4.638888835906982,4.5833330154418945,4.597221851348877,1.449715256690979,841500,NSC
1982-06-10,4.597221851348877,4.611111164093018,4.5833330154418945,4.597221851348877,1.449715256690979,591300,NSC
1982-06-11,4.638888835906982,4.680555820465088,4.5833330154418945,4.625,1.458475112915039,1161000,NSC
1982-06-14,4.611111164093018,4.625,4.5833330154418945,4.5833330154418945,1.445335030555725,498600,NSC
1982-06-15,4.611111164093018,4.638888835906982,4.5833330154418945,4.611111164093018,1.4540951251983643,666900,NSC
1982-06-16,4.611111164093018,4.638888835906982,4.5833330154418945,4.611111164093018,1.4540951251983643,239400,NSC
1982-06-17,4.555555820465088,4.611111164093018,4.486111164093018,4.513888835906982,1.4234365224838257,937800,NSC
1982-06-18,4.513888835906982,4.555555820465088,4.472221851348877,4.513888835906982,1.4234365224838257,1577700,NSC
1982-06-21,4.5416669845581055,4.569444179534912,4.513888835906982,4.569444179534912,1.4409549236297607,1314000,NSC
1982-06-22,4.638888835906982,4.722221851348877,4.555555820465088,4.722221851348877,1.489133358001709,702000,NSC
1982-06-23,4.875,5.0,4.736111164093018,5.0,1.57672917842865,765000,NSC
1982-06-24,4.9166669845581055,4.972221851348877,4.861111164093018,4.9166669845581055,1.550450325012207,720900,NSC
1982-06-25,4.930555820465088,4.944444179534912,4.902778148651123,4.930555820465088,1.5548309087753296,189000,NSC
1982-06-28,4.9583330154418945,5.0,4.9166669845581055,4.944444179534912,1.5592103004455566,223200,NSC
1982-06-29,5.013888835906982,5.055555820465088,4.9583330154418945,5.027778148651123,1.58548903465271,670500,NSC
1982-06-30,5.055555820465088,5.069444179534912,5.027778148651123,5.055555820465088,1.59424889087677,1296000,NSC
1982-07-01,5.055555820465088,5.0833330154418945,5.013888835906982,5.055555820465088,1.59424889087677,903600,NSC
1982-07-02,5.111111164093018,5.180555820465088,5.027778148651123,5.1666669845581055,1.6292879581451416,378900,NSC
1982-07-06,5.1666669845581055,5.2083330154418945,5.125,5.1666669845581055,1.6292879581451416,527400,NSC
1982-07-07,5.111111164093018,5.152778148651123,5.055555820465088,5.125,1.616147756576538,566100,NSC
1982-07-08,5.0416669845581055,5.138888835906982,4.944444179534912,5.0416669845581055,1.5898689031600952,641700,NSC
1982-07-09,5.013888835906982,5.055555820465088,4.9583330154418945,5.0,1.57672917842865,361800,NSC
1982-07-12,4.972221851348877,5.0,4.944444179534912,4.986111164093018,1.5723488330841064,921600,NSC
1982-07-13,4.986111164093018,5.027778148651123,4.944444179534912,5.0,1.57672917842865,1000800,NSC
1982-07-14,4.9583330154418945,5.0,4.944444179534912,4.986111164093018,1.5723488330841064,921600,NSC
1982-07-15,4.930555820465088,5.027778148651123,4.819444179534912,4.819444179534912,1.5197917222976685,684000,NSC
1982-07-16,4.819444179534912,4.888888835906982,4.75,4.805555820465088,1.5154122114181519,2254500,NSC
