,open,high,low,close,adjclose,volume,ticker
2000-01-28,12.0,12.1875,12.0,12.0,6.305374622344971,11192000,PKG
2000-01-31,12.0,12.0625,12.0,12.0625,6.338215351104736,1880900,PKG
2000-02-01,12.0,12.0625,12.0,12.0,6.305374622344971,367100,PKG
2000-02-02,12.0,12.0625,12.0,12.0625,6.338215351104736,697400,PKG
2000-02-03,12.0,12.0625,12.0,12.0,6.305374622344971,579800,PKG
2000-02-04,12.0,12.0625,11.25,11.375,5.976970672607422,1681900,PKG
2000-02-07,11.125,11.125,10.5,10.8125,5.681405544281006,927200,PKG
2000-02-08,10.75,10.875,9.75,9.875,5.188797473907471,795400,PKG
2000-02-09,9.875,10.25,9.75,10.125,5.320160865783691,1710100,PKG
2000-02-10,10.5,11.25,10.4375,10.625,5.582881927490234,571500,PKG
2000-02-11,10.75,10.9375,10.0,10.0625,5.287322044372559,1062000,PKG
2000-02-14,10.1875,10.3125,9.75,9.8125,5.155957221984863,289000,PKG
2000-02-15,10.0,10.625,9.9375,10.4375,5.484364986419678,541400,PKG
2000-02-16,10.5625,10.625,10.25,10.5625,5.550045013427734,360700,PKG
2000-02-17,10.875,10.875,10.25,10.375,5.451523303985596,291600,PKG
2000-02-18,10.5,10.75,10.3125,10.5,5.517205715179443,330700,PKG
2000-02-22,10.25,10.625,9.875,10.3125,5.4186835289001465,314500,PKG
2000-02-23,9.9375,10.3125,9.8125,10.125,5.320160865783691,494300,PKG
2000-02-24,10.125,10.3125,9.875,9.9375,5.2216386795043945,919900,PKG
2000-02-25,10.3125,10.625,10.0,10.4375,5.484364986419678,1095500,PKG
2000-02-28,10.25,10.3125,10.0,10.125,5.320160865783691,366800,PKG
2000-02-29,10.125,11.25,10.0,10.875,5.714247226715088,1652500,PKG
2000-03-01,10.875,11.25,10.875,11.0,5.779928684234619,266700,PKG
2000-03-02,10.875,11.9375,10.8125,11.5,6.0426530838012695,890300,PKG
2000-03-03,11.5,11.5,10.875,10.9375,5.747089385986328,160300,PKG
2000-03-06,10.5,10.8125,10.375,10.75,5.648563385009766,242800,PKG
2000-03-07,10.625,10.75,10.0625,10.25,5.385839939117432,393500,PKG
2000-03-08,10.1875,10.5,9.875,10.375,5.451523303985596,424200,PKG
2000-03-09,10.3125,10.8125,10.25,10.5,5.517205715179443,310100,PKG
2000-03-10,10.5,10.5,10.0,10.25,5.385839939117432,168900,PKG
2000-03-13,10.0,10.125,9.5625,9.75,5.123117923736572,1767400,PKG
2000-03-14,9.75,10.125,9.75,9.875,5.188797473907471,660500,PKG
2000-03-15,9.875,9.875,9.25,9.625,5.057438373565674,1231100,PKG
2000-03-16,9.8125,10.25,9.5,9.75,5.123117923736572,404100,PKG
2000-03-17,9.75,9.9375,9.25,9.5625,5.024597644805908,814800,PKG
2000-03-20,9.6875,9.875,9.5,9.625,5.057438373565674,473200,PKG
