,open,high,low,close,adjclose,volume,ticker
1991-12-17,10.0,11.75,10.0,11.625,9.604508399963379,15815400,PRGO
1991-12-18,11.5,11.625,11.375,11.5,9.501229286193848,2662600,PRGO
1991-12-19,11.375,11.5,11.125,11.25,9.294685363769531,1017600,PRGO
1991-12-20,11.5,11.625,11.25,11.5,9.501229286193848,513800,PRGO
1991-12-23,11.375,11.875,11.375,11.875,9.81105899810791,493200,PRGO
1991-12-24,11.875,12.125,11.625,12.0,9.914331436157227,492400,PRGO
1991-12-26,11.875,13.75,11.875,13.5,11.153618812561035,582600,PRGO
1991-12-27,13.5,13.625,12.875,13.5,11.153618812561035,720800,PRGO
1991-12-30,13.375,15.375,13.375,14.25,11.773266792297363,1435000,PRGO
1991-12-31,14.5,14.875,14.25,14.875,12.289642333984375,440800,PRGO
1992-01-02,14.5,14.75,13.875,14.25,11.773266792297363,1389600,PRGO
1992-01-03,14.25,15.25,14.25,15.125,12.49618911743164,353800,PRGO
1992-01-06,15.125,15.5,14.875,15.5,12.806007385253906,442800,PRGO
1992-01-07,15.375,15.375,14.875,15.0,12.392911911010742,666200,PRGO
1992-01-08,14.75,15.375,14.625,15.0,12.392911911010742,975000,PRGO
1992-01-09,15.125,15.125,14.5,14.5,11.979816436767578,376800,PRGO
1992-01-10,14.75,14.875,14.5,14.875,12.289642333984375,426600,PRGO
1992-01-13,15.0,15.25,14.625,15.25,12.599464416503906,62600,PRGO
1992-01-14,15.25,15.3125,14.875,15.125,12.49618911743164,56800,PRGO
1992-01-15,15.0,15.25,14.875,15.0,12.392911911010742,251600,PRGO
1992-01-16,14.875,15.125,14.375,14.75,12.186366081237793,801000,PRGO
1992-01-17,14.5,14.625,14.25,14.375,11.876548767089844,288400,PRGO
1992-01-20,14.375,14.625,13.625,13.625,11.25689697265625,242800,PRGO
1992-01-21,13.5,13.625,12.125,13.5,11.153618812561035,823200,PRGO
1992-01-22,13.375,13.875,13.375,13.75,11.360170364379883,171400,PRGO
1992-01-23,14.25,14.875,14.0,14.75,12.186366081237793,578800,PRGO
1992-01-24,15.0,15.625,14.625,15.5,12.806007385253906,591600,PRGO
1992-01-27,15.375,15.75,15.375,15.5,12.806007385253906,484800,PRGO
1992-01-28,15.75,15.75,15.375,15.625,12.909284591674805,556200,PRGO
1992-01-29,15.75,16.25,15.625,15.875,13.115832328796387,410000,PRGO
1992-01-30,15.625,16.0,15.625,15.9375,13.167469024658203,195000,PRGO
1992-01-31,15.75,16.25,15.75,16.0,13.219108581542969,194600,PRGO
1992-02-03,16.0,16.25,16.0,16.25,13.425657272338867,70600,PRGO
1992-02-04,16.25,16.625,16.0,16.375,13.528931617736816,494600,PRGO
1992-02-05,16.375,16.5,16.25,16.25,13.425657272338867,196400,PRGO
1992-02-06,16.25,16.5,16.25,16.5,13.632204055786133,524000,PRGO
1992-02-07,16.5,16.625,16.25,16.625,13.7354736328125,183600,PRGO
1992-02-10,16.625,16.875,16.375,16.875,13.942025184631348,125000,PRGO
1992-02-11,16.875,17.125,16.0,16.625,13.7354736328125,517400,PRGO
1992-02-12,16.75,16.875,16.5,16.625,13.7354736328125,153800,PRGO
1992-02-13,16.9375,17.0,16.375,16.5,13.632204055786133,292800,PRGO
1992-02-14,16.375,16.5,16.125,16.25,13.425657272338867,234400,PRGO
1992-02-18,16.25,16.5,16.125,16.375,13.528931617736816,171800,PRGO
1992-02-19,16.5,16.5,15.875,16.0,13.219108581542969,278200,PRGO
1992-02-20,16.25,16.75,16.0,16.375,13.528931617736816,613600,PRGO
1992-02-21,16.75,17.875,16.625,17.75,14.664942741394043,600800,PRGO
1992-02-24,17.75,17.75,16.625,16.625,13.7354736328125,348800,PRGO
1992-02-25,16.75,16.75,15.625,16.125,13.322381019592285,304600,PRGO
1992-02-26,15.875,16.375,15.875,16.25,13.425657272338867,104800,PRGO
1992-02-27,16.25,16.25,15.375,15.75,13.012560844421387,199400,PRGO
1992-02-28,15.375,15.75,15.375,15.75,13.012560844421387,106200,PRGO
1992-03-02,15.75,15.75,15.0,15.25,12.599464416503906,503600,PRGO
1992-03-03,15.0,15.25,14.625,14.875,12.289642333984375,274000,PRGO
1992-03-04,14.75,14.75,14.375,14.6875,12.134729385375977,810200,PRGO
1992-03-05,14.625,15.625,14.625,15.125,12.49618911743164,378400,PRGO
1992-03-06,15.125,15.25,14.75,14.75,12.186366081237793,163800,PRGO
1992-03-09,15.125,15.25,14.75,15.125,12.49618911743164,108400,PRGO
1992-03-10,15.25,15.75,15.125,15.75,13.012560844421387,144200,PRGO
1992-03-11,15.75,15.75,15.0625,15.375,12.702737808227539,189600,PRGO
1992-03-12,15.25,15.5,15.125,15.5,12.806007385253906,78200,PRGO
