Symbol,Company,Weight
AAPL,Apple Inc.,6.402793
MSFT,Microsoft Corporation,5.427835
AMZN,Amazon.com Inc.,2.662498
GOOGL,Alphabet Inc. Class A,1.741515
BRK-B,Berkshire Hathaway Inc. Class B,1.634418
GOOG,Alphabet Inc. Class C,1.564592
NVDA,NVIDIA Corporation,1.489502
TSLA,Tesla Inc,1.401043
XOM,Exxon Mobil Corporation,1.396979
UNH,UnitedHealth Group Incorporated,1.3325
JNJ,Johnson Johnson,1.291943
JPM,JPMorgan Chase Co.,1.207655
V,Visa Inc. Class A,1.110294
META,Meta Platforms Inc. Class A,1.001162
PG,Procter Gamble Company,0.977383
HD,Home Depot Inc.,0.950716
CVX,Chevron Corporation,0.936663
MA,Mastercard Incorporated Class A,0.932118
LLY,Eli Lilly and Company,0.791622
MRK,Merck Co. Inc.,0.783937
ABBV,AbbVie Inc.,0.759038
BAC,Bank of America Corp,0.725973
PFE,Pfizer Inc.,0.72123
AVGO,Broadcom Inc.,0.702305
KO,Coca-Cola Company,0.690783
PEP,PepsiCo Inc.,0.685664
TMO,Thermo Fisher Scientific Inc.,0.660111
COST,Costco Wholesale Corporation,0.653614
WMT,Walmart Inc.,0.593437
DIS,Walt Disney Company,0.585936
MCD,McDonald s Corporation,0.585376
CSCO,Cisco Systems Inc.,0.584423
ABT,Abbott Laboratories,0.56229
WFC,Wells Fargo Company,0.515644
ACN,Accenture Plc Class A,0.511949
DHR,Danaher Corporation,0.5113
ADBE,Adobe Incorporated,0.507269
CMCSA,Comcast Corporation Class A,0.501245
VZ,Verizon Communications Inc.,0.500798
CRM,Salesforce Inc.,0.482722
PM,Philip Morris International Inc.,0.471956
NKE,NIKE Inc. Class B,0.471178
NFLX,Netflix Inc.,0.471072
LIN,Linde plc,0.471004
TXN,Texas Instruments Incorporated,0.4682
COP,ConocoPhillips,0.45194
BMY,Bristol-Myers Squibb Company,0.451768
NEE,NextEra Energy Inc.,0.44068
QCOM,QUALCOMM Incorporated,0.438028
RTX,Raytheon Technologies Corporation,0.430006
T,AT T Inc.,0.417184
HON,Honeywell International Inc.,0.409971
CAT,Caterpillar Inc.,0.403934
ORCL,Oracle Corporation,0.401281
AMGN,Amgen Inc.,0.396736
UPS,United Parcel Service Inc. Class B,0.389159
MS,Morgan Stanley,0.374662
LOW,Lowe s Companies Inc.,0.368782
SBUX,Starbucks Corporation,0.367189
UNP,Union Pacific Corporation,0.365091
SPGI,S P Global Inc.,0.364824
IBM,International Business Machines Corporation,0.356513
AMD,Advanced Micro Devices Inc.,0.356118
GS,Goldman Sachs Group Inc.,0.352868
PLD,Prologis Inc.,0.351661
INTU,Intuit Inc.,0.349523
BA,Boeing Company,0.347117
ELV,Elevance Health Inc.,0.345703
INTC,Intel Corporation,0.340993
CVS,CVS Health Corporation,0.338421
DE,Deere Company,0.337014
BLK,BlackRock Inc.,0.334641
SCHW,Charles Schwab Corp,0.333451
MDT,Medtronic Plc,0.322053
LMT,Lockheed Martin Corporation,0.314539
GILD,Gilead Sciences Inc.,0.308137
AXP,American Express Company,0.302198
AMT,American Tower Corporation,0.301632
C,Citigroup Inc.,0.294717
AMAT,Applied Materials Inc.,0.283979
BKNG,Booking Holdings Inc.,0.280492
TJX,TJX Companies Inc,0.280348
CB,Chubb Limited,0.277612
CI,Cigna Corporation,0.27657
PYPL,PayPal Holdings Inc.,0.273721
NOW,ServiceNow Inc.,0.271047
ADP,Automatic Data Processing Inc.,0.268192
GE,General Electric Company,0.266008
ADI,Analog Devices Inc.,0.259714
MDLZ,Mondelez International Inc. Class A,0.25937
TMUS,T-Mobile US Inc.,0.258277
ISRG,Intuitive Surgical Inc.,0.257921
MMC,Marsh McLennan Companies Inc.,0.251124
SYK,Stryker Corporation,0.250204
VRTX,Vertex Pharmaceuticals Incorporated,0.242104
SLB,Schlumberger NV,0.237028
REGN,Regeneron Pharmaceuticals Inc.,0.2327
MO,Altria Group Inc,0.232432
EOG,EOG Resources Inc.,0.232081
PGR,Progressive Corporation,0.231872
DUK,Duke Energy Corporation,0.229517
TGT,Target Corporation,0.228487
ZTS,Zoetis Inc. Class A,0.225863
SO,Southern Company,0.217212
BDX,Becton Dickinson and Company,0.209985
APD,Air Products and Chemicals Inc.,0.204443
MU,Micron Technology Inc.,0.203738
FISV,Fiserv Inc.,0.199157
EQIX,Equinix Inc.,0.198261
AON,Aon Plc Class A,0.193796
LRCX,Lam Research Corporation,0.193381
USB,U.S. Bancorp,0.193161
PNC,PNC Financial Services Group Inc.,0.193093
BSX,Boston Scientific Corporation,0.192941
TFC,Truist Financial Corporation,0.190128
ITW,Illinois Tool Works Inc.,0.190009
ETN,Eaton Corp. Plc,0.188941
FCX,Freeport-McMoRan Inc.,0.187402
MMM,3M Company,0.186914
NOC,Northrop Grumman Corp.,0.185901
CCI,Crown Castle Inc.,0.185596
CSX,CSX Corporation,0.185555
CME,CME Group Inc. Class A,0.185426
MRNA,Moderna Inc.,0.183557
EL,Estee Lauder Companies Inc. Class A,0.182959
MPC,Marathon Petroleum Corporation,0.182681
HUM,Humana Inc.,0.178938
ICE,Intercontinental Exchange Inc.,0.176069
CL,Colgate-Palmolive Company,0.17489
WM,Waste Management Inc.,0.167853
KLAC,KLA Corporation,0.165588
PXD,Pioneer Natural Resources Company,0.163552
NSC,Norfolk Southern Corporation,0.162217
VLO,Valero Energy Corporation,0.161996
HCA,HCA Healthcare Inc,0.160406
ATVI,Activision Blizzard Inc.,0.159466
SNPS,Synopsys Inc.,0.159416
MCK,McKesson Corporation,0.159407
GM,General Motors Company,0.158195
SHW,Sherwin-Williams Company,0.157621
DG,Dollar General Corporation,0.156519
EMR,Emerson Electric Co.,0.154826
F,Ford Motor Company,0.153235
PSX,Phillips 66,0.152509
D,Dominion Energy Inc,0.152015
GD,General Dynamics Corporation,0.149565
SRE,Sempra Energy,0.149256
CDNS,Cadence Design Systems Inc.,0.148272
MCO,Moody s Corporation,0.147429
OXY,Occidental Petroleum Corporation,0.141962
EW,Edwards Lifesciences Corporation,0.141827
ORLY,O Reilly Automotive Inc.,0.141602
MET,MetLife Inc.,0.141146
AEP,American Electric Power Company Inc.,0.140325
NXPI,NXP Semiconductors NV,0.139271
JCI,Johnson Controls International plc,0.13866
PSA,Public Storage,0.138294
AIG,American International Group Inc.,0.138059
MAR,Marriott International Inc. Class A,0.137626
APH,Amphenol Corporation Class A,0.137329
A,Agilent Technologies Inc.,0.135815
GIS,General Mills Inc.,0.1357
ROP,Roper Technologies Inc.,0.135082
ADM,Archer-Daniels-Midland Company,0.134796
CTVA,Corteva Inc,0.133984
FDX,FedEx Corporation,0.133861
ADSK,Autodesk Inc.,0.133806
AZO,AutoZone Inc.,0.131969
COF,Capital One Financial Corp,0.131964
FIS,Fidelity National Information Services Inc.,0.131154
TRV,Travelers Companies Inc.,0.131026
CMG,Chipotle Mexican Grill Inc.,0.130895
NUE,Nucor Corporation,0.127769
KMB,Kimberly-Clark Corporation,0.127263
HES,Hess Corporation,0.126202
CNC,Centene Corporation,0.125776
O,Realty Income Corporation,0.125683
IQV,IQVIA Holdings Inc,0.125114
MCHP,Microchip Technology Incorporated,0.125076
DVN,Devon Energy Corporation,0.124965
CHTR,Charter Communications Inc. Class A,0.124303
MSI,Motorola Solutions Inc.,0.124013
DOW,Dow Inc.,0.123843
NEM,Newmont Corporation,0.123434
BIIB,Biogen Inc.,0.122929
MSCI,MSCI Inc. Class A,0.122817
AFL,Aflac Incorporated,0.122609
SPG,Simon Property Group Inc.,0.122431
DXCM,DexCom Inc.,0.12213
ROST,Ross Stores Inc.,0.122118
EXC,Exelon Corporation,0.120884
TT,Trane Technologies plc,0.120146
PH,Parker-Hannifin Corporation,0.119557
AJG,Arthur J. Gallagher Co.,0.119212
IDXX,IDEXX Laboratories Inc.,0.118567
LHX,L3Harris Technologies Inc,0.11856
TEL,TE Connectivity Ltd.,0.117219
SYY,Sysco Corporation,0.116035
HLT,Hilton Worldwide Holdings Inc,0.115939
MNST,Monster Beverage Corporation,0.115609
PCAR,PACCAR Inc,0.112886
PRU,Prudential Financial Inc.,0.112463
WMB,Williams Companies Inc.,0.112265
CTAS,Cintas Corporation,0.109971
XEL,Xcel Energy Inc.,0.109877
ECL,Ecolab Inc.,0.109819
STZ,Constellation Brands Inc. Class A,0.108969
AMP,Ameriprise Financial Inc.,0.108951
KMI,Kinder Morgan Inc Class P,0.108171
HAL,Halliburton Company,0.107959
DD,DuPont de Nemours Inc.,0.107729
